0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
REVENUES,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,(Over),Revenues
Property Taxes,"7,6",6.9,5.6,5.3,4.0,14.0,35.0,205.8,81.3,18.8,6.6,"11,7",402.6,,,7.0,409.6
"Wags, Earnings, NP Tax",94.4,105 3,82.7,93 5,103.5,85.8,114.1,79.1,109.9,98.9,109.7,89.0,"1,165.9",,,(32.1),"1,133.8"
Realty Transfer Tax,20.5,23 2,17.3,16.9,18.0,19.3,21.3,12.1,15.4,14.6,21.9,9.5,210.0,,,(15.0),105 0
Sales Tax,11.3,12.5,10.7,10.7,12.1,10.1,10.2,12.3,10.1,10.6,12.0,12.4,135.0,,,(6.0),129.0
Business Privilege Tax,5.0,2.7,12.1,20.9,1.3,17.0,9.6,1.5,26.4,184.7,153 0,25.8,460.0,(37.0),,(44.1),378.9
Other Taxes,5.3,7.6,5.0,4.0,"4,1",4.3,5.4,5.4,4.5,8.2,5.5,11.2,70.5,,,(3.2),67.3
Locally Generated Non-tax,15.0,18.2,21.2,19.5,18.0,20.5,25.7,17.8,26.3,15.9,17.9,18.6,234.6,,,10.4,245.0
Other Governments,0.0,116.0,105.7,88.4,22.5,17.9,34.2,97.2,103.2,57.2,111.2,7.3,760.8,,,28.8,789.6
Other Governments-PICA,"16,3",27.8,0.0,22.4,"24,5",0.0,32.3,40.6,24.9,9.8,34.8,3.6,237 0,,,5.2,242.2
Interfund Transfers,0.2,0.5,0.5,0.0,"0,5",0.4,0.0,0.9,"0,5",0.5,0.0,21.6,25.7,,,"1,9",27.6
Total Current Revenue,175.6,320.7,260.8,281.6,208.5,189.3,287.8,472.7,402.5,419.2,472.6,210.9,"3,702.1",(37.0),,(47.1),"3,616.0"
,,,,,,,,,,,,,,,,,
Collection of 6.30-06/Govt.,106.6,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,0.0,1316,,,,0.0
Other Fund Balance Adj.,7.0,,,,,,,,,,,(7.6),(0.6),,,,
Non-budget Items,,,,,,,,,,,,,00,,,,
TOTAL CASH RECEIPTS,289.2,345.8,260.8,281.6,208.5,189.3,287.8,"472,7",402.5,419.2,472.6,203.3,"3,833.1",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Budget Obliga- tions
Payroll,56.9,143.2,100.9,102.1,110.1,100.2,"151,9",98.4,102.2,92.1,110.5,98.8,1.267.3,61.2,,(21.3),"1,307.2"
Employee Benefits,35.0,41.0,32.8,33.8,33.6,"41,7",46.8,330,42.0,31.2,360,48.2,"454,9",5.4,0.6,(15.5),445
Pension,360.2,(1.7),(2.1),17.3,(2.0),(1.8),1.3,(16),(1.8),57.5,(1.6),(46),419.1,00,,0.0,419 1
Purchase of Services,27.4,56.0,92.4,98.3,"76,7",78.8,96.5,65.0,"103,7",80.4,119.0,70.5,964.7,33.4,155 0,(5.0),"1,148 1"
"Materiais, Equipment",2.3,5.3,8.0,4.6,5.5,5.3,5.3,6.0,8.0,6.3,7.2,1.3,65.1,4.9,18.9,(6.1),82.8
"Contributions, Indemnities",9.0,5.7,8.8,1.3,4.0,7.2,0.7,5.2,2.4,9.0,39.8,19.4,112.5,0.4,,(2.1),110.8
Debt Service-Short Term,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,13.1,,,4.4,17.5
Debt Service-Long Term,1.2,2.3,18.8,0.7,7.5,0.8,6.3,5.3,19.0,0.8,13.3,8.6,84.6,,,3.1,87.7
Interfund Charges,0.6,00,"0,0",0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,31.6,,,(2.3),29.3
"Advances, Subsidies",31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,,,,31.2
Current Year Appropriation,523.8,251.8,259.6,258.1,235.4,232.2,308.6,211.3,305.5,277.3,324.2,256.3,"3,444.1",105.3,174.5,(44.6),3.679.
Prior Year Encumbrances,54.5,24.5,12.8,8.5,6.1,34,4.3,4.5,4.4,5.0,4.1,1.9,134 0,0.3,445,20.0,198 €
Prior Year Vouchers Payable,68.0,114,3.5,1.5,0.6,,,,,,,,"84,9",105.6,2190,,
TOTAL DISBURSEMENTS,"646,3","287,7",275.9,268.1,"242,1",235.6,312.9,215 8,309.9,282.3,328.3,258.2,"3,663.1",,,,
Excess (Daf) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(357.2,58.1,(15.1),13.5,(33.7),(46.3),(25.1),256.9,92.6,136.9,144.3,(54 9),170.0,,,,
Opening Balance,355.7,308.6,366.7,351.6,365.1,"331,4",285.1,260.0,516.9,609.5,746.3,580.6,355.7,,,,
TRANS,3100,,,,,,,,,,(310.0),,0.0,,,,
CLOSING BALANCE,308.6,366.7,351.6,365 1,331 4,285.1,260.0,516 9,609.5,746.3,580 6,525.7,525 7,,,,
