0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES Real Estate Tax,4.1,"8,6",3.7,8.9,7.1,17.5,39.4,238.8,116.3,27.7,9.8,"9,5",491.4,,491.4,
"Total Wage, Earnings, Net Profits",91.4,109.7,78.8,92.9,101.0,83.1,109.2,87.9,96.9,98.0,"109,5",90.1,1148.5,,1148.5,
Realty Transfer Tax,19.7,12.5,7.5,9.3,8.7,8.8,9.0,6.0,8.6,"9,3",10.8,11.0,121.2,,121.2,
Sales Tax,21.4,23.4,20.7,19.0,20.7,18.5,18.4,22.6,19.0,19.1,"21,0",20.1,243.8,,243.8,
Business Privilege Tax,2.4,13.0,11.4,4.0,(1.7),4.0,"5,0",3.4,15.6,133.1,128.3,32.2,350.7,,350.7,
Other Taxes,7.7,12.4,"9,9",6.6,6.4,5.9,5.8,9.0,5.7,11.9,8.0,8.5,97.7,,97.7,
Locally Generated Non-tax,20.5,21.2,19.6,19.2,21.7,27.1,24.5,21.4,"25,5","19,4",22.4,27.8,270.3,,270.3,
Total Other Governments,0.2,101.0,91.8,113.5,76.4,21.0,22.9,103.0,26.7,"8,5",104.9,37.2,707.0,137.6,844.6,
Total PICA Other Governments,15.7,26.2,8.1,24.4,28.0,14.1,31.9,29.4,31.5,25.6,36.7,24.0,295.6,,295.6,
Interfund Transfers,8.4,0.2,0.1,"0,3",0.2,0.2,0.2,0.2,0.2,0.2,"0,2",2.2,12.6,39.6,52.2,
Total Current Revenue,191.5,328.2,251.6,298.0,268.5,200.2,266.2,521.6,346.0,352.8,451.6,262.8,3738.8,177.2,3916.0,
,,,,,,,,,,,,,,,,
Collection of prior year(s) revenue,112.2,57.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,"0,0",0.0,169.2,,,
Other fund balance adjustments,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,,,
TOTAL CASH RECEIPTS,303.7,385.2,251.6,298.0,268.5,200.2,266.2,521.6,346.0,352.8,451.6,"262,8","3908,0",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,83.2,110.2,113.9,105.0,100.1,140.3,105.7,99.1,107.0,"99,0",98.1,147.1,1308.7,48.5,0.0,1357.2
Employee Benefits,40.0,"34,0","42,4",41.3,"36,6","45,0",43.2,36.7,40.3,"36,5",37.7,"36,1",469.9,15.0,"0,0",484.9
Pension,3.7,(3.4),10.9,66.1,0.0,0.0,3.7,0.0,305.1,93.9,0.0,0.0,480.0,0.0,"0,0","480,0"
Purchase of Services,"52,9",68.2,63.1,"96,3",101.0,77.8,88.8,87.2,95.4,"83,9",90.7,74.2,979.4,"30,0",130.0,"1139,4"
"Materials, Equipment","1,9",4.2,7.6,7.2,7.6,6.1,5.1,5.3,6.1,5.7,5.9,5.2,67.8,4.8,4.0,"76,6"
"Contributions, Indemnities",15.1,5.1,3.4,3.9,"3,0",6.9,2.0,5.2,8.1,11.3,28.7,12.8,105.4,4.0,0.0,109.4
Debt Service-Short Term,"0,0",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,11.0,"11,0",0.0,0.0,11.0
Debt Service-Long Term,34.7,1.1,11.1,0.6,1.8,4.1,5.2,25.2,1.2,"0,6",15.0,9.8,110.4,"0,0",0.0,110.4
Interfund Charges,2.5,0.0,"0,0",0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,2.5,25.4,0.0,27.9
"Advances, Subsidies","0,0",0.0,0.0,0.0,0.0,0.0,"0,0",0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,0.0,"0,0"
Current Year Appropriation,234.0,219.4,252.4,320.5,250.0,280.2,"253,6","258,6",563.3,"330,8",276.1,296.3,3535.2,127.7,134.0,3796.8
Prior Year Encumbrances,51.9,"31,1",8.8,7.8,5.2,11.3,6.8,2.7,4.9,"4,2",2.7,2.4,139.7,,,"134,0"
Prior Year Vouchers Payable,55.2,"45,9",(1.1),1.9,"0,4","0,0","0,0","0,0","0,0","0,0","0,0",0.0,102.3,,,124.7
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,341.1,296.4,260.1,330.1,255.6,"291,5",260.4,261.3,"568,1",335.0,278.8,298.7,3777.2,,,
Excess (Def) of Receipts over,,,,,,,,,,,,,,,,
Disbursements,(37.4),"88,8",(8.5),(32.2),"12,9",(91.3),5.7,260.3,(222.2),17.7,172.8,(35.9),,,,
Opening Balance,(30.6),217.0,305.8,297.3,265.1,278.1,186.7,192.4,"452,8",230.6,248.3,136.1,,,,
TRANS,"285,0",0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,(285.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,217.0,305.8,297.3,265.1,278.1,"186,7",192.4,452.8,230.6,248.3,136.1,100.2,,,,
