0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,494.3,553.9,576.5,464.8,555.0,531.2,597.5,926.7,509.6,696.9,540.3,533.4
Grants Revenue,(58.0),83.0,20.0,16.1,(154.5),(213.8),(179.6),(199.8),(227.4),(236.8),(212.1),(119.4)
Community Development,(16.9),(15.1),(11.7),(11.8),(4.6),(3.5),(5.8),(4.6),(6.8),(3.4),(3.0),(6.1)
Vehicle Rental Tax,6.0,6.6,1.2,1.6,4.2,4.6,5.0,5.4,4.8,5.3,5.7,6.2
Hospital Assessment Fund,13.8,13.6,23.1,14.7,10.5,16.1,10.8,8.8,23.2,9.4,27.1,15.4
Housing Trust Fund,32.0,33.3,33.8,33.9,20.8,21.9,20.8,18.9,18.6,18.4,18.5,17.7
Other Funds,8.7,9.0,7.8,7.9,7.3,7.1,7.0,7.4,7.6,7.4,7.2,7.2
TOTAL OPERATING FUNDS,480.0,684.3,650.7,527.4,438.7,363.6,455.8,762.9,329.7,497.2,383.8,454.4
Capital Improvement,28.4,297.8,279.8,267.5,252.0,240.5,225.0,209.5,198.0,186.5,171.0,159.5
Industrial & Commercial Dev.,9.8,9.8,9.8,9.8,4.6,4.6,4.6,4.6,4.6,4.4,4.4,4.3
TOTAL CAPITAL FUNDS,38.1,307.6,289.5,277.3,256.5,245.0,229.5,214.0,202.5,190.9,175.4,163.8
TOTAL FUND EQUITY,518.1,992.0,940.2,804.7,695.3,608.6,685.3,977.0,532.2,688.1,559.2,618.2
