0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,9.6,9.4,7.5,7.6,6.7,24.0,34.6,62.3,484.1,52.9,14.2,10.1,723.1,,,723.1
"Total Wage, Earnings, Net Profits",132.8,115.1,113.8,132.0,117.1,108.4,160.8,114.8,135.5,151.4,123.0,111.9,1516.8,,,1516.8
Realty Transfer Tax,32.0,26.7,20.3,28.0,23.5,22.7,24.7,18.8,27.2,23.0,24.3,23.8,294.9,,,294.9
Sales Tax,28.1,30.7,12.9,13.8,15.6,13.0,14.7,15.5,11.6,12.8,19.7,26.8,215.2,1.2,,216.4
Business Income & Receipts Tax,7.8,7.3,20.2,21.8,4.7,19.9,22.2,6.3,58.3,273.7,60.6,18.3,521.2,,,521.2
Beverage Tax,6.6,6.3,6.4,7.0,5.8,5.9,6.1,5.4,5.4,6.1,5.7,5.9,72.5,,,72.5
Other Taxes,6.2,7.3,6.7,6.0,6.3,6.0,6.3,6.0,5.8,6.5,5.2,4.6,73.0,,,73.0
Locally Generated Non-tax,29.2,33.0,"27,9",28.5,32.7,28.7,32.6,27.3,32.0,26.9,36.9,28.7,364.4,,,364.4
Total Other Governments,9.9,130.7,90.8,52.5,15.4,24.0,5.4,15.1,8.1,8.2,7.8,36.3,404.1,(65.8),,338.3
Total PICA Other Governments,33.2,42.1,33.8,33.2,39.9,39.0,42.9,43.6,41.8,59.5,54.5,27.6,490.8,,,490.8
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,400.5,600.5,,45.4,645.9
Total Current Revenue,295.4,408.5,340.2,330.4,267.6,291.7,350.3,315.1,1009.7,621.1,351.6,694.6,5276.4,(64.6),45.4,5257.2
Collection of prior year(s) revenue,31.5,13.4,8.9,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,326.9,421.9,349.1,340.7,267.6,291.7,350.3,315.1,1009.7,621.1,351.6,694.6,5340.5,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,93.5,203.9,146.3,141.7,155.3,141.7,203.9,141.0,141.7,141.7,155.3,146.3,1812.4,72.0,4.4,1888.8
Employee Benefits,33.2,72.4,51.9,50.3,55.1,50.3,72.4,50.1,50.3,50.3,55.1,51.9,643.4,20.1,"0,5",664.0
Pension,3.6,(0.5),16.8,81.0,(0.3),3.2,(0.3),(0.3),629.0,(0.6),(0.5),(4.6),726.4,48.2,,774.6
Purchase of Services,44.3,56.0,74.6,106.0,65.5,83.2,62.0,58.1,89.8,82.5,91.6,60.4,874.0,28.1,192.4,1094.5
"Materials, Equipment",4.5,4.5,10.0,10.0,7.2,8.3,7.8,7.3,8.2,9.1,8.7,9.5,95.0,3.0,20.8,118.8
"Contributions, Indemnities",17.0,6.0,81.2,10.4,13.7,74.9,6.5,12.6,72.4,5.5,2.9,83.6,386.8,,,386.8
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,,,2.3
Debt Service-Long Term,20.1,90.8,10.5,0.2,0.2,0.2,5.1,42.1,0.2,0.2,0.2,20.7,190.4,,,190.4
Interfund Charges,4.5,6.7,"0,0","0,0",0.0,0.0,0.0,0.0,0.0,"0,0","0,0",13.3,24.5,24.3,,48.8
Advances & Misc. Pmts / Labor Obligations,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,25.0,,75.0,100.0
Current Year Appropriation,222.7,441.9,393.3,401.7,298.9,363.9,359.4,312.9,993.6,290.7,315.4,385.6,4780.1,195.8,293.1,5268.9
Prior Yr. Expenditures against Encumbrances,85.4,57.1,35.4,19.5,11.8,7.7,14.8,9.9,9.9,4.7,2.9,3.6,262.7,,,
Prior Yr. Salaries & Vouchers Payable,132.6,18.8,0.0,78.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.3,,,
TOTAL DISBURSEMENTS,440.7,517.8,428.7,500.1,310.7,371.6,374.2,322.8,1003.6,295.4,318.3,389.2,5273.1,,,
Excess (Def) of Receipts over Disbursements,(113.8),(95.9),(79.6),(159.4),(43.0),(79.9),(23.9),(7.7),6.2,325.7,33.3,305.4,,,,
Opening Balance,761.8,648.0,552.1,472.5,313.2,270.1,190.2,166.4,158.7,164.9,490.5,523.9,,,,
TRAN,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,,,,
CLOSING BALANCE,648.0,552.1,"472,5",313.2,270.1,190.2,166.4,158.7,164.9,490.5,523.9,829.2,,,,
