0,1,2,3,4,5,6,7,8,9
Art Museum Subsidy,"3,000,000","2,300,000","2,300,000",o,"2,300,000","2,300,000","2,300,000",0,o
Atwater Kent Museum,"275,971","198,973","204,188","(5,216)","248,630","248,630","248,630",o,o
Auditing (City Controller's Office),"7,882,426","5,188,388","5,277,059","(88,671)","7,424,923","7,291,566","7,291,566","133,357",0
Board of Building Standards,"91,372","50,706","44,274","6,432","71,601","71,601","71,601",0,0
Board of Ethics,"763,116","576,694","484,413","92,281","810,000","810,000","810,000",0,o
Board of L & Review,"206,741","111,442","89,156","22,286","155,721","155,721","155,721",o,o
Board of Revision of Taxes,"8,788,727","5,497,188","5,534,287","(37,099)","7,816,024","7,816,024","7,816,024",o,o
Camp William Penn,"98,219","100,000","90,448","9,552","100,000","100,000","100,000",o,o
Capital Program Office,"2,931,111",o,0,o,o,o,o,o,o
City Commissioners (Election Board),"9,717,011","6,605,558","6,403,725","201,833","8,794,177","8,794,177","8,794,177",o,o
City Council,"14,546,172","12,036,730","9,659,854","2,376,876","16,048,973","16,048,973","16,048,973",o,o
City Planning Commission,"3,053,618","1,910,536","2,030,290","(119,754)","2,727,649","2,847,649","2,847,649","(120,000)",o
City Representative,"4,647,852","618,348","732,821","(114,473)","1,137,491","837,481","837,481","300,010",o
City Treasurer,"631,930","538,024","467,835","70,189","751,113","751,113","751,113",o,o
Civil Service Commission,"164,946","127,721","112,961","14,760","170,309","170,309","170,309",o,o
Clerk of Quarter Sessions,"4,960,211","3,412,751","3,277,537","135,214","4,915,313","4,915,313","4,915,313",0,o
Commerce,"1,634,157","1,319,804","994,623","325,181","2,101,276","1,838,276","1,838,276","263,000",o
Commerce-Economic Stimulus,"1,777,500",o,o,o,"1,452,386","1,452,386","1,452,386",o,o
Community College Subsidy,"26,467,924","26,467,924","26,467,924",o,"26,467,924","26,467,924","26,467,924",o,o
Convention Center Subsidy,"22,652,522","24,171,817","24,171,817",o,"25,000,000","25,000,000","25,000,000",0,o
District Attorney,"30,744,093","22,749,740","22,285,727","464,013","28,943,050","28,943,050","28,943,050",0,o
Division of Technology,"36,396,968","27,256,956","25,353,639","1,903,317","21,744,368","41,626,159","41,626,159","(19,881,791)",o
Fairmount Park,"13,502,792","9,354,976","9,535,451","(180,475)","12,590,512","12,590,512","12,590,512",0,o
Finance,"19,828,197","9,935,139","10,068,491","(133,352)","14,739,352","12,624,047","12,624,047","2,115,305",o
Finance Contribution to the School District,"38,490,000",o,o,o,"38,540,000","38,540,000","38,540,000",o,o
Finance Employee Benefits,"973,222,933","720,164,329","720,164,329",0,"812,775,344","848,181,344","848,181,344","(35,406,000)",o
Employee Disability,"49,013,731","38,156,789","38,156,789",o,"51,931,806","51,931,806","51,931,806",o,o
FICA,"68,768,267","48,721,659","48,721,659",o,"69,217,716","69,217,716","69,217,716",o,o
Flex Cash Payments,"742,381","778,134","778,134",o,"1,000,000","1,000,000","1,000,000",o,o
Group Legal,"6,817,785","3,022,436","3,022,436",o,"4,425,000","4,425,000","4,425,000",o,o
Group Life Insurance,"8,071,600","6,132,049","6,132,049",o,"7,600,000","7,600,000","7,600,000",o,o
Health/Medical,"376,995,055","264,038,286","264,038,286",o,"343,777,854","356,777,854","356,777,854","(13,000,000)",o
Pension,"374,586,425","253,559,713","253,559,713",o,"237,858,000","255,764,000","255,764,000","(17,906,000)",o
Pension Obligation Bonds,"84,402,109","100,673,062","100,673,062",o,"94,317,000","94,317,000","94,317,000",o,o
Tool Allowance,"104,900","94,600","94,600",o,"100,000","100,000","100,000",o,o
Unemployment Compensation,"3,720,680","4,987,601","4,987,601",o,"2,547,968","7,047,968","7,047,968","(4,500,000)",o
Anticipated Workforce Savings,o,o,o,,o,o,o,o,o
Finance - PGW Rental Reimbursement,"18,000,000",o,o,o,"18,000,000","18,000,000","18,000,000",o,o
Fire,"189,064,395","134,215,591","131,019,166","3,196,425","188,656,391","190,534,391","190,534,391","(1,878,000)",o
First Judicial District,"116,308,873","72,659,165","80,149,417","(7,490,252)","99,096,983","106,695,272","106,695,272","(7,598,289)",o
Common Pleas Court,"79,049,421","49,281,505","54,227,304","(4,945,799)","67,616,450","72,414,739","72,414,739","(4,798,289)",o
Municipal Court,"8,425,663","5,292,084","6,169,620","(877,536)","7,150,328","8,050,328","8,050,328","(900,000)",o
Office of the Exec. Administrator,"23,325,464","14,551,775","15,905,150","(1,353,375)","19,561,040","20,861,040","20,861,040","(1,300,000)",o
Traffic Court,"5,508,325","3,533,801","3,847,343","(313,542)","4,769,165","5,369,165","5,369,165","(600,000)",o
Fleet Management,"48,140,057","31,839,135","33,479,216","(1,640,081)","47,703,299","45,383,299","45,383,299","2,320,000",o
Fleet Management Vehicle Purchases,"6,395,095","2,270,743","2,235,969","34,774","4,550,926","2,750,926","2,750,926","1,800,000",o
Free Library,"37,370,480","24,524,514","23,822,995","701,519","32,968,362","32,968,362","32,968,362",o,o
Historical Commission,"376,759","313,552","291,699","21,853","413,120","413,120","413,120",o,o
Hero Award,"35,000","42,500","42,500",o,"25,000","42,500","42,500","(17,500)",o
Human Relations Commission,"2,075,802","1,514,597","1,431,479","83,118","2,083,868","2,151,991","2,151,991","(68,123)",o
Human Services,"599,818,672","521,467,363","518,820,900","2,646,463","590,878,063","563,505,473","563,505,473","27,372,590",o
Administration & Management,"14,507,960","11,323,030","11,117,355","205,675","15,709,860","14,486,714","14,486,714","1,223,146",o
Contract Admin. & Program Evaluation,"3,083,628","3,847,616","3,674,634","172,982",5.430.234,"5,430,234","5,430,234",o,o
Juvenile Justice Services,"140,784,937","127,371,080","127,774,729","(403,649)","139,466,253","133,207,590","133,207,590","6,258,663",o
Children & Youth (Child Welfare),"342,796,056","302,064,496","298,169,056","3,895,440","338,698,844","329,714,905","329,714,905","8,983,939",o
Community Based Prevention Services,"98,646,091","76,861,141","78,085,126","(1,223,985)","91,572,872","80,666,030","80,666,030","10,906,842",o
