0,1,2,3,4,0,1,2,3,4
Indemnities,"32,606,842","25,295,033","25,295,033",0,"32,457,600","30,908,946","30,908,946","1,548,654",0
Law,"14,349,764","10,438,727","11,048,010","(609,283)","12,770,544","14,777,401","14,777,401","(2,006,857)",o
Legal Services icl. Defender Association,"37,066,187","38,276,937","38,276,937",0,"37,066,187","38,744,097","38,744,097","(1,677,910)",0
Licenses & Inspections,"21,176,304","15,784,846","15,740,928","43,918","21,660,905","21,770,548","21,770,548","(109,643)",0
Managing Director (MDO),"21,722,694","26,372,589","26,372,589",0,"32,410,375","34,960,992","34,960,992","(2,550,617)",0
Mayor,"3,513,955","2,560,938","2,671,588","(110,650)","3,711,177","3,704,129","3,704,129","7,048",0
Mayor Office of Arts and Culture,"2,661,728","2,532,387","2,532,387",0,"2,670,238","2,670,975","2,670,975",(737),0
Mayor Office of the Inspector General,"1,239,132","901,350","880,465","20,885","1,255,822","1,460,507","1,460,507","(204,685)",0
Mayor Office of Labor Relations,"516,883","415,736","417,048","(1,312)","541,368","550,432","550,432","(9,064)",0
Mayor Scholarships,"184,000","200,000","200,000",0,"200,000","200,000","200,000",0,0
Mayor's Office of Community Services,0,0,0,0,0,0,0,o,0
Mayor's Office of Transportation,"498,499","475,177","455,526","19,651","545,915","633,569","633,569","(87,654)",0
Mural Arts Program,"996,477","674,212","817,310","(143,098)","940,800","1,148,769","1,148,769","(207,969)",0
Off. of Behavioral Hlth.& Intellectual Disability,"14,239,814","13,699,305","12,599,693","1,099,612","14,271,572","14,287,453","14,287,453","(15,881)",0
Office of Housing and Comm. Developmt.,"4,213,107","2,460,000","2,460,000",0,"2,520,000","2,520,000","2,520,000",0,0
Office of Human Resources,"4,945,223","3,900,526","3,667,779","232,747","5,347,459","5,498,778","5,498,778","(151,319)",0
Office of Innovation and Technology,"63,271,541","61,154,310","53,993,929","7,160,381","70,044,250","71,199,170","71,199,170","(1,154,920)",0
Office of Property Assessment,"7,967,720","8,939,058","8,631,278","307,780","11,714,752","13,575,595","13,575,595","(1,860,843)",0
Office of Supportive Housing,"38,347,615","36,957,043","39,095,212","(2,138,169)","39,640,736","42,695,555","42,695,555","(3,054,819)",0
Parks and Recreation,"45,369,290","37,461,331","37,388,694","72,637","47,781,231","51,271,555","51,271,555","(3,490,324)",0
Police,"552,292,087","407,651,961","398,412,424","9,239,537","556,818,243","571,657,128","571,657,128","(14,838,885)",0
Prisons,"231,522,589","201,481,201","195,238,929","6,242,272","227,850,603","239,718,506","241,718,506","(13,867,903)","(2,000,000)"
Procurement,"4,460,528","3,302,963","3,354,538","(51,575)","4,151,574","4,632,730","4,632,730","(481,156)",0
Public Health,"107,184,796","94,249,270","93,520,884","728,386","111,646,321","112,285,909","112,285,909","(639,588)",0
Ambulatory Health Services,"45,361,901","34,819,488","36,805,724","(1,986,236)","44,525,146","45,165,048","45,165,048","(639,902)",o
"Early Childhood, Youth & Women's Health","1,652,738","990,777","1,087,321","(96,544)","1,629,322","1,466,214","1,466,214","163,108",o
Phila. Nursing Home,"37,784,745","39,822,314","37,485,315","2,336,999","40,377,775","40,379,502","40,379,502","(1,727)",o
Environmental Protection Services,"5,777,400","4,596,667","4,122,500","474,167","6,272,520","6,335,338","6,335,338","(62,818)",o
Administration and Support Svcs,"6,710,274","4,855,055","4,855,055",o,"7,281,792","7,085,492","7,085,492","196,300",0
Medical Examiner's Office,"3,846,811","3,224,366","3,224,366",o,"3,965,469","4,181,917","4,181,917","(216,448)",o
Infectious Disease Control,"5,558,725","4,581,850","4,581,850",o,"5,630,971","5,616,482","5,616,482","14,489",o
Chronic Disease Control,"492,202","1,358,753","1,358,753",0,"1,963,326","2,055,916","2,055,916","(92,590)",o
Public Property,"53,167,614","38,174,355","30,195,706","7,978,649","65,028,173","55,835,050","55,835,050","9,193,123",0
Public Property SEPTA Subsidy,"66,360,000","49,476,000","65,170,000","(15,694,000)","66,360,000","66,360,000","66,360,000",0,o
Public Property Space Rentals,"16,795,777","17,267,661","17,939,277","(671,616)","17,267,661","18,267,661","18,267,661","(1,000,000)",0
Public Property Utilities,"31,157,967","32,015,165","31,919,099","96,066","32,015,165","32,015,165","32,015,165",o,0
Records,"3,840,761","3,135,965","2,897,250","238,715","4,009,212","4,022,041","4,022,041","(12,829)",0
Refunds,382,"100,000",36,"99,964","250,000","215,800","215,800","34,200",0
Register of Wills,"3,311,831","2,325,835","2,326,336",(501),"3,331,292","3,332,829","3,332,829","(1,537)",0
Revenue,"18,821,178","13,554,993","13,161,170","393,823","19,337,750","19,396,778","19,396,778","(59,028)",0
Sheriff,"15,445,690","11,697,785","10,754,688","943,097","14,088,657","15,597,046","15,597,046","(1,508,389)",0
Sinking Fund (Debt Service),"201,045,528","181,626,296","181,626,296",0,"222,473,567","215,473,567","215,473,567","7,000,000",0
