0,1,2,3,4,5,6,7,8,9
Licenses & Inspections,"38,311,706","27,315,422","27,315,422",0,"41,282,551","42,116,503","42,223,989","(941,438)","(107,486)"
L&I-Board of Building Standards,"83,562","57,088","57,088",0,"80,366","80,366","80,602",(236),(236)
L&I-Board of L & I Review,"139,997","98,581","98,581",0,"173,870","173,870","174,729",(859),(859)
Managing Director's Office,"45,304,925","37,153,521","37,153,521",0,"55,280,720","60,796,660","161,018,172","(105,737,452)","(100,221,512)"
Managing Director-Legal Services,"51,574,391","50,937,941","50,937,941",0,"50,938,541","50,938,541","50,938,541",0,0
Mayor's Office,"5,435,738","4,207,737","4,207,737",0,"6,113,633","6,298,286","6,298,286","(184,653)",0
Mayor's Office-Scholarships,"181,000","200,000","200,000",0,"200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"88,250","90,000","90,000",0,"90,000","90,000","90,000",0,0
Mural Arts Program,"2,367,227","2,287,334","2,287,334",0,"2,499,602","2,545,184","2,545,184","(45,582)",0
Office of Arts and Culture,"4,310,450","3,779,085","3,779,085",0,"4,098,002","4,419,130","4,419,130","(321,128)",0
Office of Behavioral Hith & Intellectual disAbility,"17,115,534","15,423,700","15,423,700",0,"15,895,444","16,131,407","15,916,345","(20,901)","215,062"
Office of the Chief Administrative Officer,"5,996,422","4,932,918","4,932,918",0,"7,438,265","7,510,044","7,510,538","(72,273)",(494)
Office of Education,"26,141,449","38,135,614","38,135,614",0,"45,350,014","45,350,014","45,350,014",0,0
Office of Homeless Services,"56,769,589","56,503,239","56,503,239",0,"59,945,719","60,821,026","60,869,901","(924,182)","(48,875)"
Office of Human Resources,"5,695,053","4,318,845","4,318,845",0,"6,874,287","6,895,524","6,909,801","(35,514)","(14,277)"
Office of Innovation and Technology-Base,"65,709,411","53,741,135","53,741,135",0,"71,198,539","75,969,758","76,019,361","(4,820,822)","(49,603)"
Office of Innovation and Technology-911,"12,895,463","16,768,726","16,768,726",0,"41,235,086","41,235,086","41,235,086",0,0
Office of the Inspector General,"1,513,853","1,044,211","1,044,211",0,"1,680,441","1,742,423","1,742,423","(61,982)",0
Office of Property Assessment,"13,934,797","10,198,713","10,198,713",0,"17,318,408","17,318,408","17,430,824","(112,416)","(112,416)"
Office of Sustainability,"955,678","714,157","714,157",0,"1,213,258","1,217,804","1,467,804","(254,546)","(250,000)"
Parks and Recreation,"67,144,275","47,296,622","47,296,622",0,"65,058,055","65,396,789","65,589,963","(531,908)","(193,174)"
Planning & Development,"12,481,691","12,554,775","12,554,775",0,"11,810,746","16,817,476","16,843,617","(5,032,871)","(26,141)"
Police,"727,904,939","500,253,916","500,253,916",0,"741,165,097","740,915,097","748,592,048","(7,426,951)","(7,676,951)"
Prisons,"237,042,656","190,881,470","190,881,470",0,"238,183,523","252,183,523","252,286,023","(14,102,500)","(102,500)"
Procurement,"5,025,883","4,384,704","4,384,704",0,"5,674,563","5,704,227","5,718,291","(43,728)","(14,064)"
Public Health,"142,683,666","109,191,279","109,191,279",0,"160,572,140","155,340,340","154,382,153","6,189,987","958,187"
Public Property,"71,552,535","41,264,004","41,264,004",0,"68,691,597","76,842,290","74,321,670","(5,630,073)","2,520,620"
Public Property-SEPTA Subsidy,"84,608,000","43,145,000","43,145,000",0,"87,556,000","86,356,000","86,356,000","1,200,000",0
Public Property-Space Rentals,"20,912,273","25,903,869","25,903,869",0,"26,278,677","26,278,677","26,278,677",0,0
Public Property-Utilities,"25,108,810","27,316,914","27,316,914",0,"27,393,339","27,393,339","27,393,339",0,0
Records,"4,381,749","3,002,170","3,002,170",0,"4,910,278","4,942,152","4,952,485","(42,207)","(10,333)"
Register of Wills,"4,369,231","3,356,397","3,356,397",0,"4,551,645","4,665,345","4,678,756","(127,111)","(13,411)"
Revenue,"31,623,367","22,646,874","22,646,874",0,"32,879,233","32,922,858","33,018,455","(139,222)","(95,597)"
Sheriff,"29,153,258","20,925,114","20,925,114",0,"27,046,961","27,046,961","27,245,365","(198,404)","(198,404)"
Sinking Fund Commission (Debt Service),"256,995,453","248,446,839","248,446,839",0,"296,705,317","296,705,317","296,705,317",0,0
Streets-Disposal,"47,536,717","39,705,631","39,705,631",0,"48,340,013","48,340,013","48,340,013",0,0
Streets,"111,934,458","74,741,661","74,741,661",0,"108,692,919","110,453,729","105,568,400","3,124,519","4,885,329"
TOTAL GENERAL FUND,"4,752,454,469","3,828,726,740","3,828,726,740",0,"5,025,266,000","5,115,647,849","5,152,709,082","(127,443,082)","(37,061,233)"
