0,1,2,3,4,5,6
Art Museum Subsidy,"2,550,000","2,040,000","2,040,000","2,040,000",0,0
Auditing (City Controller's Office),"9,983,963","9,568,289","9,568,289","9,568,289",0,0
Board of Ethics,"968,750","975,196","975,196","975,196",0,0
Board of Revision of Taxes,"1,106,373","1,043,214","1,043,214","1,043,214",0,0
City Commissioners (Election Board),"14,183,398","12,297,852","22,044,682","22,044,682","(9,746,830)",0
City Council,"17,406,469","42,282,973","17,486,973","17,486,973","24,796,000",0
City Representative,"1,029,060",0,0,0,0,0
City Treasurer,"1,456,308","1,583,938","1,948,938","1,948,938","(365,000)",0
Civil Service Commission,"190,826","207,742","207,742","207,742",0,0
Commerce,"10,227,130","3,637,148","3,334,826","3,334,826","302,322",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"5,654,666","3,015,000","3,015,000","3,015,000",0,0
District Attorney,"45,281,660","33,376,659","40,431,659","40,431,659","(7,055,000)",0
Finance,"99,287,977","38,724,672","65,020,029","61,919,029","(23,194,357)","3,101,000"
Finance-Budget Stabilization Reserve,"34,276,000",0,0,0,0,0
Finance-Disability-Reg #32 Payroll,"1,092,451","2,650,000","2,650,000","2,650,000",0,0
Finance-Federal Grant Reserve,0,"25,000,000",0,0,"25,000,000",0
Finance-Community College Subsidy,"36,059,207","44,110,159","44,110,159","44,110,159",0,0
Finance - Employee Benefits *,"1,363,379,632","1,287,159,003","1,302,161,016","1,302,161,016","(15,002,013)",0
Unemployment Compensation,"4,687,316","4,080,260","4,080,260","4,080,260",0,0
Employee Disability,"61,343,339","74,028,253","74,028,253","74,028,253",0,0
Pension Obligation Bonds,"110,070,681","34,847,911","28,597,680","28,597,680","6,250,231",0
Pension,"606,363,107","587,780,712","591,416,910","591,416,910","(3,636,198)",0
Pension-Sales Tax,"42,731,949","27,253,908","44,869,954","44,869,954","(17,616,046)",0
Pension-Plan 10,"344,685","300,000","300,000","300,000",0,0
FICA,"80,102,612","84,264,776","84,264,776","84,264,776",0,0
Flex Cash Payments,"911,356","800,000","800,000","800,000",0,0
Health / Medical,"443,747,420","459,268,183","459,268,183","459,268,183",0,0
Group Life Insurance,"4,878,548","8,850,000","8,850,000","8,850,000",0,0
Group Legal,"8,010,344","5,535,000","5,535,000","5,535,000",0,0
Tool Allowance,"188,275","150,000","150,000","150,000",0,0
Finance-Hero Scholarship Awards,0,"25,000","25,000","25,000",0,0
Finance-Indemnities,"7,238,981","49,246,000","49,246,000","49,246,000",0,0
Finance-Refunds,"11,660","250,000","250,000","250,000",0,0
Finance-School District Contribution,"227,106,410","252,578,558","252,578,558","252,578,558",0,0
Finance-Witness Fees,"94,904","171,518","171,518","171,518",0,0
Fire,"330,899,509","315,056,258","339,056,258","339,056,258","(24,000,000)",0
First Judicial District,"116,576,528","116,036,029","116,036,029","116,036,029",0,0
Fleet Management,"46,073,994","46,803,724","46,803,724","46,803,724",0,0
Fleet Management - Vehicle Purchases,"18,274,884","9,797,739","9,797,739","9,797,739",0,0
Free Library,"46,268,851","39,650,733","39,650,733","39,650,733",0,0
Human Relations Commission,"2,332,700","2,422,973","2,422,973","2,422,973",0,0
Human Services,"112,543,973","163,090,633","166,419,253","164,544,253","(1,453,620)","1,875,000"
Labor,"2,217,240","2,839,104","2,749,104","2,749,104","90,000",0
Law,"16,572,642","15,014,106","16,414,106","16,414,106","(1,400,000)",0
Licenses & Inspections,"38,894,319","38,251,694","38,251,694","38,251,694",0,0
L&I-Board of Building Standards,"79,592","82,018","82,018","82,018",0,0
L&I-Board of L & I Review,"136,765","176,071","176,071","176,071",0,0
Managing Director's Office,"106,923,960","70,615,244","128,233,063","124,001,896","(53,386,652)","4,231,167"
Managing Director-Legal Services,"50,938,541","50,104,181","50,104,181","50,535,348","(431,167)","(431,167)"
Mayor's Office,"6,137,229","6,463,592","6,780,092","6,780,092","(316,500)",0
Mayor's Office-Scholarships,"200,000","100,000","200,000","200,000","(100,000)",0
Mayor's Office-Comm. Empowerment & Opp.,"90,500","45,000","45,000","45,000",0,0
Mural Arts Program,"2,130,112","2,124,562","2,324,562","2,124,562",0,"200,000"
Office of Arts and Culture,"4,375,429",0,0,0,0,0
Office of Behavioral Hith & Intellectual disAbility,"15,911,407","15,477,402","15,477,402","15,477,402",0,0
Office of the Chief Administrative Officer,"6,764,845","6,333,779","6,333,779","6,333,779",0,0
Office of Children and Families,"43,088,830","418,820","418,820","418,820",0,0
Office of Homeless Services,"60,113,037","44,038,587","45,038,587","45,038,587","(1,000,000)",0
Office of Human Resources,"5,965,201","6,237,735","6,237,735","6,037,735","200,000","200,000"
Office of Innovation and Technology-Base,"75,977,630","75,795,173","77,317,442","77,317,442","(1,522,269)",0
Office of Innovation and Technology-911,"19,916,769","53,564,955","53,564,955","53,564,955",0,0
Office of the Inspector General,"1,497,267","1,575,681","1,575,681","1,575,681",0,0
Office of Property Assessment,"14,711,421","16,101,293","16,101,293","16,101,293",0,0
Office of Sustainability,"1,225,513","1,203,180","1,279,219","1,279,219","(76,039)",0
Parks and Recreation,"64,969,290","54,926,154","55,271,008","55,271,008","(344,854)",0
