0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2008,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 05 Year End,FY 06 Year End,FY 07 Year End,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budgt.,Budget,Budget,Projection,Adopted Budget,Target Budget
Revenue,,,,,,,,,,,
Full-Time Positions,267,247,237,271,252,19,271,271,252,19,19
Class 100 Total Oblig./Approp.,"11,992,134","12,037,221","12,073,257","12,826,474","12,826,474",0,"13,002,458","12,826,474","12,826,474","175,984",0
Class 100 Overtime Oblig./Approp.,"602,518","723,338","830,402","790,013","737,668","52,345","675,137","790,013","737,668","(62,531)","52,345"
Sheriff,,,,,,,,,,,
Full-Time Positions,247,243,241,263,238,25,263,263,238,25,25
Class 100 Total Oblig./Approp.,"12,526,890","12,935,460","13,856,672","14,435,648","14,435,648",0,"14,134,856","14,435,648","14,435,648","(300,792)",0
Class 100 Overtime Oblig./Approp.,"1,880,287","2,584,300","2,938,803","3,032,100","3,190,678","(158,578)","2,155,296","3,032,100","3,190,678","(1,035,382)","(158,578)"
Streets,,,,,,,,,,,
Full-Time Positions,564,586,592,625,591,34,625,625,591,34,34
Class 100 Total Oblig./Approp.,"13,866,317","17,443,518","20,364,041","20,476,564","20,463,560","13,004","20,486,564","20,476,564","20,476,564","10,000",0
Class 100 Overtime Oblig./Approp.,"2,010,752","2,322,264","1,413,275","2,185,000","2,584,126","(399,126)","2,195,000","2,185,000","2,584,126","(389,126)","(399,126)"
Engineering Design & Surveying,,,,,,,,,,,
Full-Time Positions,98,93,95,103,94,9,103,103,94,9,9
Class 100 Total Oblig./Approp.,"5,667,559","5,239,655","5,351,637","5,580,489","5,297,857","282,632","5,580,489","5,580,489","5,580,489",o,o
Class 100 Overtime Oblig./Approp.,"407,386","398,341","321,379","300,000","290,806","9,194","300,000","300,000","290,806","9,194","9,194"
Highways,,,,,,,,,,,
Full-Time Positions,268,314,304,320,311,9,320,320,311,9,9
Class 100 Total Oblig./Approp.,"2,083,406","5,284,616","7,652,469","7,559,679","7,322,759","236,920","7,559,679","7,559,679","7,559,679",o,0
Class 100 Overtime Oblig./Approp.,"1,175,146","1,450,028","728,224","1,500,000","1,728,904","(228,904)","1,500,000","1,500,000","1,728,904","(228,904)","(228,904)"
Street Lighting,,,,,,,,,,,
Full-Time Positions,19,19,23,22,21,1,22,22,21,1,1
Class 100 Total Oblig./Approp.,"247,558","582,520","600,014","647,688","774,107","(126,419)","657,688","647,688","647,688","10,000",o
Class 100 Overtime Oblig./Approp. (See footnote above),"95,715","95,923","54,712","90,000","139,089","(49,089)","100,000","90,000","139,089","(39,089)","(49,089)"
