0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Mayor's Office of Community Services,,,,,,,,,,,
Full-Time Positions,o,22,87,o,o,0,o,o,0,o,0
Class 100 Total Oblig./Approp.,o,"3,540,164",o,o,o,0,o,0,0,o,o
Class 100 Overtime Oblig./Approp.,o,"216,946",0,0,0,0,0,0,o,o,o
Mayor Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,o,o,o,19,15,4,19,19,15,4,4
Class 100 Total Oblig./Approp.,0,o,o,"1,219,677","1,219,677",o,"1,219,677","1,219,677","1,219,677",o,0
Class 100 Overtime Oblig./Approp.,o,o,o,o,0,o,o,o,0,o,o
Mayor's Office of Transportation,,,,,,,,,,,
Full-Time Positions,o,0,8,7,8,(1),7,7,8,(1),(1)
Class 100 Total Oblig./Approp.,o,o,"410,517","500,000","500,000",o,"500,000","500,000","500,000",o,o
Class 100 Overtime Oblig./Approp.,o,o,o,0,0,o,0,o,0,o,o
Mural Arts Program,,,,,,,,,,,
Full-Time Positions,14,12,12,12,12,o,12,12,12,o,o
Class 100 Total Oblig./Approp.,"453,526","472,382","427,864","475,000","475,000",o,"475,000","475,000","475,000",o,0
Class 100 Overtime Oblig./Approp.,"1,218","1,462","1,866","3,915",o,"3,915","3,915","3,915",o,"3,915","3,915"
Office of Behavioral Health/Mental Retardation Services,,,,,,,,,,,
Full-Time Positions,35,28,26,24,22,2,32,24,22,10,2
Class 100 Total Oblig ./Approp.,"2,222,971","2,018,861","2,142,857","1,595,978","1,595,978",o,"2,158,714","1,595,978","1,595,978","562,736",o
Class 100 Overtime Oblig./Approp.,"32,541","22,633","21,486","18,667","16,667","2,000","20,240","18,667","16,667","3,573","2,000"
Office of Human Resources,,,,,,,,,,,
Full-Time Positions,70,68,64,61,53,8,70,61,53,17,8
Class 100 Total Oblig./Approp.,"3,956,530","3,939,679","3,507,656","3,601,162","3,601,162",o,"3,790,162","3,601,162","3,601,162","189,000",o
Class 100 Overtime Oblig./Approp.,"104,259","139,657","23,516","30,000","30,611",(611),"30,000","30,000","30,611",(611),(611)
Office of Supportive Housing,,,,,,,,,,,
Full-Time Positions,132,126,126,132,124,8,132,132,124,8,8
Class 100 Total Oblig./Approp.,"6,828,986","6,202,044","6,714,527","6,339,476","6,339,476",0,"6,339,476","6,339,476","6,339,476",o,0
Class 100 Overtime Oblig./Approp.,"743,878","700,875","446,646","358,376","439,003","(80,627)","380,277","358,376","439,003","(58,726)","(80,627)"
