0,1,2,3,4,5,6,7,8
,,,,,,FY 2020 FULL YEAR,,
Department/Category,FY 17 Year End,FY 18 Year End,FY 19 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Managing Director,,,,,,,,
Full-Time Positions,296,307,307,344,365,287,57,78
Class 100 Total Oblig./Approp.,"18,885,758","20,292,249","20,519,487","23,170,579","50,110,339","50,147,542","(26,976,963)","(37,203)"
Class 100 Overtime Oblig./Approp.,"444,040","471,245","501,777","485,000","785,000","840,000","(355,000)","(55,000)"
Mayor's Office,,,,,,,,
Full-Time Positions,42,41,51,60,60,61,(1),(1)
Class 100 Total Oblig./Approp.,"3,647,357","3,487,719","4,779,593","5,393,827","5,578,480","5,578,480","(184,653)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,100,100,(100),0
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,
Full-Time Positions,0,2,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"90,000","233,263","90,000","90,000","90,000","90,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Mural Arts Program,,,,,,,,
Full-Time Positions,10,11,11,12,12,10,2,2
Class 100 Total Oblig./Approp.,"528,228","545,525","587,931","638,987","649,569","649,569","(10,582)",0
Class 100 Overtime Oblig./Approp.,"14,905","28,588","16,444","13,609","20,609","12,000","1,609","8,609"
Office of Arts and Culture,,,,,,,,
Full-Time Positions,4,5,7,8,8,2,6,6
Class 100 Total Oblig./Approp.,"236,770","274,563","453,399","508,300","579,428","579,428","579,428",0
Class 100 Overtime Oblig./Approp.,0,0,40,0,200,200,(200),0
Office of Behavioral Health and Intellectual disAbility,,,,,,,,
Full-Time Positions,16,16,16,23,23,24,(1),(1)
Class 100 Total Oblig./Approp.,"1,006,269","1,558,164","1,580,748","1,534,468","1,555,369","1,556,209","(21,741)",(840)
Class 100 Overtime Oblig./Approp.,"9,922","6,737","6,906","6,000","7,000","7,000","(1,000)",0
Office of the Chief Administrative Officer,,,,,,,,
Full-Time Positions,55,58,56,74,74,64,10,10
Class 100 Total Oblig./Approp.,"3,830,324","4,045,694","3,831,785","4,784,551","4,856,824","4,866,328","(81,777)","(9,504)"
Class 100 Overtime Oblig./Approp.,"6,608","54,046","21,904","40,798","10,798","3,000","37,798","7,798"
Office of Education,,,,,,,,
Full-Time Positions,32,33,32,47,47,40,7,7
Class 100 Total Oblig./Approp.,"1,933,963","2,215,607","2,318,022","3,292,180","3,292,180","3,292,180",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,
Full-Time Positions,146,150,151,160,160,151,9,9
Class 100 Total Oblig./Approp.,"8,491,983","8,685,048","9,056,465","9,545,748","9,614,067","9,657,675","(111,927)","(43,608)"
Class 100 Overtime Oblig./Approp.,"201,512","145,390","201,728","228,734","228,734","340,000","(111,266)","(111,266)"
