0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2011,,,,,FISCAL YEAR 2012,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,290,12,302,311,15,326,284,15,299,27
Managing Director (MDO),153,17,170,145,15,160,131,24,155,5
Mayor,33,4,37,35,4,39,34,4,38,1
Mayor - Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Mayor - Office of the Inspector General,16,0,16,18,0,18,18,0,18,0
Mayor's Office of Comm. Svcs.,0,73,73,0,81,81,0,64,64,17
Mayor's Office of Transportation,8,2,10,10,1,11,8,3,11,0
Mural Arts Program,12,0,12,12,0,12,11,0,11,1
Off. of Behavioral Hith/Mental Retard. Svcs.,21,232,253,21,270,291,22,242,264,27
Office of Human Resources,73,0,73,80,0,80,80,0,80,0
Office of Innovation and Technology,258,67,325,284,84,368,249,64,313,55
Office of Property Assessment (2),132,0,132,227,0,227,138,0,138,89
Off. of Supportive Housing,116,44,160,118,49,167,143,8,151,16
Office of Housing and Community Develop.,0,72,72,0,74,74,0,62,62,12
Parks and Recreation,590,22,612,627,27,654,575,23,598,56
Police Total,"7,219",165,"7,384","7,371",216,"7,587","7,238",164,"7,402",185
Civilian,778,11,789,846,11,857,792,11,803,54
Uniform,"6,441",154,"6,595","6,525",205,"6,730","6,446",153,"6,599",131
Prisons,"2,166",o,"2,166","2,310",0,"2,310","2,122",0,"2,122",188
Procurement,45,2,47,49,2,51,45,0,45,6
Public Health,661,224,885,731,290,"1,021",671,205,876,145
Public Property,126,o,126,129,0,129,119,0,119,10
Records,61,0,61,63,0,63,60,0,60,3
Register of Wills,63,0,63,65,0,65,63,0,63,2
Revenue,248,239,487,299,270,569,287,239,526,43
Sheriff,221,0,221,245,0,245,226,o,226,19
Streets,510,0,510,557,0,557,525,0,525,32
Streets Sanitation,"1,179",0,"1,179","1,228",o,"1,228","1,134",o,"1,134",94
Water,0,"1,646","1,646",0,"1,907","1,907",0,"1,625","1,625",282
Youth Commission,1,0,1,1,0,1,0,0,0,1
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,2,0,2,2,0,2,0,0,0,2
,,,,,,,,,,
TOTAL ALL FUNDS,"22,020","4,540","26,560","22,102","7,162","29,264","20,309","6,035","26,344","2,920"
