0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2016,,,,,FISCAL YEAR 2017,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,0,0,0,63,0,63,55,0,55,8
Office of Community Schools and Pre-K,0,0,0,26,0,26,32,0,32,(6)
Office of Homeless Services,146,12,158,162,14,176,146,18,164,12
Office of Housing & Comm. Development,0,48,48,0,52,52,0,48,48,4
Office of Human Resources,84,0,84,90,0,90,85,0,85,5
Office of Innovation and Technology,271,80,351,283,88,371,274,88,362,9
Office of the Inspector General,19,0,19,19,0,19,18,0,18,1
Office of Planning and Development,0,0,0,3,0,3,4,0,4,(1)
Office of Property Assessment,200,0,200,223,0,223,199,0,199,24
Office of Sustainability,8,1,9,8,1,9,7,1,8,1
Parks and Recreation,593,19,612,720,24,744,607,22,629,115
Police Total,"6,942",179,"7,121","7,371",166,"7,537","6,986",162,"7,148",389
Civilian,793,10,803,846,11,857,812,10,822,35
Uniform,"6,149",169,"6,318","6,525",155,"6,680","6,174",152,"6,326",354
Prisons,"2,289",0,"2,289","2,325",0,"2,325","2,277",0,"2,277",48
Procurement,42,2,44,51,2,53,44,2,46,7
Public Health,653,153,806,773,224,997,687,154,841,156
Public Property,135,0,135,159,0,159,146,0,146,13
Records,57,0,57,63,0,63,57,0,57,6
Register of Wills,69,0,69,71,0,71,72,0,72,(1)
Revenue,378,231,609,438,285,723,402,241,643,80
Sheriff,330,0,330,380,0,380,348,0,348,32
Streets Sanitation,"1,145",0,"1,145","1,240",0,"1,240","1,184",0,"1,184",56
Streets - Transportation,531,0,531,561,0,561,518,1,519,42
Water,0,"1,796","1,796",0,"1,985","1,985",0,"1,812","1,812",173
Youth Commission,1,0,1,0,0,0,0,0,0,0
,,,,,,,,,,
TOTAL ALL FUNDS,"21,427","5,615","27,042","22,796","6,343","29,139","21,610","5,849","27,459","1,680"
