dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,2008,2500000.0,,34,Art Museum,34
Atwater Kent Museum,256702.0,0.0,0.0,50000.0,0.0,0.0,0.0,2008,306702.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,7104935.0,951445.0,162277.0,0.0,0.0,0.0,0.0,2008,8218657.0,,61,City Controller's Office,61
Board of Building Standards,95635.0,0.0,59.0,0.0,0.0,0.0,0.0,2008,95694.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,378707.0,78955.0,84449.0,0.0,0.0,0.0,0.0,2008,542111.0,,45,Board of Ethics,45
Board of L.&I. Review,196609.0,5515.0,602.0,0.0,0.0,0.0,0.0,2008,202726.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7861365.0,284955.0,213602.0,0.0,0.0,0.0,0.0,2008,8359922.0,BRT,63,Board of Revision of Taxes,63
Camp William Penn,238996.0,95957.0,43013.0,0.0,0.0,0.0,0.0,2008,377966.0,,19,Camp William Penn,19
Capital Program Office,1358012.0,318500.0,89137.0,0.0,0.0,572000.0,0.0,2008,2337649.0,,07,Capital Program Office,07
City Commissioners,5656970.0,3043768.0,585207.0,0.0,0.0,0.0,0.0,2008,9285945.0,City Commissioners,73,City Commissioner's Office,73
City Council,11747063.0,2425583.0,405774.0,0.0,0.0,0.0,0.0,2008,14578420.0,,01,City Council,01
City Planning,2990671.0,305711.0,51750.0,0.0,0.0,0.0,0.0,2008,3348132.0,,51,City Planning Commission,51
City Representative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,0.0,City Rep,41,Office of the City Representative,41
City Treasurer,637361.0,57050.0,23973.0,0.0,0.0,0.0,0.0,2008,718384.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,122147.0,24500.0,1977.0,0.0,0.0,0.0,0.0,2008,148624.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4807963.0,25189.0,31352.0,0.0,0.0,0.0,0.0,2008,4864504.0,,64,Clerk of Quarter Sessions,64
Commerce,1052506.0,6282944.0,93702.0,2200000.0,0.0,0.0,0.0,2008,9629152.0,Commerce,42,Office of the Director of Commerce,42
Commerce-Economic Stimulus,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,2008,4000000.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,24467924.0,0.0,0.0,0.0,2008,24467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,32310293.0,2008,32310293.0,,42CC,Commerce: Convention Center Subsidy,42
Debt Service (Sinking Fund),0.0,85060202.0,0.0,0.0,87160770.0,0.0,0.0,2008,172220972.0,Sinking Fund,37,Sinking Fund Commission,37
Director of Finance,10337578.0,7485126.0,531713.0,2348841.0,0.0,0.0,0.0,2008,20703258.0,Finance,35,Office of the Director of Finance,35
District Attorney,29774477.0,1537803.0,439275.0,0.0,0.0,0.0,0.0,2008,31751555.0,DAO,69,District Attorney's Office,69
Division of Technology,9634660.0,24067761.0,334442.0,0.0,0.0,0.0,0.0,2008,34036863.0,OIT,04,Office of Innovation and Technology,04
Fairmount Park Commission,9255784.0,2398255.0,668000.0,850000.0,0.0,0.0,0.0,2008,13172039.0,,17,Fairmount Park Commission,17
Finance-Contribution to School District,0.0,0.0,0.0,37000000.0,0.0,0.0,0.0,2008,37000000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,983038761.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,983038761.0,,35EB,Finance: Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,2008,18000000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,169912740.0,6157590.0,6094882.0,0.0,0.0,7014000.0,0.0,2008,189179212.0,Fire,13,Fire Department,13
First Judicial District,91950443.0,25564167.0,2501756.0,0.0,0.0,0.0,0.0,2008,120016366.0,FJD,84,First Judicial District,84
