dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,dept_name,dept_code,abbreviation,dept_major_code
& Inspection-Demolition,0.0,8000000.0,0.0,0.0,0.0,0.0,2006,0,8000000.0,L&I: Demolition,26-D,,26
Art Museum,0.0,0.0,0.0,2000000.0,0.0,0.0,2006,0,2000000.0,Art Museum,34,,34
Atwater Kent Museum,264000.0,6000.0,0.0,0.0,0.0,0.0,2006,0,270000.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,6560820.0,447894.0,92619.0,0.0,0.0,0.0,2006,0,7101333.0,City Controller's Office,61,,61
Board of Building Standards,116122.0,527.0,628.0,0.0,0.0,0.0,2006,0,117277.0,L&I: Board of Building and Standards,29,,29
Board of L.&I. Review,175231.0,30223.0,628.0,0.0,0.0,0.0,2006,0,206082.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,7833871.0,338186.0,144702.0,0.0,0.0,1206142.0,2006,0,9522901.0,Board of Revision of Taxes,63,BRT,63
Camp William Penn,138355.0,96087.0,43835.0,612.0,0.0,0.0,2006,0,278889.0,Camp William Penn,19,,19
Capital Program Office,893171.0,349562.0,89184.0,0.0,0.0,572000.0,2006,0,1903917.0,Capital Program Office,07,,07
City Commissioners,4637430.0,2786964.0,601797.0,0.0,0.0,0.0,2006,0,8026191.0,City Commissioner's Office,73,City Commissioners,73
City Council,11205719.0,2288820.0,1019535.0,0.0,0.0,0.0,2006,0,14514074.0,City Council,01,,01
City Planning,3118530.0,114813.0,60738.0,0.0,0.0,0.0,2006,0,3294081.0,City Planning Commission,51,,51
City Treasurer,577134.0,79901.0,24224.0,0.0,0.0,0.0,2006,0,681259.0,Office of the City Treasurer,40,City Treasurer,40
Civic Center,0.0,0.0,0.0,0.0,0.0,0.0,2006,0,0.0,Division of Aviation,43,Aviation,43
Civil Service,133166.0,24500.0,2062.0,0.0,0.0,0.0,2006,0,159728.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4261574.0,28734.0,57342.0,0.0,0.0,0.0,2006,0,4347650.0,Clerk of Quarter Sessions,64,,64
Commerce-Economic Stimulus,0.0,4000000.0,0.0,0.0,0.0,0.0,2006,0,4000000.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,22467924.0,0.0,0.0,2006,0,22467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,38604007.0,2006,0,38604007.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,85836788.0,0.0,0.0,80284956.0,0.0,2006,0,166121744.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,7905305.0,9407556.0,550555.0,0.0,0.0,375900.0,2006,0,18239316.0,Office of the Director of Finance,35,Finance,35
District Attorney,26372934.0,1739124.0,854162.0,0.0,0.0,143022.0,2006,0,29109242.0,District Attorney's Office,69,DAO,69
Fairmount Park Commission,8917919.0,2742509.0,618621.0,850000.0,0.0,0.0,2006,0,13129049.0,Fairmount Park Commission,17,,17
Finance-Contribution  to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,2006,0,35000000.0,Finance: School District Contribution,35-SD,,35
Finance-Employee Benefits,754499000.0,0.0,0.0,0.0,0.0,0.0,2006,0,754499000.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW Rental Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2006,0,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,151638881.0,5274583.0,5428819.0,0.0,0.0,7579000.0,2006,0,169921283.0,Fire Department,13,Fire,13
First Judicial District,82746665.0,23533226.0,2520354.0,0.0,0.0,0.0,2006,0,108800245.0,First Judicial District,84,FJD,84
Fleet Management,15653328.0,4819000.0,18277272.0,0.0,0.0,0.0,2006,0,38749600.0,Office of Fleet Management,25,Fleet,25
Free Library,33534607.0,1352202.0,3880808.0,0.0,0.0,0.0,2006,0,38767617.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,2006,0,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,286037.0,24247.0,6041.0,0.0,0.0,0.0,2006,0,316325.0,Historical Commission,32,,32
Human Relations,1979232.0,57131.0,19274.0,0.0,0.0,0.0,2006,0,2055637.0,Commission on Human Relations,54,Human Relations,54
Human Services,85357763.0,564997893.0,5219435.0,29326.0,0.0,0.0,2006,0,655604417.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,25113915.0,0.0,0.0,2006,0,25113915.0,Finance: Indemnities,35-IN,,35
Labor Relations,451945.0,19204.0,18876.0,0.0,0.0,0.0,2006,0,490025.0,Labor,03,,03
Law,9394567.0,4202947.0,250024.0,0.0,0.0,0.0,2006,0,13847538.0,Law Department,44,Law,44
Legal Services,0.0,33606562.0,0.0,0.0,0.0,0.0,2006,0,33606562.0,MDO: Legal Services,10-LS,,10
Licenses & Inspection,16726117.0,3506034.0,623198.0,0.0,0.0,0.0,2006,0,20855349.0,Department of Licenses and Inspections,26,L&I,26
Management -Vehicle Purchase,0.0,0.0,6480000.0,0.0,0.0,0.0,2006,0,6480000.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Managing Director,7235736.0,4685040.0,767256.0,0.0,0.0,0.0,2006,0,12688032.0,Managing Director's Office,10,MDO,10
Mayor - Mural Arts Program,542718.0,306493.0,0.0,0.0,0.0,0.0,2006,0,849211.0,Mural Arts Program,50,Mural Arts,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,2006,0,200000.0,Mayor's Office: Scholarships,05-S,,05
