sector,apr_2016,apr_2015,apr_2014,apr_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,5059491,5044723,4285314,4342942,0.3,17.7,-1.3,5.2,14768,
Manufacturing,8980514,11578030,10969445,9354821,-22.4,5.5,17.3,-1.4,-2597516,
"Chemicals, Petroleum Refining",1865076,2439575,2280323,1393214,-23.5,7.0,63.7,10.2,-574499,Manufacturing
Pharmaceuticals,2011271,2824031,2364348,2143657,-28.8,19.4,10.3,-2.1,-812760,Manufacturing
Transportation Equipment,911424,955432,1011606,779679,-4.6,-5.6,29.7,5.3,-44009,Manufacturing
Food & Beverage Products,1089183,1404319,1374654,1113572,-22.4,2.2,23.4,-0.7,-315136,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",678856,934156,936771,811826,-27.3,-0.3,15.4,-5.8,-255300,Manufacturing
Metal Manufacturing,655375,937955,816376,815850,-30.1,14.9,0.1,-7.0,-282580,Manufacturing
Miscellaneous Manufacturing,1769329,2082562,2185367,2297023,-15.0,-4.7,-4.9,-8.3,-313233,Manufacturing
Public Utilities,1222804,1432409,1442222,1112867,-14.6,-0.7,29.6,3.2,-209605,
Transportation and Warehousing,4631925,5282723,5068347,4475455,-12.3,4.2,13.2,1.2,-650798,
Telecommunication,5430087,6108443,6632500,5448621,-11.1,-7.9,21.7,-0.1,-678356,
"Publishing, Broadcasting, and Other Information",1871289,2508039,2276071,2150853,-25.4,10.2,5.8,-4.5,-636749,
Wholesale Trade,2888418,4317704,4637656,3833618,-33.1,-6.9,21.0,-9.0,-1429285,
Retail Trade,7091748,8828356,7671185,7764975,-19.7,15.1,-1.2,-3.0,-1736608,
Banking & Credit Unions,3835935,4451084,4231274,4038292,-13.8,5.2,4.8,-1.7,-615149,
Securities / Financial Investments,5637573,5994838,5000797,5729719,-6.0,19.9,-12.7,-0.5,-357266,
Insurance,5491246,7347279,6288836,5112857,-25.3,16.8,23.0,2.4,-1856033,
"Real Estate, Rental and Leasing",2145967,2796511,2703695,2694414,-23.3,3.4,0.3,-7.3,-650544,
Health and Social Services,28189874,32244467,29221025,26212061,-12.6,10.3,11.5,2.5,-4054593,
Hospitals,15635157,17005256,15453422,13457261,-8.1,10.0,14.8,5.1,-1370099,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3014782,4142894,3984183,3805321,-27.2,4.0,4.7,-7.5,-1128112,Health and Social Services
Outpatient Care Centers and Other Health Services,3955028,5108789,4241450,3795935,-22.6,20.4,11.7,1.4,-1153761,Health and Social Services
Nursing & Personal Care Facilities,3036422,3027515,2931570,2755188,0.3,3.3,6.4,3.3,8907,Health and Social Services
Social Services,2548486,2960013,2610400,2398355,-13.9,13.4,8.8,2.0,-411527,Health and Social Services
Education,15679704,13920284,13404864,12450744,12.6,3.8,7.7,8.0,1759421,
College and Universities,12706939,10420905,10125015,9201682,21.9,2.9,10.0,11.4,2286034,Education
"Elementary, Secondary Schools",1993900,2390116,2222702,2135400,-16.6,7.5,4.1,-2.3,-396216,Education
Other Educational Services,978865,1109262,1057147,1113662,-11.8,4.9,-5.1,-4.2,-130397,Education
Professional Services,14385798,17443338,16476319,15248643,-17.5,5.9,8.1,-1.9,-3057540,
Legal Services,4427795,5631270,5417772,4913464,-21.4,3.9,10.3,-3.4,-1203476,Professional Services
Management Consulting,2823402,3608920,3476555,3080141,-21.8,3.8,12.9,-2.9,-785518,Professional Services
Engineering & Architectural Services,1880046,1873983,1704615,1712228,0.3,9.9,-0.4,3.2,6063,Professional Services
Computer,1280719,1692565,1600682,1536800,-24.3,5.7,4.2,-5.9,-411846,Professional Services
"Accounting, Auditing, Bookkeeping",1804186,1706189,1563863,1494818,5.7,9.1,4.6,6.5,97997,Professional Services
Advertising and Other Professional Services,2169650,2930410,2712831,2511191,-26.0,8.0,8.0,-4.8,-760760,Professional Services
Hotels,777672,951794,971733,866380,-18.3,-2.1,12.2,-3.5,-174122,
Restaurants,3694267,4564860,3804049,3812378,-19.1,20.0,-0.2,-1.0,-870593,
Sport Teams,993556,1269852,1928163,1968363,-21.8,-34.1,-2.0,-20.4,-276296,
"Arts, Entertainment, and Other Recreation",1046247,1202083,1149891,1067098,-13.0,4.5,7.8,-0.7,-155836,
Other Sectors,9606860,12931841,10386051,10640545,-25.7,24.5,-2.4,-3.3,-3324980,
Membership Organizations,2837888,3241525,3167649,2961435,-12.5,2.3,7.0,-1.4,-403637,Other Sectors
Employment/Outsourcing Agencies,2159966,2600651,2161095,2270846,-16.9,20.3,-4.8,-1.7,-440685,Other Sectors
Security and Investigation Services,651152,703600,627091,662232,-7.5,12.2,-5.3,-0.6,-52448,Other Sectors
Services to Buildings,836158,1004423,1017335,1013462,-16.8,-1.3,0.4,-6.2,-168266,Other Sectors
Miscellaneous Sectors,3121697,5381641,3412881,3732569,-42.0,57.7,-8.6,-5.8,-2259944,Other Sectors
Government,12561155,14804110,26367546,22835168,-15.2,-43.9,15.5,-18.1,-2242955,
State Government (PA),959534,974107,917626,1073808,-1.5,6.2,-14.5,-3.7,-14573,Government
"City, School District, Local Quasi Govt.",8731691,10652780,12691826,9086746,-18.0,-16.1,39.7,-1.3,-1921089,Government
Federal Government,2742338,2956430,12589888,12485425,-7.2,-76.5,0.8,-39.7,-214092,Government
Other Governments,127592,220793,168206,189189,-42.2,31.3,-11.1,-12.3,-93201,Government
Unclassified Accounts,384160,281932,288955,247337,36.3,-2.4,16.8,15.8,102228,
