sector,may_2016,may_2015,may_2014,may_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,5909065,4540618,4227340,3796263,30.1,7.4,11.4,15.9,1368447,
Manufacturing,9379481,8079471,7866616,7948462,16.1,2.7,-1.0,5.7,1300010,
"Chemicals, Petroleum Refining",1138946,1601098,1289800,1429639,-28.9,24.1,-9.8,-7.3,-462151,Manufacturing
Pharmaceuticals,1763010,1326346,1729696,1414990,32.9,-23.3,22.2,7.6,436664,Manufacturing
Transportation Equipment,897391,848620,823464,1004501,5.7,3.1,-18.0,-3.7,48771,Manufacturing
Food & Beverage Products,1340664,1307662,1058523,1139212,2.5,23.5,-7.1,5.6,33002,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",843222,659956,718382,722722,27.8,-8.1,-0.6,5.3,183266,Manufacturing
Metal Manufacturing,1143627,575611,661698,604820,98.7,-13.0,9.4,23.7,568016,Manufacturing
Miscellaneous Manufacturing,2252620,1760178,1585053,1632578,28.0,11.0,-2.9,11.3,492442,Manufacturing
Public Utilities,1021775,980615,887809,1023716,4.2,10.5,-13.3,-0.1,41160,
Transportation and Warehousing,4939317,4351181,3981137,4288808,13.5,9.3,-7.2,4.8,588135,
Telecommunication,3074331,2893846,2595703,2594170,6.2,11.5,0.1,5.8,180485,
"Publishing, Broadcasting, and Other Information",2311047,1828906,1608256,1811546,26.4,13.7,-11.2,8.5,482141,
Wholesale Trade,4311399,2849415,2644462,2836110,51.3,7.8,-6.8,15.0,1461984,
Retail Trade,8150751,6395118,6115427,6193652,27.5,4.6,-1.3,9.6,1755633,
Banking & Credit Unions,2986052,2482671,2395883,2452512,20.3,3.6,-2.3,6.8,503382,
Securities / Financial Investments,3074272,3232532,4318630,4130104,-4.9,-25.1,4.6,-9.4,-158260,
Insurance,4701061,3908315,3864662,4187333,20.3,1.1,-7.7,3.9,792746,
"Real Estate, Rental and Leasing",2404781,1701739,1671694,1585143,41.3,1.8,5.5,14.9,703042,
Health and Social Services,30862349,25806301,25920435,26726208,19.6,-0.4,-3.0,4.9,5056048,
Hospitals,15010335,14004988,13836900,14123731,7.2,1.2,-2.0,2.1,1005347,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4284871,2986996,2903779,3274161,43.5,2.9,-11.3,9.4,1297875,Health and Social Services
Outpatient Care Centers and Other Health Services,5247291,3700526,4369412,4698093,41.8,-15.3,-7.0,3.8,1546765,Health and Social Services
Nursing & Personal Care Facilities,2993829,2762776,2605368,2639994,8.4,6.0,-1.3,4.3,231053,Health and Social Services
Social Services,3326024,2351016,2204976,1990229,41.5,6.6,10.8,18.7,975008,Health and Social Services
Education,14419920,12917114,12753973,12148692,11.6,1.3,5.0,5.9,1502806,
College and Universities,10853895,10342705,9909015,9374830,4.9,4.4,5.7,5.0,511190,Education
"Elementary, Secondary Schools",2399924,1678120,1969232,1892772,43.0,-14.8,4.0,8.2,721805,Education
Other Educational Services,1166101,896289,875725,881090,30.1,2.3,-0.6,9.8,269812,Education
Professional Services,18141740,13512116,12466356,12741670,34.3,8.4,-2.2,12.5,4629623,
Legal Services,5160220,4455170,4449590,4960916,15.8,0.1,-10.3,1.3,705051,Professional Services
Management Consulting,3774064,2685145,2253246,2273780,40.6,19.2,-0.9,18.4,1088919,Professional Services
Engineering & Architectural Services,2033583,1516292,1339157,1388212,34.1,13.2,-3.5,13.6,517291,Professional Services
Computer,1817844,1275543,1080220,1132811,42.5,18.1,-4.6,17.1,542302,Professional Services
"Accounting, Auditing, Bookkeeping",2073116,1753805,1628635,1405204,18.2,7.7,15.9,13.8,319311,Professional Services
Advertising and Other Professional Services,3282912,1826162,1715508,1580747,79.8,6.5,8.5,27.6,1456749,Professional Services
Hotels,973285,825926,851849,1032904,17.8,-3.0,-17.5,-2.0,147359,
Restaurants,4738075,3487586,3675537,3717987,35.9,-5.1,-1.1,8.4,1250489,
Sport Teams,941745,1373290,1009603,1452376,-31.4,36.0,-30.5,-13.4,-431545,
"Arts, Entertainment, and Other Recreation",1325145,993065,899506,881247,33.4,10.4,2.1,14.6,332080,
Other Sectors,12821449,9364405,8889003,8793348,36.9,5.3,1.1,13.4,3457044,
Membership Organizations,3624003,2650827,2505285,2494201,36.7,5.8,0.4,13.3,973176,Other Sectors
Employment/Outsourcing Agencies,2556413,2198781,1975514,1831236,16.3,11.3,7.9,11.8,357632,Other Sectors
Security and Investigation Services,682706,593540,575779,655667,15.0,3.1,-12.2,1.4,89166,Other Sectors
Services to Buildings,1080517,831358,889123,901250,30.0,-6.5,-1.3,6.2,249158,Other Sectors
Miscellaneous Sectors,4877810,3089898,2943302,2910994,57.9,5.0,1.1,18.8,1787912,Other Sectors
Government,16412079,14127435,12475694,15003860,16.2,13.2,-16.9,3.0,2284644,
State Government (PA),1169367,978539,928348,911733,19.5,5.4,1.8,8.6,190828,Government
"City, School District, Local Quasi Govt.",10914788,9486273,8542809,11072621,15.1,11.0,-22.8,-0.5,1428515,Government
Federal Government,4124562,3349122,2843908,2828955,23.2,17.8,0.5,13.4,775440,Government
Other Governments,203362,313501,160629,190551,-35.1,95.2,-15.7,2.2,-110139,Government
Unclassified Accounts,646868,288313,227022,195649,124.4,27.0,16.0,49.0,358555,
