sector,jun_2016,jun_2015,jun_2014,jun_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,4411098,4109441.0,3800395,3648730.0,7.3,8.1,4.2,6.5,301657.0,
Manufacturing,8643988,7527879.0,7818002,7542570.0,14.8,-3.7,3.7,4.6,1116109.0,
"Chemicals, Petroleum Refining",1795205,1441522.0,1414513,1366634.0,24.5,1.9,3.5,9.5,353683.0,Manufacturing
Pharmaceuticals,1509792,1263131.0,1555544,1306262.0,19.5,-18.8,19.1,4.9,246661.0,Manufacturing
Transportation Equipment,1125997,813770.0,738456,874874.0,38.4,10.2,-15.6,8.8,312227.0,Manufacturing
Food & Beverage Products,1255753,1112133.0,1087612,1054341.0,12.9,2.3,3.2,6.0,143620.0,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",696830,701352.0,697061,634442.0,-0.6,0.6,9.9,3.2,-4522.0,Manufacturing
Metal Manufacturing,644646,630344.0,616202,588406.0,2.3,2.3,4.7,3.1,14302.0,Manufacturing
Miscellaneous Manufacturing,1615765,1565627.0,1708614,1717610.0,3.2,-8.4,-0.5,-2.0,50138.0,Manufacturing
Public Utilities,891698,444512.0,939750,1030053.0,100.6,-52.7,-8.8,-4.7,447186.0,
Transportation and Warehousing,5202266,4274619.0,4142849,3929435.0,21.7,3.2,5.4,9.8,927646.0,
Telecommunication,3807583,2334632.0,2082177,2211636.0,63.1,12.1,-5.9,19.9,1472951.0,
"Publishing, Broadcasting, and Other Information",1850491,1522920.0,1684947,1791899.0,21.5,-9.6,-6.0,1.1,327571.0,
Wholesale Trade,2931703,2774000.0,2878310,2833578.0,5.7,-3.6,1.6,1.1,157703.0,
Retail Trade,6672282,6121192.0,5982786,5969032.0,9.0,2.3,0.2,3.8,551090.0,
Banking & Credit Unions,2635488,2201349.0,2446559,2533140.0,19.7,-10.0,-3.4,1.3,434139.0,
Securities / Financial Investments,5749799,,2489099,-1.7,-2284.4,-110.8,32.2,-100933.0,,
Insurance,5199721,3424901.0,3999390,3724191.0,51.8,-14.4,7.4,11.8,1774820.0,
"Real Estate, Rental and Leasing",1726937,1729242.0,1737208,1702552.0,-0.1,-0.5,2.0,0.5,-2305.0,
Health and Social Services,29951575,25691908.0,25205888,25520398.0,16.6,1.9,-1.2,5.5,4259667.0,
Hospitals,16216196,13513735.0,13588505,14075671.0,20.0,-0.6,-3.5,4.8,2702461.0,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3184256,2998480.0,3003884,3043930.0,6.2,-0.2,-1.3,1.5,185777.0,Health and Social Services
Outpatient Care Centers and Other Health Services,4940606,4120129.0,3411092,3475251.0,19.9,20.8,-1.8,12.4,820478.0,Health and Social Services
Nursing & Personal Care Facilities,3004932,2687180.0,2849808,2849261.0,11.8,-5.7,0.0,1.8,317753.0,Health and Social Services
Social Services,2605584,2372385.0,2352598,2076285.0,9.8,0.8,13.3,7.9,233200.0,Health and Social Services
Education,14123515,13219602.0,13132303,12247773.0,6.8,0.7,7.2,4.9,903914.0,
College and Universities,10944528,10118145.0,9977583,9132747.0,8.2,1.4,9.3,6.2,826382.0,Education
"Elementary, Secondary Schools",2232578,2182087.0,2179659,2129239.0,2.3,0.1,2.4,1.6,50491.0,Education
Other Educational Services,946410,919370.0,975060,985788.0,2.9,-5.7,-1.1,-1.3,27040.0,Education
Professional Services,13821077,12495339.0,12143266,11645291.0,10.6,2.9,4.3,5.9,1325738.0,
Legal Services,5028179,4240875.0,4129299,4366002.0,18.6,2.7,-5.4,4.8,787304.0,Professional Services
Management Consulting,2324051,2246165.0,2337685,2182952.0,3.5,-3.9,7.1,2.1,77886.0,Professional Services
Engineering & Architectural Services,1539409,1431574.0,1441011,1357945.0,7.5,-0.7,6.1,4.3,107835.0,Professional Services
Computer,1331333,1310170.0,1181999,1087711.0,1.6,10.8,8.7,7.0,21163.0,Professional Services
"Accounting, Auditing, Bookkeeping",1635515,1400728.0,1259134,1073726.0,16.8,11.2,17.3,15.1,234787.0,Professional Services
Advertising and Other Professional Services,1962591,1865827.0,1794139,1576955.0,5.2,4.0,13.8,7.6,96763.0,Professional Services
Hotels,902979,1066829.0,941520,941489.0,-15.4,13.3,0.0,-1.4,-163850.0,
Restaurants,3724951,3173547.0,3021375,3103304.0,17.4,5.0,-2.6,6.3,551403.0,
Sport Teams,1743081,926219.0,1433041,1102226.0,88.2,-35.4,30.0,16.5,816862.0,
"Arts, Entertainment, and Other Recreation",1183241,1039028.0,987628,882456.0,13.9,5.2,11.9,10.3,144213.0,
Other Sectors,8955012,8737467.0,8458579,8281656.0,2.5,3.3,2.1,2.6,217544.0,
Membership Organizations,2541328,2545478.0,2498044,2566341.0,-0.2,1.9,-2.7,-0.3,-4150.0,Other Sectors
Employment/Outsourcing Agencies,2185622,2007765.0,1904927,1800650.0,8.9,5.4,5.8,6.7,177857.0,Other Sectors
Security and Investigation Services,655177,597465.0,584332,577405.0,9.7,2.2,1.2,4.3,57712.0,Other Sectors
Services to Buildings,867340,898297.0,898164,848905.0,-3.4,0.0,5.8,0.7,-30957.0,Other Sectors
