sector,jan_2017,jan_2016,jan_2015,jan_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,6978124,5817576,4923988,4731029,19.9,18.1,4.1,13.8,1160548,
Manufacturing,12710104,10677654,10963417,10742856,19.0,-2.6,2.1,5.8,2032450,
"Chemicals, Petroleum Refining",2083657,1932797,1790364,2105466,7.8,8.0,-15.0,-0.3,150861,Manufacturing
Pharmaceuticals,2791347,2174100,2350946,2019460,28.4,-7.5,16.4,11.4,617248,Manufacturing
Transportation Equipment,1112412,1003419,1001481,981637,10.9,0.2,2.0,4.3,108993,Manufacturing
Food & Beverage Products,1930099,1495399,1478318,1493813,29.1,1.2,-1.0,8.9,434700,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1066223,803558,892125,939305,32.7,-9.9,-5.0,4.3,262666,Manufacturing
Metal Manufacturing,1004383,800233,847173,689570,25.5,-5.5,22.9,13.4,204150,Manufacturing
Miscellaneous Manufacturing,2721983,2468149,2603011,2513605,10.3,-5.2,3.6,2.7,253834,Manufacturing
Public Utilities,1127813,997629,1069683,948078,13.0,-6.7,12.8,6.0,130184,
Transportation and Warehousing,5738681,5059328,4853923,5714929,13.4,4.2,-15.1,0.1,679352,
Telecommunication,4809813,4199630,3705034,3593987,14.5,13.3,3.1,10.2,610182,
"Publishing, Broadcasting, and Other Information",2693731,2255302,2415764,2443286,19.4,-6.6,-1.1,3.3,438429,
Wholesale Trade,5451178,4625238,4686188,4788840,17.9,-1.3,-2.1,4.4,825939,
Retail Trade,9699084,8467476,8332416,8149274,14.5,1.6,2.2,6.0,1231608,
Banking & Credit Unions,4408896,3770850,3583211,3946817,16.9,5.2,-9.2,3.8,638046,
Securities / Financial Investments,5779037,5448289,5644160,5515763,6.1,-3.5,2.3,1.6,330747,
Insurance,5572067,5422750,4680125,5092662,2.8,15.9,-8.1,3.0,149317,
"Real Estate, Rental and Leasing",3428117,2628375,2632778,2772491,30.4,-0.2,-5.0,7.3,799741,
Health and Social Services,38151644,32990840,32895973,34990734,15.6,0.3,-6.0,2.9,5160805,
Hospitals,18558032,17103631,17312805,17752722,8.5,-1.2,-2.5,1.5,1454401,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",6040770,4911419,4982757,5537160,23.0,-1.4,-10.0,2.9,1129350,Health and Social Services
Outpatient Care Centers and Other Health Services,6239326,4865074,4590050,5796400,28.2,6.0,-20.8,2.5,1374252,Health and Social Services
Nursing & Personal Care Facilities,3583798,3162784,3070031,3119041,13.3,3.0,-1.6,4.7,421014,Health and Social Services
Social Services,3729718,2947931,2940329,2785410,26.5,0.3,5.6,10.2,781787,Health and Social Services
Education,14274387,10590919,11897556,8479421,34.8,-11.0,40.3,19.0,3683468,
College and Universities,10241353,7247425,8814234,5157487,41.3,-17.8,70.9,25.7,2993928,Education
"Elementary, Secondary Schools",2744776,2259562,2081904,2221226,21.5,8.5,-6.3,7.3,485214,Education
Other Educational Services,1288258,1083932,1001419,1100708,18.9,8.2,-9.0,5.4,204326,Education
Professional Services,31437452,26236712,26683376,26733726,19.8,-1.7,-0.2,5.6,5200740,
Legal Services,14786149,13441019,13980167,13713119,10.0,-3.9,1.9,2.5,1345131,Professional Services
Management Consulting,5447416,4576402,4454707,4589317,19.0,2.7,-2.9,5.9,871014,Professional Services
Engineering & Architectural Services,2716492,2069874,2342414,2112824,31.2,-11.6,10.9,8.7,646618,Professional Services
Computer,2140633,1437883,1552380,1626367,48.9,-7.4,-4.5,9.6,702750,Professional Services
"Accounting, Auditing, Bookkeeping",2271723,1871878,1689431,1554091,21.4,10.8,8.7,13.5,399844,Professional Services
Advertising and Other Professional Services,4075039,2839657,2664277,3138007,43.5,6.6,-15.1,9.1,1235383,Professional Services
Hotels,971279,793916,926598,957271,22.3,-14.3,-3.2,0.5,177363,
Restaurants,5036967,4802444,4028069,4350008,4.9,19.2,-7.4,5.0,234523,
Sport Teams,2313581,1146180,1509792,1575420,101.9,-24.1,-4.2,13.7,1167400,
"Arts, Entertainment, and Other Recreation",1500983,1279462,1121751,1143709,17.3,14.1,-1.9,9.5,221521,
Other Sectors,15303812,11560902,11236350,11068010,32.4,2.9,1.5,11.4,3742909,
Membership Organizations,4393850,3164161,3209453,3180989,38.9,-1.4,0.9,11.4,1229689,Other Sectors
Employment/Outsourcing Agencies,2964498,2645031,2496407,2342848,12.1,6.0,6.6,8.2,319467,Other Sectors
Security and Investigation Services,740417,974303,671823,610915,-24.0,45.0,10.0,6.6,-233886,Other Sectors
Services to Buildings,1314932,1015305,1091479,1068033,29.5,-7.0,2.2,7.2,299627,Other Sectors
Miscellaneous Sectors,5890114,3762103,3767187,3865224,56.6,-0.1,-2.5,15.1,2128011,Other Sectors
Government,24529609,22966266,12118921,24738069,6.8,89.5,-51.0,-0.3,1563343,
State Government (PA),1164675,1104406,930442,928258,5.5,18.7,0.2,7.9,60269,Government
"City, School District, Local Quasi Govt.",9084249,8708598,8631637,10732689,4.3,0.9,-19.6,-5.4,375652,Government
Federal Government,13995210,12987583,2351718,12907831,7.8,452.3,-81.8,2.7,1007627,Government
Other Governments,285474,165679,205124,169291,72.3,-19.2,21.2,19.0,119795,Government
Unclassified Accounts,685404,135819,149730,306596,404.6,-9.3,-51.2,30.8,549584,
