sector,dec_2017,dec_2016,dec_2015,dec_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,4867610,4718545,4397811,4032388,3.2,7.3,9.1,6.5,149066,
Manufacturing,8308939,6631861,7803116,7625290,25.3,-15.0,2.3,2.9,1677078,
"Chemicals, Petroleum Refining",1581778,1119789,1618626,1210490,41.3,-30.8,33.7,9.3,461989,Manufacturing
Pharmaceuticals,1427303,1043640,1204977,1337316,36.8,-13.4,-9.9,2.2,383663,Manufacturing
Transportation Equipment,866843,647811,814356,737598,33.8,-20.5,10.4,5.5,219032,Manufacturing
Food & Beverage Products,1347508,1034329,1193903,1369341,30.3,-13.4,-12.8,-0.5,313179,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",657155,577575,671675,706853,13.8,-14.0,-5.0,-2.4,79580,Manufacturing
Metal Manufacturing,680833,591762,620108,571117,15.1,-4.6,8.6,6.0,89071,Manufacturing
Miscellaneous Manufacturing,1747520,1616956,1679470,1692575,8.1,-3.7,-0.8,1.1,130563,Manufacturing
Public Utilities,1087311,890651,895764,945817,22.1,-0.6,-5.3,4.8,196660,
Transportation and Warehousing,5297200,4715770,5120204,4974561,12.3,-7.9,2.9,2.1,581430,
Telecommunication,3394010,1614307,2419113,2211636,110.2,-33.3,9.4,15.3,1779703,
"Publishing, Broadcasting, and Other Information",1776020,1521550,1674118,1701455,16.7,-9.1,-1.6,1.4,254470,
Wholesale Trade,3361587,2942479,3114055,3113869,14.2,-5.5,0.0,2.6,419107,
Retail Trade,6525842,5742584,5949752,5802938,13.6,-3.5,2.5,4.0,783258,
Banking & Credit Unions,2936357,2133054,2370863,2394362,37.7,-10.0,-1.0,7.0,803304,
Securities / Financial Investments,4470886,3495411,3596677,3271682,27.9,-2.8,9.9,11.0,975475,
Insurance,4239159,3272429,3536515,3400740,29.5,-7.5,4.0,7.6,966729,
"Real Estate, Rental and Leasing",1873449,1615996,1663663,1581441,15.9,-2.9,5.2,5.8,257452,
Health and Social Services,29690648,26716706,27099403,24251085,11.1,-1.4,11.7,7.0,2973942,
Hospitals,15548544,14132552,15005641,13344938,10.0,-5.8,12.4,5.2,1415992,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3311269,3512310,3009494,2886088,-5.7,16.7,4.3,4.7,-201042,Health and Social Services
Outpatient Care Centers and Other Health Services,4797483,3834398,4213070,3367037,25.1,-9.0,25.1,12.5,963086,Health and Social Services
Nursing & Personal Care Facilities,2941301,2626354,2621286,2438787,12.0,0.2,7.5,6.4,314947,Health and Social Services
Social Services,3092052,2611092,2249911,2214235,18.4,16.1,1.6,11.8,480960,Health and Social Services
Education,16576938,13378333,13801181,13536948,23.9,-3.1,2.0,7.0,3198604,
College and Universities,13647717,10466661,10938739,10565840,30.4,-4.3,3.5,8.9,3181055,Education
"Elementary, Secondary Schools",2007094,2029534,1981569,1969124,-1.1,2.4,0.6,0.6,-22440,Education
Other Educational Services,922127,882138,880873,1001983,4.5,0.1,-12.1,-2.7,39989,Education
Professional Services,16643713,15397541,14161103,13085657,8.1,8.7,8.2,8.3,1246172,
Legal Services,5849071,5089401,4848325,4708948,14.9,5.0,3.0,7.5,759670,Professional Services
Management Consulting,3462679,3126628,2907320,2470492,10.7,7.5,17.7,11.9,336051,Professional Services
Engineering & Architectural Services,1984701,1792208,1771284,1594834,10.7,1.2,11.1,7.6,192492,Professional Services
Computer,1447326,1343123,1167629,1053140,7.8,15.0,10.9,11.2,104203,Professional Services
"Accounting, Auditing, Bookkeeping",1569389,1605707,1494165,1394367,-2.3,7.5,7.2,4.0,-36318,Professional Services
Advertising and Other Professional Services,2330547,2440473,1972380,1863876,-4.5,23.7,5.8,7.7,-109927,Professional Services
Hotels,821183,739747,911280,879901,11.0,-18.8,3.6,-2.3,81436,
Restaurants,4176385,3507781,3683566,3835265,19.1,-4.8,-4.0,2.9,668604,
Sport Teams,2158676,1415564,2245573,1508386,52.5,-37.0,48.9,12.7,743112,
"Arts, Entertainment, and Other Recreation",1125429,997064,961431,948473,12.9,3.7,1.4,5.9,128365,
Other Sectors,9818601,9183401,8529161,8317366,6.9,7.7,2.5,5.7,635200,
Membership Organizations,2826260,2806116,2486696,2459836,0.7,12.8,1.1,4.7,20144,Other Sectors
Employment/Outsourcing Agencies,2481353,2249092,2229409,2092145,10.3,0.9,6.6,5.9,232261,Other Sectors
Security and Investigation Services,752965,700902,639960,592630,7.4,9.5,8.0,8.3,52063,Other Sectors
Services to Buildings,849892,789948,784416,821121,7.6,0.7,-4.5,1.2,59944,Other Sectors
Miscellaneous Sectors,2908131,2637343,2388679,2351634,10.3,10.4,1.6,7.3,270788,Other Sectors
Government,14979865,15096961,15119436,23536463,-0.8,-0.1,-35.8,-14.0,-117096,
State Government (PA),997409,980222,938258,950831,1.8,4.5,-1.3,1.6,17187,Government
"City, School District, Local Quasi Govt.",9432759,9104502,8781123,10860810,3.6,3.7,-19.1,-4.6,328257,Government
Federal Government,4398114,4877923,5247652,11586089,-9.8,-7.0,-54.7,-27.6,-479808,Government
Other Governments,151584,134314,152402,138734,12.9,-11.9,9.9,3.0,17269,Government
Unclassified Accounts,217718,53772,54143,85992,304.9,-0.7,-37.0,36.3,163947,
