sector,oct_2018,oct_2017,oct_2016,oct_2015,growth_yoy_2018,growth_yoy_2017,growth_yoy_2016,growth_3yr,net_change,parent_sector
Construction,7328829,6473342,6180783,5175532,13.2,4.7,19.4,12.3,855487,
Manufacturing,10444588,9633153,10446566,7695885,8.4,-7.8,35.7,10.7,811435,
"Chemicals, Petroleum Refining",1598198,1217453,1596520,1395743,31.3,-23.7,14.4,4.6,380744,Manufacturing
Pharmaceuticals,2048595,1983234,2055035,1255410,3.3,-3.5,63.7,17.7,65361,Manufacturing
Transportation Equipment,1074300,787838,951317,821555,36.4,-17.2,15.8,9.4,286462,Manufacturing
Food & Beverage Products,1533497,1713047,1855005,1179089,-10.5,-7.7,57.3,9.2,-179550,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1023741,925890,916304,817008,10.6,1.0,12.2,7.8,97851,Manufacturing
Metal Manufacturing,826298,788779,759370,627689,4.8,3.9,21.0,9.6,37519,Manufacturing
Miscellaneous Manufacturing,2339959,2216912,2313013,1599393,5.6,-4.2,44.6,13.5,123047,Manufacturing
Public Utilities,896949,1051009,1070879,886465,-14.7,-1.9,20.8,0.4,-154060,
Transportation and Warehousing,6632908,5517642,5345613,4243128,20.2,3.2,26.0,16.1,1115266,
Telecommunication,4746158,3065759,2839560,2399791,54.8,8.0,18.3,25.5,1680400,
"Publishing, Broadcasting, and Other Information",2716154,2280655,2143094,1779894,19.1,6.4,20.4,15.1,435499,
Wholesale Trade,4361918,4392208,4361333,2831744,-0.7,0.7,54.0,15.5,-30290,
Retail Trade,9739478,8902703,8515086,6326078,9.4,4.6,34.6,15.5,836776,
Banking & Credit Unions,3466609,2885852,3059752,2367338,20.1,-5.7,29.2,13.6,580756,
Securities / Financial Investments,3260389,3112655,3250566,2805798,4.7,-4.2,15.9,5.1,147734,
Insurance,5547085,5135258,4674193,4663797,8.0,9.9,0.2,6.0,411827,
"Real Estate, Rental and Leasing",3009984,2770124,2712542,1909474,8.7,2.1,42.1,16.4,239859,
Health and Social Services,43824567,36931053,33543207,28815719,18.7,10.1,16.4,15.0,6893514,
Hospitals,22239475,18402053,16348905,16182490,20.9,12.6,1.0,11.2,3837422,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",5036389,4524996,4422918,3234346,11.3,2.3,36.7,15.9,511393,Health and Social Services
Outpatient Care Centers and Other Health Services,7287192,6072221,5473960,4138846,20.0,10.9,32.3,20.8,1214971,Health and Social Services
Nursing & Personal Care Facilities,4297661,3791274,3767412,2861003,13.4,0.6,31.7,14.5,506387,Health and Social Services
Social Services,4963850,4140509,3530012,2399033,19.9,17.3,47.1,27.4,823342,Health and Social Services
Education,14041081,15745709,15886716,14241389,-10.8,-0.9,11.6,-0.5,-1704628,
College and Universities,10131141,12049261,12251600,11453872,-15.9,-1.7,7.0,-4.0,-1918120,Education
"Elementary, Secondary Schools",2707319,2472805,2436082,1838521,9.5,1.5,32.5,13.8,234514,Education
Other Educational Services,1202620,1223643,1199034,948996,-1.7,2.1,26.3,8.2,-21023,Education
Professional Services,22522062,21390178,20237825,14029048,5.3,5.7,44.3,17.1,1131884,
Legal Services,6283531,5881694,5700784,4524360,6.8,3.2,26.0,11.6,401837,Professional Services
Management Consulting,4351664,4027263,3916996,2533422,8.1,2.8,54.6,19.8,324401,Professional Services
Engineering & Architectural Services,2377793,2269209,2264747,1548358,4.8,0.2,46.3,15.4,108584,Professional Services
Computer,2161769,2004574,1887726,1239810,7.8,6.2,52.3,20.4,157196,Professional Services
"Accounting, Auditing, Bookkeeping",3117258,2862938,2694928,2076037,8.9,6.2,29.8,14.5,254320,Professional Services
Advertising and Other Professional Services,4230047,4344501,3772645,2107061,-2.6,15.2,79.0,26.2,-114454,Professional Services
Hotels,1282486,982543,960644,842872,30.5,2.3,14.0,15.0,299942,
Restaurants,5778209,5356232,5007616,3719940,7.9,7.0,34.6,15.8,421978,
Sport Teams,2497675,2295655,2070043,1808286,8.8,10.9,14.5,11.4,202020,
"Arts, Entertainment, and Other Recreation",1667022,1500393,1572137,960206,11.1,-4.6,63.7,20.2,166629,
Other Sectors,15262462,14787081,13949325,9499338,3.2,6.0,46.8,17.1,475381,
Membership Organizations,4205072,4090586,4017540,2755485,2.8,1.8,45.8,15.1,114486,Other Sectors
Employment/Outsourcing Agencies,3313283,2947777,2754977,2237455,12.4,7.0,23.1,14.0,365506,Other Sectors
Security and Investigation Services,801622,834078,900233,672698,-3.9,-7.3,33.8,6.0,-32456,Other Sectors
Services to Buildings,1211442,1277950,1225892,876425,-5.2,4.2,39.9,11.4,-66509,Other Sectors
Miscellaneous Sectors,5731044,5636689,5050683,2957275,1.7,11.6,70.8,24.7,94355,Other Sectors
Government,16394968,18581423,13721965,23157622,-11.8,35.4,-40.7,-10.9,-2186455,
State Government (PA),1029521,1188589,1170922,924070,-13.4,1.5,26.7,3.7,-159068,Government
"City, School District, Local Quasi Govt.",9990085,11980506,9087381,9280231,-16.6,31.8,-2.1,2.5,-1990420,Government
Federal Government,5111490,5175750,3211082,12777645,-1.2,61.2,-74.9,-26.3,-64260,Government
Other Governments,263871,236579,252580,175676,11.5,-6.3,43.8,14.5,27292,Government
Unclassified Accounts,347878,321466,202294,104832,8.2,58.9,93.0,49.2,26412,
