sector,aug_2019,aug_2018,aug_2017,aug_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,5733524,5758774,5282451,6368192,-0.4,9.0,-17.0,-3.4,-25250,
Manufacturing,8120605,8838090,8104478,9870225,-8.1,9.1,-17.9,-6.3,-717485,
"Chemicals, Petroleum Refining",1402267,1832707,1432694,1592401,-23.5,27.9,-10.0,-4.1,-430440,Manufacturing
Pharmaceuticals,1517338,1435496,1425382,1756956,5.7,0.7,-18.9,-4.8,81842,Manufacturing
Transportation Equipment,755725,811375,896761,1027496,-6.9,-9.5,-12.7,-9.7,-55650,Manufacturing
Food & Beverage Products,1238127,1368712,1258888,1588761,-9.5,8.7,-20.8,-8.0,-130584,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",675200,653870,640101,870642,3.3,2.2,-26.5,-8.1,21330,Manufacturing
Metal Manufacturing,786930,903551,671420,782765,-12.9,34.6,-14.2,0.2,-116621,Manufacturing
Miscellaneous Manufacturing,1745018,1832379,1779232,2251204,-4.8,3.0,-21.0,-8.1,-87361,Manufacturing
Public Utilities,1147620,1090514,1178047,1023541,5.2,-7.4,15.1,3.9,57107,
Transportation and Warehousing,5187457,5779358,5559422,5615691,-10.2,4.0,-1.0,-2.6,-591901,
Telecommunication,3918666,3740683,3325163,3347528,4.8,12.5,-0.7,5.4,177983,
"Publishing, Broadcasting, and Other Information",1820050,1804608,1729982,2083683,0.9,4.3,-17.0,-4.4,15442,
Wholesale Trade,2867148,3211042,3200074,4355786,-10.7,0.3,-26.5,-13.0,-343894,
Retail Trade,6983942,7185130,6829123,8456389,-2.8,5.2,-19.2,-6.2,-201188,
Banking & Credit Unions,2604273,2875595,2605375,3389599,-9.4,10.4,-23.1,-8.4,-271322,
Securities / Financial Investments,3703439,3830603,4007381,3659603,-3.3,-4.4,9.5,0.4,-127164,
Insurance,4742363,5020579,4821782,5338405,-5.5,4.1,-9.7,-3.9,-278216,
"Real Estate, Rental and Leasing",2154959,2272556,2119118,2793952,-5.2,7.2,-24.2,-8.3,-117596,
Health and Social Services,34128922,35360728,30708531,36757580,-3.5,15.1,-16.5,-2.4,-1231806,
Hospitals,18229804,18805234,15594659,18444326,-3.1,20.6,-15.5,-0.4,-575431,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3630912,3967700,3793695,4815213,-8.5,4.6,-21.2,-9.0,-336788,Health and Social Services
Outpatient Care Centers and Other Health Services,4952970,5046447,4852547,6229493,-1.9,4.0,-22.1,-7.4,-93477,Health and Social Services
Nursing & Personal Care Facilities,3130003,3307077,3014715,3504720,-5.4,9.7,-14.0,-3.7,-177074,Health and Social Services
Social Services,4185233,4234269,3452916,3763828,-1.2,22.6,-8.3,3.6,-49036,Health and Social Services
Education,15771964,15676859,15188264,15228105,0.6,3.2,-0.3,1.2,95105,
College and Universities,12771564,12644528,12184673,11780686,1.0,3.8,3.4,2.7,127036,Education
"Elementary, Secondary Schools",2031307,2093197,2099288,2313211,-3.0,-0.3,-9.2,-4.2,-61890,Education
Other Educational Services,969093,939134,904302,1134208,3.2,3.9,-20.3,-5.1,29959,Education
Professional Services,16379958,16872888,15366446,19396381,-2.9,9.8,-20.8,-5.5,-492931,
Legal Services,4988556,5702395,5257903,5756355,-12.5,8.5,-8.7,-4.7,-713839,Professional Services
Management Consulting,3145892,3157416,2946779,3903883,-0.4,7.1,-24.5,-6.9,-11524,Professional Services
Engineering & Architectural Services,1892059,1856059,1659237,2218163,1.9,11.9,-25.2,-5.2,36000,Professional Services
Computer,1475088,1518775,1327731,1800799,-2.9,14.4,-26.3,-6.4,-43687,Professional Services
"Accounting, Auditing, Bookkeeping",2000383,1902117,1861623,2038527,5.2,2.2,-8.7,-0.6,98266,Professional Services
Advertising and Other Professional Services,2877980,2736126,2313173,3678655,5.2,18.3,-37.1,-7.9,141854,Professional Services
Hotels,896612,1019640,987651,1136242,-12.1,3.2,-13.1,-7.6,-123028,
Restaurants,3904372,4179682,4126803,5223265,-6.6,1.3,-21.0,-9.2,-275309,
Sport Teams,1895856,1214752,1487810,1644219,56.1,-18.4,-9.5,4.9,681105,
"Arts, Entertainment, and Other Recreation",1221670,1247445,1242806,1483853,-2.1,0.4,-16.2,-6.3,-25775,
Other Sectors,10623575,11032600,10527000,13964525,-3.7,4.8,-24.6,-8.7,-409025,
Membership Organizations,2851296,2914226,2760628,3809416,-2.2,5.6,-27.5,-9.2,-62930,Other Sectors
Employment/Outsourcing Agencies,2648177,2711885,2689896,3025330,-2.3,0.8,-11.1,-4.3,-63708,Other Sectors
Security and Investigation Services,738109,755004,705135,786133,-2.2,7.1,-10.3,-2.1,-16895,Other Sectors
Services to Buildings,839197,870768,909415,1304489,-3.6,-4.2,-30.3,-13.7,-31571,Other Sectors
Miscellaneous Sectors,3546796,3780717,3461926,5039156,-6.2,9.2,-31.3,-11.0,-233921,Other Sectors
Government,15353313,16156933,18481121,17996259,-5.0,-12.6,2.7,-5.2,-803619,
State Government (PA),1045248,1043462,1023468,1146358,0.2,2.0,-10.7,-3.0,1785,Government
"City, School District, Local Quasi Govt.",10080961,10876810,13148290,11601308,-7.3,-17.3,13.3,-4.6,-795849,Government
Federal Government,4028520,4043682,4115400,4975927,-0.4,-1.7,-17.3,-6.8,-15162,Government
Other Governments,198584,192979,193963,272666,2.9,-0.5,-28.9,-10.0,5606,Government
Unclassified Accounts,196650,189688,152408,236736,3.7,24.5,-35.6,-6.0,6962,
