sector,feb_2021,feb_2020,feb_2019,feb_2018,growth_yoy_2021,growth_yoy_2020,growth_yoy_2019,growth_3yr,net_change,parent_sector
Construction,6676218,5435415,5257414,4949410,22.8,3.4,6.2,10.5,1240803,
Manufacturing,10428401,9740765,10171449,8226260,7.1,-4.2,23.6,8.2,687636,
"Chemicals, Petroleum Refining",1246300,1577327,2975343,1537859,-21.0,-47.0,93.5,-6.8,-331027,Manufacturing
Pharmaceuticals,2806802,2750216,2063261,1820632,2.1,33.3,13.3,15.5,56586,Manufacturing
Transportation Equipment,911572,728507,784875,834250,25.1,-7.2,-5.9,3.0,183065,Manufacturing
Food & Beverage Products,1684249,1405888,1184841,1196435,19.8,18.7,-1.0,12.1,278361,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1105013,648909,700319,609005,70.3,-7.3,15.0,22.0,456103,Manufacturing
Metal Manufacturing,570424,662962,629910,626633,-14.0,5.2,0.5,-3.1,-92538,Manufacturing
Miscellaneous Manufacturing,2104042,1966956,1832900,1601447,7.0,7.3,14.5,9.5,137086,Manufacturing
Public Utilities,1547816,1849049,1696873,1652296,-16.3,9.0,2.7,-2.2,-301233,
Transportation and Warehousing,4706621,5740039,5203412,4809653,-18.0,10.3,8.2,-0.7,-1033418,
Telecommunication,2564097,4286120,3886901,3434017,-40.2,10.3,13.2,-9.3,-1722023,
"Publishing, Broadcasting, and Other Information",2908048,2347335,2088010,1733263,23.9,12.4,20.5,18.8,560714,
Wholesale Trade,4101800,3199251,2963544,2997090,28.2,8.0,-1.1,11.0,902550,
Retail Trade,10408895,7515010,7170090,6545086,38.5,4.8,9.5,16.7,2893885,
Banking & Credit Unions,4184922,4052946,3019811,3374824,3.3,34.2,-10.5,7.4,131977,
Securities / Financial Investments,5928659,5726100,4520503,4798953,3.5,26.7,-5.8,7.3,202559,
Insurance,3588758,5145305,4619712,5011381,-30.3,11.4,-7.8,-10.5,-1556548,
"Real Estate, Rental and Leasing",3003104,4266164,2173949,2136038,-29.6,96.2,1.8,12.0,-1263060,
Health and Social Services,41942765,35699522,33474927,29872870,17.5,6.6,12.1,12.0,6243243,
Hospitals,19749029,18631469,17740522,15575463,6.0,5.0,13.9,8.2,1117561,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4247467,3467782,3429020,3461929,22.5,1.1,-1.0,7.1,779685,Health and Social Services
Outpatient Care Centers and Other Health Services,7164833,5451069,4858800,4619900,31.4,12.2,5.2,15.8,1713764,Health and Social Services
Nursing & Personal Care Facilities,3755222,3401820,3314968,2874572,10.4,2.6,15.3,9.3,353402,Health and Social Services
Social Services,7026214,4747382,4131617,3341006,48.0,14.9,23.7,28.1,2278832,Health and Social Services
Education,13581819,15678733,15075836,14188210,-13.4,4.0,6.3,-1.4,-2096914,
College and Universities,9839635,12185554,11852321,11233056,-19.3,2.8,5.5,-4.3,-2345919,Education
"Elementary, Secondary Schools",2511055,2428076,2249506,2045273,3.4,7.9,10.0,7.1,82980,Education
Other Educational Services,1231128,1065103,974010,909880,15.6,9.4,7.0,10.6,166025,Education
Professional Services,22168085,19650110,16976745,15776608,12.8,15.7,7.6,12.0,2517975,
Legal Services,5263059,6649660,6063230,5330532,-20.9,9.7,13.7,-0.4,-1386600,Professional Services
Management Consulting,4717518,3667405,2809094,3042072,28.6,30.6,-7.7,15.7,1050113,Professional Services
Engineering & Architectural Services,2341987,2119804,1833228,1736513,10.5,15.6,5.6,10.5,222183,Professional Services
Computer,2215191,1648652,1482094,1293888,34.4,11.2,14.5,19.6,566539,Professional Services
"Accounting, Auditing, Bookkeeping",2094593,2392439,1882341,1871661,-12.4,27.1,0.6,3.8,-297846,Professional Services
Advertising and Other Professional Services,5535737,3172151,2906759,2501941,74.5,9.1,16.2,30.3,2363586,Professional Services
Hotels,436077,922239,805483,783928,-52.7,14.5,2.7,-17.8,-486162,
Restaurants,3275054,4501593,4555649,3939821,-27.2,-1.2,15.6,-6.0,-1226538,
Sport Teams,1252799,1422666,1414971,2059701,-11.9,0.5,-31.3,-15.3,-169867,
"Arts, Entertainment, and Other Recreation",908697,1332900,1436259,1100259,-31.8,-7.2,30.5,-6.2,-424203,
Other Sectors,14182245,12256063,10988181,10162102,15.7,11.5,8.1,11.8,1926182,
Membership Organizations,4055137,3246395,3012074,2739962,24.9,7.8,9.9,14.0,808742,Other Sectors
Employment/Outsourcing Agencies,2971665,2850225,2571982,2415493,4.3,10.8,6.5,7.2,121440,Other Sectors
Security and Investigation Services,846896,957661,805087,689726,-11.6,19.0,16.7,7.1,-110766,Other Sectors
Services to Buildings,1154641,841096,767116,759773,37.3,9.6,1.0,15.0,313545,Other Sectors
Miscellaneous Sectors,5153906,4360685,3831923,3557148,18.2,13.8,7.7,13.2,793221,Other Sectors
Government,15325062,15620672,15913879,13472978,-1.9,-1.8,18.1,4.4,-295611,
State Government (PA),1060850,1331488,1070127,989241,-20.3,24.4,8.2,2.4,-270638,Government
"City, School District, Local Quasi Govt.",10734650,10583968,9788458,9362700,1.4,8.1,4.5,4.7,150682,Government
Federal Government,3254149,3486154,4869675,2971596,-6.7,-28.4,63.9,3.1,-232006,Government
Other Governments,275413,219062,185619,149440,25.7,18.0,24.2,22.6,56351,Government
Unclassified Accounts,753858,92598,111436,93983,714.1,-16.9,18.6,100.2,661260,
