sector,jan_to_mar_2022,jan_to_mar_2021,jan_to_mar_2020,jan_to_mar_2019,growth_yoy_2022,growth_yoy_2021,growth_yoy_2020,growth_3yr,net_change,parent_sector
Construction,18387858,17432023,18950436,18135208,5.5,-8.0,4.5,0.5,955836,
Manufacturing,35268580,31277266,45210203,34595252,12.8,-30.8,30.7,0.6,3991314,
"Chemicals, Petroleum Refining",5596158,4825594,6514929,8122675,16.0,-25.9,-19.8,-11.7,770564,Manufacturing
Pharmaceuticals,9888202,8398650,20187456,8805779,17.7,-58.4,129.3,3.9,1489552,Manufacturing
Transportation Equipment,3083483,2731451,2593404,2544673,12.9,5.3,1.9,6.6,352031,Manufacturing
Food & Beverage Products,4558731,4693898,4536082,3977600,-2.9,3.5,14.0,4.7,-135167,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",2771764,2533064,2373460,2453898,9.4,6.7,-3.3,4.1,238700,Manufacturing
Metal Manufacturing,1910661,1687833,2188054,2227171,13.2,-22.9,-1.8,-5.0,222828,Manufacturing
Miscellaneous Manufacturing,7459582,6406777,6816818,6463456,16.4,-6.0,5.5,4.9,1052805,Manufacturing
Public Utilities,4695445,4855898,5268169,5144112,-3.3,-7.8,2.4,-3.0,-160452,
Transportation and Warehousing,18819883,16089780,18350277,17297908,17.0,-12.3,6.1,2.9,2730104,
Telecommunication,23825804,11887814,19481819,17749308,100.4,-39.0,9.8,10.3,11937990,
"Publishing, Broadcasting, and Other Information",8020870,7248356,7706409,7520449,10.7,-5.9,2.5,2.2,772515,
Wholesale Trade,12961081,11642086,11984489,11278473,11.3,-2.9,6.3,4.7,1318995,
Retail Trade,33038693,27345081,25695546,24885049,20.8,6.4,3.3,9.9,5693612,
Banking & Credit Unions,12800094,12745702,12224667,11690939,0.4,4.3,4.6,3.1,54392,
Securities / Financial Investments,20311546,18850396,17694017,16622393,7.8,6.5,6.4,6.9,1461150,
Insurance,18711145,15980739,24822306,22941564,17.1,-35.6,8.2,-6.6,2730406,
"Real Estate, Rental and Leasing",9652055,8014871,11563801,8500404,20.4,-30.7,36.0,4.3,1637184,
Health and Social Services,111867571,116803817,115696039,108828323,-4.2,1.0,6.3,0.9,-4936247,
Hospitals,57986053,56542798,56937300,54677166,2.6,-0.7,4.1,2.0,1443255,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",13753892,13271789,12734913,12773575,3.6,4.2,-0.3,2.5,482103,Health and Social Services
Outpatient Care Centers and Other Health Services,19790079,18931452,17946221,17439290,4.5,5.5,2.9,4.3,858627,Health and Social Services
Nursing & Personal Care Facilities,11046438,10568402,11312197,10038758,4.5,-6.6,12.7,3.2,478036,Health and Social Services
Social Services,19533642,17489375,16765407,13899534,11.7,4.3,20.6,12.0,2044267,Health and Social Services
Education,61444500,39775509,47358019,45339921,54.5,-16.0,4.5,10.7,21668990,
College and Universities,38945102,28802962,35904587,34749857,35.2,-19.8,3.3,3.9,10142139,Education
"Elementary, Secondary Schools",8648044,7684366,7826731,7265647,12.5,-1.8,7.7,6.0,963678,Education
Other Educational Services,3608820,3288182,3626701,3324417,9.8,-9.3,9.1,2.8,320638,Education
Professional Services,81308224,65389493,77009254,69528704,24.3,-15.1,10.8,5.4,15918731,
Legal Services,24870554,21158074,29306694,27779817,17.5,-27.8,5.5,-3.6,3712480,Professional Services
Management Consulting,15691541,12471252,14113021,12189015,25.8,-11.6,15.8,8.8,3220289,Professional Services
Engineering & Architectural Services,7626637,7636144,7808050,6774409,-0.1,-2.2,15.3,4.0,-9507,Professional Services
Computer,6310767,5642802,6118969,5463737,11.8,-7.8,12.0,4.9,667965,Professional Services
"Accounting, Auditing, Bookkeeping",10990478,5809170,6788654,6332782,89.2,-14.4,7.2,20.2,5181308,Professional Services
Advertising and Other Professional Services,15818247,12672050,12873866,10988944,24.8,-1.6,17.2,12.9,3146197,Professional Services
Hotels,2638400,1292271,3016802,2885407,104.2,-57.2,4.6,-2.9,1346129,
Restaurants,14014922,8656457,14653538,14405738,61.9,-40.9,1.7,-0.9,5358465,
Sport Teams,5345031,3784628,5154821,5488878,41.2,-26.6,-6.1,-0.9,1560403,
"Arts, Entertainment, and Other Recreation",4077736,2603211,4654984,4282688,56.6,-44.1,8.7,-1.6,1474524,
Other Sectors,43628047,35989136,40810506,38582750,21.2,-11.8,5.8,4.2,7638911,
Membership Organizations,11113590,9734594,11121694,10232827,14.2,-12.5,8.7,2.8,1378996,Other Sectors
Employment/Outsourcing Agencies,10970634,8107159,9410852,8821499,35.3,-13.9,6.7,7.5,2863475,Other Sectors
Security and Investigation Services,2870489,2547066,2668946,2435399,12.7,-4.6,9.6,5.6,323424,Other Sectors
Services to Buildings,3133754,2941389,2941604,2715105,6.5,0.0,8.3,4.9,192365,Other Sectors
Miscellaneous Sectors,15539580,12658928,14667411,14377921,22.8,-13.7,2.0,2.6,2880652,Other Sectors
Government,57786316,60027997,61725233,68353515,-3.7,-2.7,-9.7,-5.4,-2241681,
State Government (PA),3525787,3432111,3480379,3210851,2.7,-1.4,8.4,3.2,93676,Government
"City, School District, Local Quasi Govt.",33126869,33698685,35512485,33760902,-1.7,-5.1,5.2,-0.6,-571816,Government
Federal Government,20448282,22268731,22051889,30716470,-8.2,1.0,-28.2,-12.7,-1820449,Government
Other Governments,685379,628471,680480,665291,9.1,-7.6,2.3,1.0,56908,Government
Unclassified Accounts,1091750,356508,205158,225365,206.2,73.8,-9.0,69.2,735242,
