sector,apr_to_jun_2022,apr_to_jun_2021,apr_to_jun_2020,apr_to_jun_2019,growth_yoy_2022,growth_yoy_2021,growth_yoy_2020,growth_3yr,net_change,parent_sector
Construction,18386228,17581992,13428820,17441697,4.6,30.9,-23.0,1.8,804236,
Manufacturing,30338002,25893480,27073845,29323711,17.2,-4.4,-7.7,1.1,4444522,
"Chemicals, Petroleum Refining",3647778,2914323,3319328,4626677,25.2,-12.2,-28.3,-7.6,733455,Manufacturing
Pharmaceuticals,7461812,5569465,7444263,6918417,34.0,-25.2,7.6,2.6,1892346,Manufacturing
Transportation Equipment,2441072,2360593,2206036,2490796,3.4,7.0,-11.4,-0.7,80479,Manufacturing
Food & Beverage Products,4810756,4466365,4188597,4166121,7.7,6.6,0.5,4.9,344390,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",2925912,2360790,2351207,2611972,23.9,0.4,-10.0,3.9,565123,Manufacturing
Metal Manufacturing,1843900,1797341,1777666,2137487,2.6,1.1,-16.8,-4.8,46560,Manufacturing
Miscellaneous Manufacturing,7206772,6424602,5786749,6372241,12.2,11.0,-9.2,4.2,782170,Manufacturing
Public Utilities,3606577,3354103,3268029,3400041,7.5,2.6,-3.9,2.0,252474,
Transportation and Warehousing,17966718,16425475,15421163,17830394,9.4,6.5,-13.5,0.3,1541243,
Telecommunication,13787118,6130923,14647948,16247320,124.9,-58.1,-9.8,-5.3,7656194,
"Publishing, Broadcasting, and Other Information",7171910,6084880,7332709,7051107,17.9,-17.0,4.0,0.6,1087030,
Wholesale Trade,11235174,10570526,9825255,10927538,6.3,7.6,-10.1,0.9,664649,
Retail Trade,36174489,26884437,24489761,27209169,34.6,9.8,-10.0,10.0,9290052,
Banking & Credit Unions,7425651,7782690,11010557,10337394,-4.6,-29.3,6.5,-10.4,-357040,
Securities / Financial Investments,15475246,10657444,16850714,15074660,45.2,-36.8,11.8,0.9,4817802,
Insurance,14107397,10784192,14640240,17390396,30.8,-26.3,-15.8,-6.7,3323204,
"Real Estate, Rental and Leasing",7897268,6650812,6788634,7932515,18.7,-2.0,-14.4,-0.1,1246456,
Health and Social Services,123228993,107969608,108211429,108467269,14.1,-0.2,-0.2,4.3,15259385,
Hospitals,60086498,51875943,53801786,53338819,15.8,-3.6,0.9,4.1,8210555,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",12477288,11697899,9542410,11976811,6.7,22.6,-20.3,1.4,779388,Health and Social Services
Outpatient Care Centers and Other Health Services,19562257,17584032,17850470,18512922,11.3,-1.5,-3.6,1.9,1978226,Health and Social Services
Nursing & Personal Care Facilities,11330807,10104234,10757514,10300983,12.1,-6.1,4.4,3.2,1226572,Health and Social Services
Social Services,19772144,16707499,16259250,14337735,18.3,2.8,13.4,11.3,3064644,Health and Social Services
Education,47326342,38906416,44795503,48452478,21.6,-13.1,-7.5,-0.8,8419927,
College and Universities,35008648,28737763,33687438,37266834,21.8,-14.7,-9.6,-2.1,6270885,Education
"Elementary, Secondary Schools",8638644,7208490,7810598,7689235,19.8,-7.7,1.6,4.0,1430154,Education
Other Educational Services,3679050,2960162,3297468,3496408,24.3,-10.2,-5.7,1.7,718888,Education
Professional Services,71099801,48700430,55873180,58047157,46.0,-12.8,-3.7,7.0,22399371,
Legal Services,15773990,10079037,14852651,17682405,56.5,-32.1,-16.0,-3.7,5694952,Professional Services
Management Consulting,12725453,10075542,10952374,10859916,26.3,-8.0,0.9,5.4,2649912,Professional Services
Engineering & Architectural Services,6571200,5334141,6567896,6614649,23.2,-18.8,-0.7,-0.2,1237059,Professional Services
Computer,6398324,5743308,5897866,5587765,11.4,-2.6,5.5,4.6,655016,Professional Services
"Accounting, Auditing, Bookkeeping",15049099,5282180,6272972,6502407,184.9,-15.8,-3.5,32.3,9766919,Professional Services
Advertising and Other Professional Services,14581734,12186222,11329421,10800014,19.7,7.6,4.9,10.5,2395512,Professional Services
Hotels,3012129,1800569,1332035,3195205,67.3,35.2,-58.3,-1.9,1211560,
Restaurants,14957605,9080298,8700738,14279146,64.7,4.4,-39.1,1.6,5877307,
Sport Teams,7882176,6111912,4837924,6338194,29.0,26.3,-23.7,7.5,1770264,
"Arts, Entertainment, and Other Recreation",4404802,2891493,2901504,4256690,52.3,-0.3,-31.8,1.1,1513308,
Other Sectors,42840047,33010273,33786316,37774227,29.8,-2.3,-10.6,4.3,9829774,
Membership Organizations,9925080,7618319,9772438,9950532,30.3,-22.0,-1.8,-0.1,2306762,Other Sectors
Employment/Outsourcing Agencies,11375236,7470390,7471200,8611149,52.3,0.0,-13.2,9.7,3904847,Other Sectors
Security and Investigation Services,2909358,2598720,2362348,2479657,12.0,10.0,-4.7,5.5,310637,Other Sectors
Services to Buildings,3190425,2892626,2565606,2902450,10.3,12.7,-11.6,3.2,297799,Other Sectors
Miscellaneous Sectors,15439948,12430217,11614724,13830439,24.2,7.0,-16.0,3.7,3009730,Other Sectors
Government,55194878,55012824,57227706,47397025,0.3,-3.9,20.7,5.2,182054,
State Government (PA),3334939,3242124,3348570,3573944,2.9,-3.2,-6.3,-2.3,92814,Government
"City, School District, Local Quasi Govt.",33000820,31262655,29834277,32949290,5.6,4.8,-9.5,0.1,1738165,Government
Federal Government,18122732,19978769,23367746,10243474,-9.3,-14.5,128.1,20.9,-1856037,Government
Other Governments,736387,529276,677114,630316,39.1,-21.8,7.4,5.3,207111,Government
Unclassified Accounts,1796915,347707,171394,197561,416.8,102.9,-13.2,108.7,1449208,
