sector,jul_to_sep_2022,jul_to_sep_2021,jul_to_sep_2020,jul_to_sep_2019,growth_yoy_2022,growth_yoy_2021,growth_yoy_2020,growth_3yr,net_change,parent_sector
Construction,19272730,17432880,17264900,18726600,10.6,1.0,-7.8,1.0,1839851,
Manufacturing,27202995,25300272,25686575,28877806,7.5,-1.5,-11.1,-2.0,1902723,
"Chemicals, Petroleum Refining",3016546,3027870,3238360,5009887,-0.4,-6.5,-35.4,-15.6,-11324,Manufacturing
Pharmaceuticals,5896750,4981103,5802827,5846475,18.4,-14.2,-0.7,0.3,915647,Manufacturing
Transportation Equipment,2520749,2382084,2605520,2638237,5.8,-8.6,-1.2,-1.5,138665,Manufacturing
Food & Beverage Products,4704333,4453081,4271667,4359277,5.6,4.2,-2.0,2.6,251252,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",2500612,2490642,2368744,2333371,0.4,5.1,1.5,2.3,9970,Manufacturing
Metal Manufacturing,1873367,1895374,1982189,2570542,-1.2,-4.4,-22.9,-10.0,-22007,Manufacturing
Miscellaneous Manufacturing,6690639,6070118,5417267,6120017,10.2,12.1,-11.5,3.0,620520,Manufacturing
Public Utilities,3426228,2257532,3591296,3571686,51.8,-37.1,0.5,-1.4,1168696,
Transportation and Warehousing,17701457,17432733,16678661,19360331,1.5,4.5,-13.9,-2.9,268725,
Telecommunication,11869086,6192269,9231400,13800705,91.7,-32.9,-33.1,-4.9,5676817,
"Publishing, Broadcasting, and Other Information",6762061,6491817,6745980,7065780,4.2,-3.8,-4.5,-1.5,270244,
Wholesale Trade,10401140,10004708,9395458,10593379,4.0,6.5,-11.3,-0.6,396432,
Retail Trade,27507124,27188471,24190034,25014273,1.2,12.4,-3.3,3.2,318653,
Banking & Credit Unions,7062243,7443246,8397789,8815594,-5.1,-11.4,-4.7,-7.1,-381003,
Securities / Financial Investments,10524336,8982903,10165059,11943506,17.2,-11.6,-14.9,-4.1,1541433,
Insurance,12205880,9096385,11087530,14890433,34.2,-18.0,-25.5,-6.4,3109495,
"Real Estate, Rental and Leasing",7641585,6680127,6539401,7382006,14.4,2.2,-11.4,1.2,961457,
Health and Social Services,121296719,112271031,117292846,118020679,8.0,-4.3,-0.6,0.9,9025688,
Hospitals,60575196,54841698,59960694,60317902,10.5,-8.5,-0.6,0.1,5733498,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",12638312,12284085,11060223,12565150,2.9,11.1,-12.0,0.2,354227,Health and Social Services
Outpatient Care Centers and Other Health Services,17070405,17547132,18463797,18478428,-2.7,-5.0,-0.1,-2.6,-476728,Health and Social Services
Nursing & Personal Care Facilities,10832942,10402747,10628145,10650554,4.1,-2.1,-0.2,0.6,430195,Health and Social Services
Social Services,20179864,17195369,17179988,16008645,17.4,0.1,7.3,8.0,2984496,Health and Social Services
Education,51546507,42192644,39511608,50219944,22.2,6.8,-21.3,0.9,9353863,
College and Universities,39625614,31826268,29075113,39506913,24.5,9.5,-26.4,0.1,7799346,Education
"Elementary, Secondary Schools",8513705,7178467,7369117,7368438,18.6,-2.6,0.0,4.9,1335238,Education
Other Educational Services,3407188,3187909,3067378,3344592,6.9,3.9,-8.3,0.6,219279,Education
Professional Services,62005410,51086649,51197476,58838703,21.4,-0.2,-13.0,1.8,10918761,
Legal Services,14876841,12132331,13188843,17582276,22.6,-8.0,-25.0,-5.4,2744510,Professional Services
Management Consulting,12164009,9939904,10053810,11328067,22.4,-1.1,-11.2,2.4,2224104,Professional Services
Engineering & Architectural Services,6690305,5775364,6523512,6867056,15.8,-11.5,-5.0,-0.9,914940,Professional Services
Computer,6120197,5481963,5352238,5442693,11.6,2.4,-1.7,4.0,638234,Professional Services
"Accounting, Auditing, Bookkeeping",8257842,5566899,5647001,6421474,48.3,-1.4,-12.1,8.7,2690943,Professional Services
Advertising and Other Professional Services,13896217,12190187,10432071,11197138,14.0,16.9,-6.8,7.5,1706030,Professional Services
Hotels,2844136,2173727,1042036,3265239,30.8,108.6,-68.1,-4.5,670409,
Restaurants,15065324,12079066,7962688,14431811,24.7,51.7,-44.8,1.4,2986258,
Sport Teams,7746052,6545353,6452134,7454194,18.3,1.4,-13.4,1.3,1200700,
"Arts, Entertainment, and Other Recreation",4312567,3294872,2516605,4208859,30.9,30.9,-40.2,0.8,1017695,
Other Sectors,40374527,35997566,32574721,37994695,12.2,10.5,-14.3,2.0,4376962,
Membership Organizations,8690011,9457442,9862511,10334018,-8.1,-4.1,-4.6,-5.6,-767431,Other Sectors
Employment/Outsourcing Agencies,10868637,7828747,6763669,8607534,38.8,15.7,-21.4,8.1,3039890,Other Sectors
Security and Investigation Services,2874333,2599844,2519794,2525531,10.6,3.2,-0.2,4.4,274489,Other Sectors
Services to Buildings,3324022,3077250,2828496,3103962,8.0,8.8,-8.9,2.3,246772,Other Sectors
Miscellaneous Sectors,14617523,13034283,10600251,13423650,12.1,23.0,-21.0,2.9,1583241,Other Sectors
Government,60170878,55951054,65434119,71006254,7.5,-14.5,-7.8,-5.4,4219824,
State Government (PA),3440098,3271925,3344367,3797105,5.1,-2.2,-11.9,-3.2,168173,Government
"City, School District, Local Quasi Govt.",36010168,33225681,35657530,36582462,8.4,-6.8,-2.5,-0.5,2784487,Government
Federal Government,19952288,18808856,25776266,29951472,6.1,-27.0,-13.9,-12.7,1143432,Government
Other Governments,768324,644593,655956,675215,19.2,-1.7,-2.9,4.4,123731,Government
Unclassified Accounts,2289361,327799,297072,231444,598.4,10.3,28.4,114.7,1961562,
