sector,oct_to_dec_2022,oct_to_dec_2021,oct_to_dec_2020,oct_to_dec_2019,growth_yoy_2022,growth_yoy_2021,growth_yoy_2020,growth_3yr,net_change,parent_sector
Construction,19607294,17333761,17804036,18281242,13.1,-2.6,-2.6,2.4,2273533,
Manufacturing,30827231,28178489,26575731,26899170,9.4,6.0,-1.2,4.6,2648742,
"Chemicals, Petroleum Refining",3599915,3365931,3058438,3897554,7.0,10.1,-21.5,-2.6,233984,Manufacturing
Pharmaceuticals,6623037,6033299,5684839,5637439,9.8,6.1,0.8,5.5,589738,Manufacturing
Transportation Equipment,2588158,2537480,2417734,2269527,2.0,5.0,6.5,4.5,50679,Manufacturing
Food & Beverage Products,5921946,5063820,5095684,4559704,16.9,-0.6,11.8,9.1,858126,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",2668598,2538633,2471156,2453336,5.1,2.7,0.7,2.8,129965,Manufacturing
Metal Manufacturing,2175757,1886512,1829447,1927362,15.3,3.1,-5.1,4.1,289245,Manufacturing
Miscellaneous Manufacturing,7249820,6752814,6018433,6154248,7.4,12.2,-2.2,5.6,497006,Manufacturing
Public Utilities,3575753,3074537,3081420,3322562,16.3,-0.2,-7.3,2.5,501217,
Transportation and Warehousing,19443098,18924017,16281240,17573455,2.7,16.2,-7.4,3.4,519081,
Telecommunication,11476693,8900215,8329537,11612185,28.9,6.9,-28.3,-0.4,2576478,
"Publishing, Broadcasting, and Other Information",7212467,7033802,6355026,7423645,2.5,10.7,-14.4,-1.0,178665,
Wholesale Trade,11833884,11240226,10103468,10560335,5.3,11.3,-4.3,3.9,593658,
Retail Trade,29200083,28747017,25790327,24423756,1.6,11.5,5.6,6.1,453066,
Banking & Credit Unions,8572822,8570997,8547981,9110839,0.0,0.3,-6.2,-2.0,1825,
Securities / Financial Investments,10154272,11803309,9647443,12685261,-14.0,22.3,-23.9,-7.1,-1649037,
Insurance,13061697,10528046,9489075,14712518,24.1,10.9,-35.5,-3.9,2533651,
"Real Estate, Rental and Leasing",8139785,7342753,6457354,7411106,10.9,13.7,-12.9,3.2,797033,
Health and Social Services,132630702,118108907,113066869,109905003,12.3,4.5,2.9,6.5,14521795,
Hospitals,66607379,60247271,56189028,55278976,10.6,7.2,1.6,6.4,6360108,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",13272376,12668026,11799940,11884718,4.8,7.4,-0.7,3.7,604350,Health and Social Services
Outpatient Care Centers and Other Health Services,19359915,17919087,17923537,17665652,8.0,0.0,1.5,3.1,1440828,Health and Social Services
Nursing & Personal Care Facilities,11018973,10182329,10338102,10160823,8.2,-1.5,1.7,2.7,836644,Health and Social Services
Social Services,22372059,17092194,16816261,14914834,30.9,1.6,12.7,14.5,5279865,Health and Social Services
Education,55149061,51379172,42633412,53925110,7.3,20.5,-20.9,0.8,3769889,
College and Universities,41675752,39233112,31445965,42424083,6.2,24.8,-25.9,-0.6,2442641,Education
"Elementary, Secondary Schools",9674000,8534113,7872593,7831145,13.4,8.4,0.5,7.3,1139887,Education
Other Educational Services,3799309,3611948,3314853,3669883,5.2,9.0,-9.7,1.2,187361,Education
Professional Services,69588525,62344850,53080044,62483244,11.6,17.5,-15.0,3.7,7243676,
Legal Services,17420489,16128306,13711709,18658171,8.0,17.6,-26.5,-2.3,1292184,Professional Services
Management Consulting,14194850,13298763,11355109,12352780,6.7,17.1,-8.1,4.7,896087,Professional Services
Engineering & Architectural Services,7380706,6802192,6908233,7435872,8.5,-1.5,-7.1,-0.2,578514,Professional Services
Computer,6343469,6555010,5320247,5421316,-3.2,23.2,-1.9,5.4,-211541,Professional Services
"Accounting, Auditing, Bookkeeping",9492153,6256829,4856991,7655795,51.7,28.8,-36.6,7.4,3235324,Professional Services
Advertising and Other Professional Services,14756858,13303750,10927755,10959309,10.9,21.7,-0.3,10.4,1453109,Professional Services
Hotels,3307722,2541548,1157757,3002217,30.1,119.5,-61.4,3.3,766174,
Restaurants,17194757,14018291,9851083,15588521,22.7,42.3,-36.8,3.3,3176466,
Sport Teams,6127412,6792087,6568435,6388937,-9.8,3.4,2.8,-1.4,-664674,
"Arts, Entertainment, and Other Recreation",4637062,3985258,2618464,4418455,16.4,52.2,-40.7,1.6,651804,
Other Sectors,44894525,39077271,34552003,37947434,14.9,13.1,-8.9,5.8,5817254,
Membership Organizations,11035691,10243715,9770826,10030072,7.7,4.8,-2.6,3.2,791976,Other Sectors
Employment/Outsourcing Agencies,11902934,9302431,7806032,8901681,28.0,19.2,-12.3,10.2,2600504,Other Sectors
Security and Investigation Services,3119399,2924239,2565264,2551567,6.7,14.0,0.5,6.9,195160,Other Sectors
Services to Buildings,3537321,3124182,2890933,2938035,13.2,8.1,-1.6,6.4,413139,Other Sectors
Miscellaneous Sectors,15299179,13482703,11518949,13526081,13.5,17.0,-14.8,4.2,1816476,Other Sectors
Government,67723493,67369649,64518136,59428651,0.5,4.4,8.6,4.5,353843,
State Government (PA),3527082,3334687,3251808,3387496,5.8,2.5,-4.0,1.4,192394,Government
"City, School District, Local Quasi Govt.",39689345,37907308,34221602,31919527,4.7,10.8,7.2,7.5,1782036,Government
Federal Government,23689699,25499757,26385155,23474939,-7.1,-3.4,12.4,0.3,-1810059,Government
Other Governments,817368,627897,659572,646689,30.2,-4.8,2.0,8.1,189471,Government
Unclassified Accounts,2485023,880198,312810,206943,182.3,181.4,51.2,129.0,1604824,
