name,jul_fy16,jul_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4434656.0,3318165.0,4434656.0,3318165.0,1116491.0,48576344.0,8.37
traffic_fines,604347.0,620583.0,604347.0,620583.0,-16236.0,6395653.0,8.63
payments_in_lieu_of_taxes,291214.0,124372.0,291214.0,124372.0,166842.0,2108786.0,12.13
cable_television,,4419576.0,,4419576.0,-4419576.0,21442000.0,0.0
emergency_medical_services,3142043.0,2808481.0,3142043.0,2808481.0,333562.0,34257957.0,8.4
court_related_costs,4104025.0,3882935.0,4104025.0,3882935.0,221090.0,37095975.0,9.96
interest_earnings,72188.0,137216.0,72188.0,137216.0,-65028.0,1896812.0,3.67
asset_sales,80832.0,415006.0,80832.0,415006.0,-334174.0,5169168.0,1.54
all_other_local_nontaxes,16481350.0,13052820.0,16481350.0,13052820.0,3428530.0,89653650.0,15.53
total_local_nontax_revenue,29210655.0,28779154.0,29210655.0,28779154.0,431501.0,246596345.0,10.59
