name,oct_fy16,oct_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3314754.0,3264637.0,16226387.0,12846368.0,3380019.0,519189613.0,3.03,current
real_estate,4990642.0,4537740.0,18033912.0,18822720.0,-788808.0,27667088.0,39.46,prior
real_estate,8305396.0,7802377.0,34260299.0,31669088.0,2591211.0,546856701.0,5.9,total
wage_city,106986069.0,122422254.0,436021599.0,432221804.0,3799795.0,918041401.0,32.2,current
wage_city,1276263.0,1176831.0,856831.0,1010869.0,-154038.0,4643169.0,15.58,prior
wage_city,108262332.0,123599085.0,436878430.0,433232673.0,3645757.0,922684570.0,32.13,total
wage_pica,31897535.0,33466718.0,128058388.0,122591571.0,5466817.0,270234612.0,32.15,current
wage_pica,41857.0,51879.0,108980.0,-104325.0,213305.0,2391020.0,4.36,prior
wage_pica,31939392.0,33518597.0,128167368.0,122487246.0,5680122.0,272625632.0,31.98,total
wage,140201724.0,157117682.0,565045798.0,555719919.0,9325879.0,1195310202.0,32.1,total
earnings_city,363324.0,204041.0,927579.0,770398.0,157181.0,9072421.0,9.28,current
earnings_city,520735.0,440185.0,1222789.0,1103508.0,119281.0,-222789.0,122.28,prior
earnings_city,884059.0,644226.0,2150368.0,1873906.0,276462.0,8849632.0,19.55,total
earnings_pica,327832.0,270738.0,792452.0,733918.0,58534.0,707548.0,52.83,current
earnings_pica,71534.0,96446.0,254856.0,230501.0,24355.0,3245144.0,7.28,prior
earnings_pica,399366.0,367184.0,1047308.0,964419.0,82889.0,3952692.0,20.95,total
earnings,1283425.0,1011410.0,3197676.0,2838325.0,359351.0,12802324.0,19.99,total
net_profits_city,426846.0,443056.0,-28697.0,-966537.0,937840.0,15521697.0,-0.19,current
net_profits_city,417264.0,67987.0,946582.0,1544946.0,-598364.0,2053418.0,31.55,prior
net_profits_city,844110.0,511043.0,917885.0,578409.0,339476.0,17575115.0,4.96,total
net_profits_pica,971317.0,95638.0,2847648.0,1284220.0,1563428.0,9875352.0,22.38,current
net_profits_pica,-98546.0,116191.0,-208237.0,-656880.0,448643.0,708237.0,-41.65,prior
net_profits_pica,872771.0,211829.0,2639411.0,627340.0,2012071.0,10583589.0,19.96,total
net_profits,1716881.0,722872.0,3557296.0,1205749.0,2351547.0,28158704.0,11.22,total
wage_earnings_net_profits,143202030.0,158851964.0,571800770.0,559763993.0,12036777.0,1236271230.0,31.62,total
wage_earnings_net_profits_pica,33211529.0,34097610.0,131854087.0,124079005.0,7775082.0,287161913.0,31.47,total
wage_earnings_net_profits_city,109990501.0,124754354.0,439946683.0,435684988.0,4261695.0,949109317.0,31.67,total
birt,19962537.0,5045022.0,40263213.0,20338834.0,19924379.0,,,current
birt,2191694.0,2070000.0,9237404.0,10420340.0,-1182936.0,,,prior
birt,22154231.0,7115022.0,49500617.0,30759174.0,18741443.0,404373383.0,10.91,total
sales,10951664.0,10474434.0,64651219.0,65854314.0,-1203095.0,84719781.0,43.28,total
amusement,754043.0,817875.0,7780561.0,7691574.0,88987.0,11393439.0,40.58,total
tobacco,1200.0,3592.0,12913.0,57783.0,-44870.0,627087.0,2.02,total
parking,7194903.0,6175223.0,29634269.0,24989607.0,4644662.0,57401731.0,34.05,total
valet,107464.0,141480.0,487889.0,551093.0,-63204.0,1112111.0,30.49,total
real_estate_transfer,20120208.0,13293716.0,86971641.0,65995829.0,20975812.0,134878359.0,39.2,total
outdoor_ads,207367.0,256501.0,996516.0,917783.0,78733.0,1814484.0,35.45,total
other_taxes,-24896.0,812.0,-7431.0,431155.0,-438586.0,57431.0,-14.86,total
all_taxes,179762081.0,170835386.0,714235176.0,664602388.0,49632788.0,2198043824.0,24.52,total
