name,nov_fy16,nov_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3216075.0,2976216.0,19442461.0,15822584.0,3619877.0,515973539.0,3.63,current
real_estate,3676466.0,4573381.0,21710379.0,23396102.0,-1685723.0,23990621.0,47.51,prior
real_estate,6892541.0,7549597.0,41152840.0,39218686.0,1934154.0,539964160.0,7.08,total
wage_city,121960375.0,99705297.0,557981974.0,531927100.0,26054874.0,796081026.0,41.21,current
wage_city,-473148.0,118119.0,383683.0,1128988.0,-745305.0,5116317.0,6.98,prior
wage_city,121487227.0,99823416.0,558365657.0,533056088.0,25309569.0,801197343.0,41.07,total
wage_pica,36055326.0,31749094.0,164113713.0,154340665.0,9773048.0,234179287.0,41.2,current
wage_pica,,63923.0,108980.0,-40402.0,149382.0,2391020.0,4.36,prior
wage_pica,36055326.0,31813017.0,164222693.0,154300263.0,9922430.0,236570307.0,40.97,total
wage,157542553.0,131636433.0,722588350.0,687356351.0,35231999.0,1037767650.0,41.05,total
earnings_city,272411.0,381976.0,1199990.0,1152374.0,47616.0,8800010.0,12.0,current
earnings_city,264801.0,85225.0,1487590.0,1188733.0,298857.0,-487590.0,148.76,prior
earnings_city,537212.0,467201.0,2687580.0,2341107.0,346473.0,8312420.0,24.43,total
earnings_pica,214838.0,66547.0,1007290.0,800466.0,206824.0,492710.0,67.15,current
earnings_pica,,169231.0,254856.0,399732.0,-144876.0,3245144.0,7.28,prior
earnings_pica,214838.0,235778.0,1262146.0,1200198.0,61948.0,3737854.0,25.24,total
earnings,752050.0,702979.0,3949726.0,3541305.0,408421.0,12050274.0,24.69,total
net_profits_city,150767.0,-143462.0,122070.0,-1109999.0,1232069.0,15370930.0,0.79,current
net_profits_city,209655.0,563980.0,1156237.0,2108926.0,-952689.0,1843763.0,38.54,prior
net_profits_city,360422.0,420518.0,1278307.0,998927.0,279380.0,17214693.0,6.91,total
net_profits_pica,243253.0,513532.0,3090901.0,1797752.0,1293149.0,9632099.0,24.29,current
net_profits_pica,,-415842.0,-208237.0,-1072722.0,864485.0,708237.0,-41.65,prior
net_profits_pica,243253.0,97690.0,2882664.0,725030.0,2157634.0,10340336.0,21.8,total
net_profits,603675.0,518208.0,4160971.0,1723957.0,2437014.0,27555029.0,13.12,total
wage_earnings_net_profits,158898278.0,132857620.0,730699047.0,692621613.0,38077434.0,1077372953.0,40.41,total
wage_earnings_net_profits_pica,36513417.0,32146485.0,168367503.0,156225491.0,12142012.0,250648497.0,40.18,total
wage_earnings_net_profits_city,122384861.0,100711135.0,562331544.0,536396122.0,25935422.0,826724456.0,40.48,total
birt,2795547.0,-757359.0,43058760.0,19581474.0,23477286.0,,,current
birt,2974799.0,1486283.0,12212203.0,11906622.0,305581.0,,,prior
birt,5770346.0,728924.0,55270963.0,31488096.0,23782867.0,398603037.0,12.18,total
sales,13129746.0,11594560.0,77780965.0,77448873.0,332092.0,71590035.0,52.07,total
amusement,1222544.0,1146629.0,9003105.0,8838203.0,164902.0,10170895.0,46.95,total
tobacco,21735.0,-298.0,34648.0,57485.0,-22837.0,605352.0,5.41,total
parking,7747217.0,6571145.0,37381486.0,31560752.0,5820734.0,49654514.0,42.95,total
valet,126475.0,127382.0,614364.0,678475.0,-64111.0,985636.0,38.4,total
real_estate_transfer,20034171.0,13871369.0,107005812.0,79867198.0,27138614.0,114844188.0,48.23,total
outdoor_ads,308316.0,215981.0,1304833.0,1133764.0,171069.0,1506167.0,46.42,total
other_taxes,19000.0,-396.0,11569.0,430759.0,-419190.0,38431.0,23.14,total
all_taxes,177656952.0,142516028.0,891892129.0,807118413.0,84773716.0,2020386871.0,30.63,total
