name,dec_fy16,dec_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,7690553.0,10141561.0,27133014.0,25964145.0,1168869.0,508282986.0,5.07,current
real_estate,3504740.0,-206469.0,25215118.0,23189632.0,2025486.0,20485882.0,55.17,prior
real_estate,11195293.0,9935092.0,52348132.0,49153777.0,3194355.0,528768868.0,9.01,total
wage_city,92391208.0,98802721.0,650373182.0,630729822.0,19643360.0,703689818.0,48.03,current
wage_city,3724644.0,3918119.0,4108327.0,5047106.0,-938779.0,1391673.0,74.7,prior
wage_city,96115852.0,102720840.0,654481509.0,635776928.0,18704581.0,705081491.0,48.14,total
wage_pica,32574214.0,28297034.0,196687928.0,182637700.0,14050228.0,201605072.0,49.38,current
wage_pica,1133473.0,30538.0,1242453.0,-9864.0,1252317.0,1257547.0,49.7,prior
wage_pica,33707687.0,28327572.0,197930381.0,182627836.0,15302545.0,202862619.0,49.38,total
wage,129823539.0,131048412.0,852411890.0,818404764.0,34007126.0,907944110.0,48.42,total
earnings_city,305373.0,76297.0,1505363.0,1228671.0,276692.0,8494637.0,15.05,current
earnings_city,-86721.0,256317.0,1400869.0,1445050.0,-44181.0,-400869.0,140.09,prior
earnings_city,218652.0,332614.0,2906232.0,2673721.0,232511.0,8093768.0,26.42,total
earnings_pica,-249965.0,47608.0,757325.0,848074.0,-90749.0,742675.0,50.49,current
earnings_pica,449900.0,67085.0,704756.0,466817.0,237939.0,2795244.0,20.14,prior
earnings_pica,199935.0,114693.0,1462081.0,1314891.0,147190.0,3537919.0,29.24,total
earnings,418587.0,447307.0,4368313.0,3988612.0,379701.0,11631687.0,27.3,total
net_profits_city,1291524.0,609639.0,1413594.0,-500360.0,1913954.0,14079406.0,9.12,current
net_profits_city,405173.0,2095566.0,1561410.0,4204492.0,-2643082.0,1438590.0,52.05,prior
net_profits_city,1696697.0,2705205.0,2975004.0,3704132.0,-729128.0,15517996.0,16.09,total
net_profits_pica,-1748414.0,310007.0,1342487.0,2107759.0,-765272.0,11380513.0,10.55,current
net_profits_pica,1691105.0,-1924745.0,1482868.0,-2997467.0,4480335.0,-982868.0,296.57,prior
net_profits_pica,-57309.0,-1614738.0,2825355.0,-889708.0,3715063.0,10397645.0,21.37,total
net_profits,1639388.0,1090467.0,5800359.0,2814424.0,2985935.0,25915641.0,18.29,total
wage_earnings_net_profits,131881514.0,132586186.0,862580562.0,825207800.0,37372762.0,945491438.0,47.71,total
wage_earnings_net_profits_pica,33850313.0,26827527.0,202217817.0,183053019.0,19164798.0,216798183.0,48.26,total
wage_earnings_net_profits_city,98031201.0,105758659.0,660362745.0,642154781.0,18207964.0,728693255.0,47.54,total
birt,6970831.0,2033881.0,50029591.0,21615355.0,28414236.0,,,current
birt,2016296.0,1769768.0,14228498.0,13676390.0,552108.0,,,prior
birt,8987127.0,3803649.0,64258089.0,35291745.0,28966344.0,389615911.0,14.16,total
sales,10030278.0,10516213.0,87811243.0,87965086.0,-153843.0,61559757.0,58.79,total
amusement,1085860.0,1068385.0,10088965.0,9906588.0,182377.0,9085035.0,52.62,total
tobacco,12365.0,2606.0,47013.0,60091.0,-13078.0,592987.0,7.35,total
parking,7206277.0,6285575.0,44587762.0,37846327.0,6741435.0,42448238.0,51.23,total
valet,121027.0,144497.0,735391.0,822972.0,-87581.0,864609.0,45.96,total
real_estate_transfer,14407944.0,23135701.0,121413756.0,103002899.0,18410857.0,100436244.0,54.73,total
outdoor_ads,262299.0,205701.0,1567132.0,1339465.0,227667.0,1243868.0,55.75,total
other_taxes,16600.0,18100.0,28169.0,448859.0,-420690.0,21831.0,56.34,total
all_taxes,151356271.0,160874178.0,1043248397.0,967992590.0,75255807.0,1869030603.0,35.82,total
