name,sep_fy17,sep_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4786880.0,4041993.0,13049688.0,11952655.0,1097033.0,41276312.0,24.02
traffic_fines,449104.0,478075.0,1232653.0,1576501.0,-343848.0,5167347.0,19.26
payments_in_lieu_of_taxes,,,376335.0,357947.0,18388.0,2223665.0,14.47
cable_television,1760949.0,,5877906.0,5760233.0,117673.0,18989094.0,23.64
emergency_medical_services,4114782.0,3557996.0,11773199.0,9470100.0,2303099.0,27226801.0,30.19
court_related_costs,3770074.0,3529159.0,11935185.0,11683629.0,251556.0,29864815.0,28.55
interest_earnings,209759.0,201679.0,479315.0,3082858.0,-2603543.0,1020685.0,31.95
asset_sales,34333.0,2019913.0,202406.0,2655633.0,-2453227.0,5047594.0,3.86
all_other_local_nontaxes,8338461.0,11387790.0,31503174.0,30817747.0,685427.0,80044826.0,28.24
total_local_nontax_revenue,23464342.0,25216605.0,76429861.0,77357303.0,-927442.0,210861139.0,26.6
