name,nov_fy17,nov_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3550333.0,2749675.0,20769944.0,18656724.0,2113220.0,33556056.0,38.23
traffic_fines,353577.0,344546.0,1944626.0,2472035.0,-527409.0,4455374.0,30.38
payments_in_lieu_of_taxes,,,752879.0,777639.0,-24760.0,1847121.0,28.96
cable_television,5857209.0,5537807.0,11735114.0,11298040.0,437074.0,13131886.0,47.19
emergency_medical_services,3642615.0,3633484.0,18690019.0,16067704.0,2622315.0,20309981.0,47.92
court_related_costs,3699106.0,3823725.0,19458308.0,19090432.0,367876.0,22341692.0,46.55
interest_earnings,1183362.0,293490.0,1712246.0,3314895.0,-1602649.0,-212246.0,114.15
asset_sales,183.0,560.0,415338.0,3924149.0,-3508811.0,4834662.0,7.91
all_other_local_nontaxes,10435148.0,6198190.0,51346100.0,45529066.0,5817034.0,60201900.0,46.03
total_local_nontax_revenue,28721533.0,22581477.0,126824574.0,121130684.0,5693890.0,160466426.0,44.14
