name,jan_fy17,jan_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,2754718.0,3703621.0,27333495.0,25515012.0,1818483.0,26992505.0,50.31
traffic_fines,420740.0,489625.0,2731084.0,3373457.0,-642373.0,3668916.0,42.67
payments_in_lieu_of_taxes,265518.0,295244.0,1048397.0,1072883.0,-24486.0,1551603.0,40.32
cable_television,,,11735114.0,11298040.0,437074.0,13131886.0,47.19
emergency_medical_services,3512729.0,4645113.0,25746409.0,,25746409.0,13253591.0,66.02
court_related_costs,3720438.0,3774559.0,26767807.0,26322860.0,444947.0,15032193.0,64.04
interest_earnings,1345644.0,1245098.0,3215518.0,5250339.0,-2034821.0,-1715518.0,214.37
asset_sales,41633.0,1171242.0,573453.0,5095391.0,-4521938.0,4676547.0,10.92
all_other_local_nontaxes,16805210.0,13730234.0,7775722.0,96613223.0,,33790778.0,69.71
total_local_nontax_revenue,28866630.0,29054736.0,176908499.0,174541205.0,2367294.0,110382501.0,61.58
