name,aug_fy19,aug_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,5435722.0,4816336.0,10550842.0,10334954.0,215888.0,620197158.0,1.67,current
real_estate,4057106.0,3710822.0,7613943.0,7353134.0,260809.0,30718057.0,19.86,prior
real_estate,9492828.0,8527158.0,18164785.0,17688088.0,476697.0,650915215.0,2.71,total
wage_city,117935875.0,112099682.0,258343193.0,246985435.0,11357758.0,1311469807.0,16.46,current
wage_city,201510.0,643389.0,1012641.0,2218549.0,-1205908.0,1237359.0,45.01,prior
wage_city,118137385.0,112743071.0,259355834.0,249203984.0,10151850.0,1312707166.0,16.5,total
wage_pica,36039094.0,34071183.0,78944539.0,75068429.0,3876110.0,399410461.0,16.5,current
wage_pica,61578.0,195549.0,309445.0,674539.0,-365094.0,1190555.0,20.63,prior
wage_pica,36100672.0,34266732.0,79253984.0,75742968.0,3511016.0,400601016.0,16.52,total
wage,154238057.0,147009803.0,338609818.0,324946952.0,13662866.0,1713308182.0,16.5,total
earnings_city,314646.0,334583.0,681610.0,675362.0,6248.0,9818390.0,6.49,current
earnings_city,559432.0,539981.0,959283.0,895961.0,63322.0,5040717.0,15.99,prior
earnings_city,874078.0,874564.0,1640893.0,1571323.0,69570.0,14859107.0,9.94,total
earnings_pica,166109.0,170304.0,359837.0,343763.0,16074.0,4640163.0,7.2,current
earnings_pica,295336.0,274853.0,506427.0,456048.0,50379.0,2493573.0,16.88,prior
earnings_pica,461445.0,445157.0,866264.0,799811.0,66453.0,7133736.0,10.83,total
earnings,1335523.0,1319721.0,2507157.0,2371134.0,136023.0,21992843.0,10.23,total
net_profits_city,103473.0,119471.0,268582.0,271056.0,-2474.0,28401418.0,0.94,current
net_profits_city,490056.0,277935.0,1096461.0,673249.0,423212.0,1403539.0,43.86,prior
net_profits_city,593529.0,397406.0,1365043.0,944305.0,420738.0,29804957.0,4.38,total
net_profits_pica,97445.0,111123.0,252937.0,252116.0,821.0,24413063.0,1.03,current
net_profits_pica,461509.0,258515.0,1032590.0,626208.0,406382.0,2467410.0,29.5,prior
net_profits_pica,558954.0,369638.0,1285527.0,878324.0,407203.0,26880473.0,4.56,total
net_profits,1152483.0,767044.0,2650570.0,1822629.0,827941.0,56685430.0,4.47,total
wage_earnings_net_profits,156726063.0,149096568.0,343767545.0,329140715.0,14626830.0,1791986455.0,16.1,total
wage_earnings_net_profits_pica,37121071.0,35081527.0,81405775.0,77421103.0,3984672.0,434615225.0,15.78,total
wage_earnings_net_profits_city,119604992.0,114015041.0,262361770.0,251719612.0,10642158.0,1357371230.0,16.2,total
birt,-726025.0,4778686.0,2856318.0,8594448.0,-5738130.0,,,current
birt,2993475.0,2151164.0,5010827.0,5224059.0,-213232.0,,,prior
birt,2267450.0,6929850.0,7867145.0,13818507.0,-5951362.0,417324855.0,1.85,total
sales,27846715.0,28979912.0,53784355.0,57577181.0,-3792826.0,162739645.0,24.84,total
amusement,6743124.0,1649435.0,9224452.0,3467430.0,5757022.0,12988548.0,41.53,total
tobacco,2143.0,3189.0,6090.0,21175.0,-15085.0,776910.0,0.78,total
parking,7459578.0,7503077.0,15517398.0,15422317.0,95081.0,83555602.0,15.66,total
valet,156349.0,113319.0,305589.0,240279.0,65310.0,1294411.0,19.1,total
real_estate_transfer,30659446.0,29023050.0,68623870.0,67366793.0,1257077.0,241874130.0,22.1,total
outdoor_ads,274487.0,276417.0,522055.0,547377.0,-25322.0,2338945.0,18.25,total
soda,6446218.0,6504472.0,13524600.0,13424866.0,99734.0,,,current
soda,3901.0,,12443.0,,12443.0,,,prior
soda,6450119.0,6504472.0,13537043.0,13424866.0,112177.0,64500957.0,17.35,total
other_taxes,12.0,31.0,113.0,31.0,82.0,82887.0,0.14,total
all_taxes,210957243.0,203524951.0,449914665.0,441293656.0,8621009.0,2995763335.0,13.06,total
