name,feb_fy19,feb_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,9585435.0,6806859.0,44971484.0,39587407.0,5384077.0,14704516.0,75.36
traffic_fines,343557.0,369924.0,2984220.0,3092256.0,-108036.0,4215780.0,41.45
payments_in_lieu_of_taxes,580662.0,,1080944.0,867621.0,213323.0,1519056.0,41.57
cable_television,3523635.0,5646131.0,14555401.0,17521406.0,-2966005.0,9807599.0,59.74
emergency_medical_services,517601.0,3190987.0,22897521.0,28111287.0,-5213766.0,17102479.0,57.24
court_related_costs,4279145.0,3560491.0,43023537.0,40876074.0,2147463.0,-23537.0,100.05
interest_earnings,143332.0,45313.0,9113167.0,3774802.0,5338365.0,-6344167.0,329.11
asset_sales,,,688825.0,696761.0,-7936.0,561175.0,55.11
all_other_local_nontaxes,445043.0,7939036.0,70877419.0,76959209.0,-6081790.0,39948581.0,63.95
total_local_nontax_revenue,19418410.0,27558741.0,210192518.0,211486823.0,-1294305.0,81491482.0,72.06
