name,may_fy19,may_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,9736190.0,11399332.0,653345932.0,605785312.0,47560620.0,-22597932.0,103.58,current
real_estate,3505332.0,3854816.0,38874403.0,39231154.0,-356751.0,-542403.0,101.42,prior
real_estate,13241522.0,15254148.0,692220335.0,645016466.0,47203869.0,-23140335.0,103.46,total
wage_city,122259977.0,120560564.0,1451675021.0,1392067333.0,59607688.0,118137979.0,92.47,current
wage_city,105003.0,593100.0,-3068842.0,4352030.0,-7420872.0,5318842.0,-136.39,prior
wage_city,122364980.0,121153664.0,1448606179.0,1396419363.0,52186816.0,123456821.0,92.15,total
wage_pica,38122913.0,36841153.0,452656957.0,425396294.0,27260663.0,25698043.0,94.63,current
wage_pica,32942.0,182496.0,-954659.0,1331617.0,-2286276.0,2454659.0,-63.64,prior
wage_pica,38155855.0,37023649.0,451702298.0,426727911.0,24974387.0,28152702.0,94.13,total
wage,160520835.0,158177313.0,1900308477.0,1823147274.0,77161203.0,151609523.0,92.61,total
earnings_city,2431056.0,3373695.0,13350203.0,9860925.0,3489278.0,-2850203.0,127.14,current
earnings_city,332995.0,367794.0,4618214.0,4747483.0,-129269.0,1381786.0,76.97,prior
earnings_city,2764051.0,3741489.0,17968417.0,14608408.0,3360009.0,-1468417.0,108.9,total
earnings_pica,1294050.0,1781073.0,7106311.0,5206352.0,1899959.0,-2106311.0,142.13,current
earnings_pica,177253.0,194271.0,2458275.0,2506406.0,-48131.0,541725.0,81.94,prior
earnings_pica,1471303.0,1975344.0,9564586.0,7712758.0,1851828.0,-1564586.0,119.56,total
earnings,4235354.0,5716833.0,27533003.0,22321166.0,5211837.0,-3033003.0,112.38,total
net_profits_city,6699263.0,4987693.0,28025388.0,25050149.0,2975239.0,644612.0,97.75,current
net_profits_city,428685.0,310232.0,6846722.0,4910229.0,1936493.0,-4346722.0,273.87,prior
net_profits_city,7127948.0,5297925.0,34872110.0,29960378.0,4911732.0,-3702110.0,111.88,total
net_profits_pica,5956046.0,4697282.0,24915066.0,23613088.0,1301978.0,-249066.0,101.01,current
net_profits_pica,382161.0,292522.0,6089677.0,4624557.0,1465120.0,-2589677.0,173.99,prior
net_profits_pica,6338207.0,4989804.0,31004743.0,28237645.0,2767098.0,-2838743.0,110.08,total
net_profits,13466155.0,10287729.0,65876853.0,58198023.0,7678830.0,-6540853.0,111.02,total
wage_earnings_net_profits,178222344.0,174181875.0,1993718333.0,1903666463.0,90051870.0,142035667.0,93.35,total
wage_earnings_net_profits_pica,45965365.0,43988797.0,492271627.0,462678314.0,29593313.0,23749373.0,95.4,total
wage_earnings_net_profits_city,132256979.0,130193078.0,1501446706.0,1440988149.0,60458557.0,118286294.0,92.7,total
birt,39033506.0,40451708.0,487814388.0,407211215.0,80603173.0,,,current
birt,7146475.0,3960944.0,48450561.0,31761458.0,16689103.0,,,prior
birt,46179981.0,44412652.0,536264949.0,438972673.0,97292276.0,-111072949.0,126.12,total
sales,24218943.0,13984427.0,186718191.0,174777909.0,11940282.0,29805809.0,86.23,total
amusement,1107473.0,1440739.0,26467540.0,21702795.0,4764745.0,-4254540.0,119.15,total
tobacco,12576.0,3316.0,953261.0,986976.0,-33715.0,-170261.0,121.74,total
parking,10107907.0,8172403.0,89793454.0,85607456.0,4185998.0,9279546.0,90.63,total
valet,150694.0,152201.0,1635958.0,2452617.0,-816659.0,-35958.0,102.25,total
real_estate_transfer,28380312.0,34366760.0,299565986.0,306283615.0,-6717629.0,10932014.0,96.48,total
outdoor_ads,293256.0,281299.0,3031525.0,2657018.0,374507.0,-170525.0,105.96,total
soda,6971185.0,6221175.0,70008263.0,69917118.0,91145.0,,,current
soda,25165.0,7993.0,471352.0,425337.0,46015.0,,,prior
soda,6996350.0,6229168.0,70479615.0,70342455.0,137160.0,7558385.0,90.31,total
other_taxes,2300.0,80.0,74818.0,92528.0,-17710.0,8182.0,90.14,total
all_taxes,262948293.0,254490271.0,3408652338.0,3189880657.0,218771681.0,37025662.0,98.93,total
