name,apr_fy21,apr_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,112760650.0,14006264.0,690825556.0,654902239.0,35923318.0,-42998556.0,106.64,current
real_estate,4285465.0,1722520.0,21196015.0,27471893.0,-6275878.0,5540985.0,79.28,prior
real_estate,117046115.0,15728784.0,712021572.0,682374132.0,29647440.0,-37457572.0,105.55,total
wage_city,143346908.0,157080635.0,1258949142.0,1401428324.0,-142479181.0,231784858.0,84.45,current
wage_city,-12475706.0,1003633.0,-16496992.0,4010205.0,-20507197.0,-106103008.0,13.46,prior
wage_city,130871202.0,158084268.0,1242452150.0,1405438529.0,-162986379.0,125681850.0,90.81,total
wage_pica,46096082.0,49936387.0,402766684.0,445527855.0,-42761171.0,79115316.0,83.58,current
wage_pica,,319058.0,283186.0,1284539.0,-1001353.0,-10283186.0,-2.83,prior
wage_pica,46096082.0,50255445.0,403049870.0,446812394.0,-43762525.0,68832130.0,85.41,total
wage,176967284.0,208339713.0,1645502019.0,1852250923.0,-206748904.0,194513981.0,89.43,total
earnings_city,-559130.0,1099233.0,6618095.0,7169412.0,-551317.0,3381905.0,66.18,current
earnings_city,321368.0,218119.0,2029953.0,564762.0,1465190.0,970047.0,67.67,prior
earnings_city,-237762.0,1317352.0,8648048.0,7734174.0,913873.0,4351952.0,66.52,total
earnings_pica,3027241.0,597331.0,6989871.0,3895904.0,3093967.0,-2989871.0,174.75,current
earnings_pica,,118527.0,789514.0,306896.0,482618.0,1710486.0,31.58,prior
earnings_pica,3027241.0,715858.0,7779385.0,4202800.0,3576585.0,-1279385.0,119.68,total
earnings,2789479.0,2033211.0,16427433.0,11936975.0,4490459.0,3072567.0,84.24,total
net_profits_city,9185067.0,3467262.0,33129699.0,5769669.0,27360030.0,-13126699.0,165.62,current
net_profits_city,886748.0,255252.0,2983824.0,8802482.0,-5818658.0,1716176.0,63.49,prior
net_profits_city,10071815.0,3722515.0,36113523.0,14572151.0,21541371.0,-11410523.0,146.19,total
net_profits_pica,7802903.0,3164838.0,29305088.0,5267910.0,24037178.0,-12749088.0,177.01,current
net_profits_pica,,232989.0,1081106.0,8035216.0,-6954110.0,3918894.0,21.62,prior
net_profits_pica,7802903.0,3397827.0,30386194.0,13303126.0,17083068.0,-8830194.0,140.96,total
net_profits,17874718.0,7120342.0,66499716.0,27875277.0,38624439.0,-20240716.0,143.76,total
wage_earnings_net_profits,197631481.0,217493265.0,1728429169.0,1892063175.0,-163634006.0,177345831.0,90.69,total
wage_earnings_net_profits_pica,56926226.0,54369130.0,441215448.0,464318320.0,-23102872.0,58722552.0,88.25,total
wage_earnings_net_profits_city,140705255.0,163124135.0,1287213720.0,1427744854.0,-140531134.0,118623280.0,91.56,total
birt,187414252.0,66466929.0,603109831.0,203553925.0,399555906.0,-125314645.0,126.23,current
birt,12033347.0,2952351.0,42986393.0,30124962.0,12861432.0,-4034580.0,110.36,prior
birt,199447599.0,69419279.0,646096224.0,233678887.0,412417338.0,-129349224.0,125.03,total
sales,12732142.0,13423786.0,162997064.0,177127495.0,-14130431.0,46742936.0,77.71,total
amusement,877659.0,391195.0,1417330.0,19870658.0,-18453329.0,851670.0,62.46,total
tobacco,1462.0,1904.0,525228.0,1023711.0,-498483.0,535772.0,49.5,total
parking,5432565.0,4449664.0,37657071.0,78184337.0,-40527266.0,13263929.0,73.95,total
valet,62229.0,32612.0,311653.0,1181983.0,-870330.0,252347.0,55.26,total
real_estate_transfer,25110293.0,14446766.0,262506501.0,283317485.0,-20810984.0,36800499.0,87.7,total
outdoor_ads,220838.0,224228.0,2097150.0,2951974.0,-854825.0,109850.0,95.02,total
soda,5816221.0,6056751.0,55256965.0,62350225.0,-7093261.0,7756035.0,87.69,current
soda,19548.0,234106.0,256545.0,1353091.0,-1096547.0,,,prior
soda,5835769.0,6290857.0,55513509.0,63703316.0,-8189807.0,7499491.0,88.1,total
other_taxes,4617.0,19.0,42317.0,73273.0,-30956.0,7683.0,84.63,total
all_taxes,507476543.0,287533230.0,3168399338.0,2971232105.0,197167233.0,57880662.0,98.21,total
