name,jun_fy21,jun_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,301249.0,172042.0,3648603.0,3427245.0,221358.0,,
other_fines,947552.0,145103.0,10535481.0,12639589.0,-2104108.0,,
reimbursements,1160524.0,-3233702.0,20010746.0,24101756.0,-4091011.0,,
asset_sales,246931.0,,855883.0,1265714.0,-409832.0,,
payments_in_lieu_of_taxes,105341.0,893543.0,5068841.0,6562105.0,-1493264.0,,
cable_television,1724530.0,1752208.0,16737182.0,21221994.0,-4484812.0,,
emergency_medical_services,2467031.0,2855958.0,31765426.0,43746274.0,-11980848.0,,
commercial_trash_fee,1870689.0,537875.0,19772679.0,13376311.0,6396368.0,,
interest_earnings,-1602897.0,1318706.0,11401223.0,15747656.0,-4346433.0,,
licenses_and_inspection_fees,6089449.0,4069468.0,72546695.0,61641240.0,10905454.0,,
streets,970444.0,714237.0,10933734.0,10940184.0,-6450.0,,
health,9637579.0,9406528.0,65195881.0,70509938.0,-5314058.0,,
sheriff,4672.0,13644.0,195320.0,10133057.0,-9937738.0,,
records,1638657.0,970505.0,19722233.0,17518893.0,2203339.0,,
court_related_costs,1514645.0,2803199.0,21278906.0,23566086.0,-2287180.0,,
miscellaneous,2728434.0,2450816.0,37203541.0,26141099.0,11062442.0,,
total_local_nontax_revenue,29804832.0,24870130.0,346872371.0,362539142.0,-15666771.0,12958629.0,96.4
