name,oct_fy22,oct_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,218608.0,227691.0,1155512.0,1363173.0,-207661.0,,
other_fines,784219.0,848164.0,4011374.0,3016347.0,995027.0,,
reimbursements,1565229.0,2478078.0,15514431.0,10535780.0,4978651.0,,
asset_sales,,333716.0,1158119.0,362316.0,795803.0,,
payments_in_lieu_of_taxes,,821072.0,1179660.0,1478092.0,-298432.0,,
cable_television,,1768676.0,8082107.0,1768676.0,6313432.0,,
emergency_medical_services,2904242.0,2806131.0,10412650.0,11779753.0,-1367103.0,,
commercial_trash_fee,717190.0,401455.0,2870597.0,1835259.0,1035338.0,,
interest_earnings,58412.0,-1138764.0,367396.0,2200499.0,-1833102.0,,
licenses_and_inspection_fees,4998257.0,5968260.0,21315006.0,20493150.0,821856.0,,
streets,668468.0,413200.0,5384569.0,3787457.0,1597112.0,,
health,4735952.0,3798286.0,22186795.0,15716731.0,6470064.0,,
sheriff,,,-2920.0,183532.0,-186452.0,,
records,1142074.0,1772746.0,4909555.0,6444888.0,-1535334.0,,
court_related_costs,1646256.0,1338664.0,6805462.0,5915709.0,889753.0,,
miscellaneous,5117008.0,1635951.0,12099364.0,8737113.0,3362252.0,,
total_local_nontax_revenue,24555916.0,23473324.0,117449677.0,95618473.0,21831204.0,246941323.0,32.23
