name,mar_fy22,mar_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,341896774.0,421338180.0,502471511.0,578064906.0,-75593395.0,195458489.0,71.99,current
real_estate,3741867.0,3185685.0,20411763.0,16910550.0,3501213.0,8327237.0,71.02,prior
real_estate,345638641.0,424523865.0,522883274.0,594975456.0,-72092182.0,203785726.0,71.96,total
wage_city,153879275.0,129554611.0,1234702576.0,1115602234.0,119100342.0,285610424.0,81.21,current
wage_city,7238886.0,-4909069.0,-32539540.0,-4021286.0,-28518254.0,537973540.0,-6.44,prior
wage_city,161118161.0,124645542.0,1202163036.0,1111580948.0,90582088.0,823583964.0,59.34,total
wage_pica,55830616.0,42140514.0,404209668.0,356670602.0,47539066.0,-400809668.0,11888.52,current
wage_pica,-9527603.0,,-10734317.0,283186.0,-11017503.0,12734317.0,-536.72,prior
wage_pica,46303013.0,42140514.0,393475351.0,356953788.0,36521563.0,-388075351.0,7286.58,total
wage,207421174.0,166786056.0,1595638387.0,1468534736.0,127103651.0,435508613.0,78.56,total
earnings_city,509371.0,371176.0,3165351.0,7177225.0,-4011874.0,9834649.0,24.35,current
earnings_city,136741.0,263801.0,1857662.0,1708585.0,149077.0,5142338.0,26.54,prior
earnings_city,646112.0,634977.0,5023013.0,8885810.0,-3862797.0,14976987.0,25.12,total
earnings_pica,289605.0,243408.0,1755007.0,3962631.0,-2207624.0,244993.0,87.75,current
earnings_pica,82393.0,,1023769.0,789514.0,234255.0,976231.0,51.19,prior
earnings_pica,371998.0,243408.0,2778776.0,4752145.0,-1973369.0,1221224.0,69.47,total
earnings,1018110.0,878385.0,7801789.0,13637955.0,-5836166.0,16198211.0,32.51,total
net_profits_city,1790882.0,1142762.0,3363089.0,23944632.0,-20581543.0,26507911.0,11.26,current
net_profits_city,179941.0,886247.0,4727735.0,2097076.0,2630659.0,-27735.0,100.59,prior
net_profits_city,1970823.0,2029009.0,8090824.0,26041708.0,-17950884.0,26480176.0,23.4,total
net_profits_pica,1631906.0,1143218.0,3566141.0,21502185.0,-17936044.0,21928859.0,13.99,current
net_profits_pica,215454.0,,4278590.0,1081106.0,3197484.0,721410.0,85.57,prior
net_profits_pica,1847360.0,1143218.0,7844731.0,22583291.0,-14738560.0,22650269.0,25.72,total
net_profits,3818183.0,3172227.0,15935555.0,48624999.0,-32689444.0,49130445.0,24.49,total
wage_earnings_net_profits,212257467.0,170836668.0,1619375731.0,1530797690.0,88578041.0,500837269.0,76.38,total
wage_earnings_net_profits_pica,48522372.0,43527139.0,404098857.0,384289220.0,19809637.0,123823143.0,76.55,total
wage_earnings_net_profits_city,163735095.0,127309529.0,1215276874.0,1146508470.0,68768404.0,377014126.0,76.32,total
birt,45228871.0,38486847.0,226130724.0,415695579.0,-189564855.0,319111276.0,,current
birt,2124734.0,6452738.0,15935259.0,30953046.0,-15017787.0,-15935259.0,,prior
birt,47353605.0,44939585.0,242065983.0,446648625.0,-204582642.0,303176017.0,44.4,total
sales,15276233.0,13237604.0,178985869.0,150264921.0,28720948.0,89453131.0,66.68,total
amusement,1684627.0,28491.0,18221931.0,539671.0,17682260.0,3606069.0,83.48,total
tobacco,6444.0,51703.0,465377.0,523766.0,-58389.0,317623.0,59.44,total
parking,6645979.0,3918949.0,59921980.0,32224506.0,27697474.0,26762020.0,69.13,total
valet,105197.0,50886.0,1237606.0,249424.0,988182.0,362394.0,77.35,total
real_estate_transfer,72872690.0,20903822.0,367985242.0,237396208.0,130589034.0,-54998242.0,117.57,total
outdoor_ads,228524.0,207641.0,2509987.0,1876312.0,633675.0,475013.0,84.09,total
soda,5223700.0,4900195.0,57442916.0,49440743.0,8002173.0,19489084.0,,current
soda,17203.0,54630.0,601475.0,236997.0,364478.0,,,prior
soda,5240903.0,4954825.0,58044391.0,49677740.0,8366651.0,18887609.0,75.45,total
construction,22317.0,,31068.0,,31068.0,7418932.0,0.42,impact
other_taxes,-83550.0,,349119.0,37700.0,311419.0,-289119.0,581.87,total
all_taxes,658726705.0,640126900.0,2667978701.0,2660922799.0,7055902.0,975971299.0,73.22,total
