name,jul_fy23,jul_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,8662437.0,5280943.0,8662437.0,5280943.0,3381494.0,776579563.0,1.1,current
real_estate,2932563.0,1917365.0,2932563.0,1917365.0,1015198.0,25231437.0,10.41,prior
real_estate,11595000.0,7198308.0,11595000.0,7198308.0,4396692.0,801811000.0,1.43,total
wage_city,128188886.0,112524049.0,128188886.0,112524049.0,15664837.0,1479622114.0,7.97,current
wage_city,-4588513.0,-20418893.0,-4588513.0,-20418893.0,15830380.0,7488513.0,-158.22,prior
wage_city,123600373.0,92105156.0,123600373.0,92105156.0,31495217.0,1487110627.0,7.67,total
wage_pica,45026477.0,36098031.0,45026477.0,36098031.0,8928446.0,498556523.0,8.28,current
wage_pica,-1518243.0,,-1518243.0,,-1518243.0,2518243.0,-151.82,prior
wage_pica,43508234.0,36098031.0,43508234.0,36098031.0,7410203.0,501074766.0,7.99,total
wage,167108607.0,128203187.0,167108607.0,128203187.0,38905420.0,1988185393.0,7.75,total
earnings_city,417106.0,276995.0,417106.0,276995.0,140111.0,11582894.0,3.48,current
earnings_city,291668.0,356443.0,291668.0,356443.0,-64775.0,2208332.0,11.67,prior
earnings_city,708774.0,633438.0,708774.0,633438.0,75336.0,13791226.0,4.89,total
earnings_pica,242036.0,153396.0,242036.0,153396.0,88640.0,5757964.0,4.03,current
earnings_pica,161091.0,194925.0,161091.0,194925.0,-33834.0,1338909.0,10.74,prior
earnings_pica,403127.0,348321.0,403127.0,348321.0,54806.0,7096873.0,5.38,total
earnings,1111901.0,981759.0,1111901.0,981759.0,130142.0,20888099.0,5.05,total
net_profits_city,934858.0,170094.0,934858.0,170094.0,764764.0,30791142.0,2.95,current
net_profits_city,255432.0,653330.0,255432.0,653330.0,-397898.0,4444568.0,5.43,prior
net_profits_city,1190290.0,823424.0,1190290.0,823424.0,366866.0,35235710.0,3.27,total
net_profits_pica,892264.0,161204.0,892264.0,161204.0,731060.0,25922736.0,3.33,current
net_profits_pica,231661.0,583596.0,231661.0,583596.0,-351935.0,4768339.0,4.63,prior
net_profits_pica,1123925.0,744800.0,1123925.0,744800.0,379125.0,30691075.0,3.53,total
net_profits,2314215.0,1568224.0,2314215.0,1568224.0,745991.0,65926785.0,3.39,total
wage_earnings_net_profits,170534723.0,130753170.0,170534723.0,130753170.0,39781553.0,2075000277.0,7.59,total
wage_earnings_net_profits_pica,45035286.0,37191152.0,45035286.0,37191152.0,7844134.0,538862714.0,7.71,total
wage_earnings_net_profits_city,125499437.0,93562018.0,125499437.0,93562018.0,31937419.0,1536137563.0,7.55,total
birt,10533206.0,8076815.0,10533206.0,8076815.0,2456391.0,,,current
birt,1622989.0,1653857.0,1622989.0,1653857.0,-30868.0,,,prior
birt,12156195.0,9730672.0,12156195.0,9730672.0,2425523.0,619373805.0,1.92,total
sales,35857694.0,31455553.0,35857694.0,31455553.0,4402141.0,241784306.0,12.92,total
amusement,2788390.0,976200.0,2788390.0,976200.0,1812190.0,19912610.0,12.28,total
tobacco,13109.0,5619.0,13109.0,5619.0,7490.0,1161891.0,1.12,total
parking,8186599.0,6594577.0,8186599.0,6594577.0,1592022.0,83153401.0,8.96,total
valet,155937.0,120312.0,155937.0,120312.0,35625.0,1644063.0,8.66,total
real_estate_transfer,51540381.0,14171981.0,51540381.0,14171981.0,37368400.0,366766619.0,12.32,total
outdoor_ads,243563.0,270980.0,243563.0,270980.0,-27417.0,2917437.0,7.71,total
soda,6109328.0,7046885.0,6109328.0,7046885.0,-937557.0,,,current
soda,141268.0,9636.0,141268.0,9636.0,131632.0,,,prior
soda,6250596.0,7056521.0,6250596.0,7056521.0,-805925.0,71643404.0,8.02,total
construction,,,,,,15000000.0,0.0,impact
other_taxes,639816.0,,639816.0,,639816.0,-579816.0,1066.36,total
all_taxes,254926717.0,171142741.0,254926717.0,171142741.0,83783976.0,3760726283.0,6.35,total
