name,sep_fy23,sep_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3555038.0,3632648.0,18724257.0,13811949.0,4912307.0,766517743.0,2.38,current
real_estate,1687522.0,1633625.0,8720139.0,6163251.0,2556888.0,19443861.0,30.96,prior
real_estate,5242559.0,5266274.0,27444396.0,19975201.0,7469195.0,785961604.0,3.37,total
wage_city,104199063.0,121900261.0,399401897.0,376840267.0,22561631.0,1208409103.0,24.84,current
wage_city,,-3702162.0,-14766931.0,-35992396.0,21225466.0,17666931.0,-509.2,prior
wage_city,104199063.0,118198099.0,384634967.0,340847870.0,43787097.0,1226076033.0,23.88,total
wage_pica,37229546.0,39650676.0,141568292.0,121386837.0,20181454.0,402014708.0,26.04,current
wage_pica,,,-4886067.0,,-4886067.0,5886067.0,-488.61,prior
wage_pica,37229546.0,39650676.0,136682224.0,121386837.0,15295387.0,407900776.0,25.1,total
wage,141428609.0,157848775.0,521317191.0,462234708.0,59082483.0,1633976809.0,24.19,total
earnings_city,455264.0,89814.0,1379285.0,591856.0,787430.0,10620715.0,11.49,current
earnings_city,,345824.0,561450.0,1090035.0,-528585.0,1938550.0,22.46,prior
earnings_city,455264.0,435639.0,1940735.0,1681891.0,258844.0,12559265.0,13.38,total
earnings_pica,265564.0,49080.0,789007.0,325881.0,463126.0,5210993.0,13.15,current
earnings_pica,,188979.0,310093.0,596622.0,-286530.0,1189907.0,20.67,prior
earnings_pica,265564.0,238058.0,1099099.0,922503.0,176596.0,6400901.0,14.65,total
earnings,720828.0,673697.0,3039835.0,2604394.0,435441.0,18960165.0,13.82,total
net_profits_city,3191515.0,510494.0,5862346.0,788950.0,5073396.0,25863654.0,18.48,current
net_profits_city,,1504118.0,582959.0,2925620.0,-2342660.0,4117041.0,12.4,prior
net_profits_city,3191515.0,2014611.0,6445305.0,3714570.0,2730735.0,29980695.0,17.69,total
net_profits_pica,3042424.0,455802.0,5545390.0,727816.0,4817573.0,21269610.0,20.68,current
net_profits_pica,,1342972.0,528710.0,2614318.0,-2085609.0,4471290.0,10.57,prior
net_profits_pica,3042424.0,1798774.0,6074100.0,3342135.0,2731965.0,25740900.0,19.09,total
net_profits,6233939.0,3813386.0,12519405.0,7056705.0,5462700.0,55721595.0,18.35,total
wage_earnings_net_profits,148383375.0,162335857.0,536876430.0,471895806.0,64980624.0,1708658570.0,23.91,total
wage_earnings_net_profits_pica,40537534.0,41687508.0,143855423.0,125651475.0,18203948.0,440042577.0,24.64,total
wage_earnings_net_profits_city,107845841.0,120648349.0,393021007.0,346244331.0,46776676.0,1268615993.0,23.65,total
birt,36245313.0,29122822.0,55474600.0,42391200.0,13083400.0,,,current
birt,,2853329.0,2723495.0,7186522.0,-4463027.0,,,prior
birt,36245313.0,31976151.0,58198095.0,49577722.0,8620374.0,573331905.0,9.22,total
sales,14923648.0,16317889.0,85750558.0,82259835.0,3490723.0,191891442.0,30.89,total
amusement,2178155.0,2230208.0,12005741.0,8635538.0,3370203.0,10695259.0,52.89,total
tobacco,2836.0,228.0,50414.0,6093.0,44321.0,1124586.0,4.29,total
parking,7919425.0,6893701.0,23729405.0,20006440.0,3722966.0,67610595.0,25.98,total
valet,116199.0,153598.0,478817.0,433591.0,45227.0,1321183.0,26.6,total
real_estate_transfer,48668705.0,23237147.0,153353969.0,62633487.0,90720481.0,264953031.0,36.66,total
outdoor_ads,360049.0,321778.0,877666.0,804351.0,73315.0,2283334.0,27.77,total
soda,6263125.0,6581354.0,17188856.0,20447083.0,-3258228.0,,,current
soda,,1853.0,164036.0,15704.0,148332.0,,,prior
soda,6263125.0,6583207.0,17352892.0,20462788.0,-3109896.0,60541108.0,22.28,total
construction,551834.0,,551834.0,,551834.0,14448166.0,3.68,impact
other_taxes,-50084.0,15900.0,128830.0,15900.0,112930.0,-68830.0,214.72,total
all_taxes,230267605.0,213644430.0,772943625.0,611055275.0,161888349.0,3242709375.0,19.25,total
