name,jan_fy23,jan_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,73494661.0,40244586.0,103737502.0,93567521.0,10169981.0,681504498.0,13.21,current
real_estate,-21278022.0,2770046.0,17673610.0,13784347.0,3889263.0,10490390.0,62.75,prior
real_estate,52216639.0,43014632.0,121411112.0,107351868.0,14059244.0,691994888.0,14.93,total
wage_city,183363203.0,178493154.0,1046749722.0,955532922.0,91216800.0,561061278.0,65.1,current
wage_city,-1157512.0,-1037106.0,-31415407.0,-36247868.0,4832461.0,34315407.0,,prior
wage_city,182205691.0,177456048.0,1015334315.0,919285054.0,96049261.0,595376685.0,63.04,total
wage_pica,61918017.0,57966911.0,362542172.0,307551634.0,54990538.0,181040828.0,66.69,current
wage_pica,-382997.0,-330477.0,-10394699.0,-80867.0,-10313832.0,11394699.0,-1039.47,prior
wage_pica,61535020.0,57636434.0,352147473.0,307470767.0,44676706.0,192435527.0,64.66,total
wage,243740711.0,235092482.0,1367481788.0,1226755821.0,140725967.0,787812212.0,63.45,total
earnings_city,502876.0,504612.0,2686409.0,1961255.0,725154.0,9313591.0,22.39,current
earnings_city,310765.0,80452.0,1603466.0,1620771.0,-17305.0,896534.0,64.14,prior
earnings_city,813641.0,585064.0,4289875.0,3582026.0,707849.0,10210125.0,29.59,total
earnings_pica,286780.0,252881.0,1555259.0,1082733.0,472526.0,4444741.0,25.92,current
earnings_pica,171637.0,43964.0,885605.0,886648.0,-1043.0,614395.0,59.04,prior
earnings_pica,458417.0,296845.0,2440864.0,1969381.0,471483.0,5059136.0,32.54,total
earnings,1272058.0,881909.0,6730739.0,5551407.0,1179332.0,15269261.0,30.59,total
net_profits_city,1519525.0,457250.0,11136456.0,1416675.0,9719781.0,20589544.0,35.1,current
net_profits_city,314531.0,221598.0,1773091.0,4376952.0,-2603861.0,2926909.0,37.73,prior
net_profits_city,1834056.0,678848.0,12909547.0,5793627.0,7115920.0,23516453.0,35.44,total
net_profits_pica,229642.0,294066.0,10581165.0,1701728.0,8879437.0,16233835.0,39.46,current
net_profits_pica,285261.0,198294.0,1608090.0,3910598.0,-2302508.0,3391910.0,32.16,prior
net_profits_pica,514903.0,492360.0,12189255.0,5612326.0,6576929.0,19625745.0,38.31,total
net_profits,2348959.0,1171208.0,25098802.0,11405953.0,13692849.0,43142198.0,36.78,total
wage_earnings_net_profits,247361728.0,237145599.0,1399311329.0,1243713181.0,155598148.0,846223671.0,62.32,total
wage_earnings_net_profits_pica,62508340.0,58425639.0,366777592.0,315052474.0,51725118.0,217120408.0,62.82,total
wage_earnings_net_profits_city,184853388.0,178719960.0,1032533737.0,928660707.0,103873030.0,629103263.0,62.14,total
birt,9785749.0,24533238.0,148165408.0,170900632.0,-22735224.0,,,current
birt,3999434.0,2469419.0,13962627.0,10543535.0,3419092.0,,,prior
birt,13785183.0,27002657.0,162128035.0,181444167.0,-19316132.0,469401965.0,25.67,total
sales,16053165.0,14739309.0,152038139.0,145263781.0,6774358.0,125603861.0,54.76,total
amusement,1776688.0,1884346.0,22448202.0,15364692.0,7083510.0,252798.0,98.89,total
tobacco,306660.0,69839.0,393742.0,84045.0,309697.0,781258.0,33.51,total
parking,8600175.0,6940800.0,56305820.0,47867663.0,8438157.0,35034180.0,61.64,total
valet,127418.0,121340.0,1139026.0,964341.0,174685.0,660974.0,63.28,total
real_estate_transfer,22805365.0,58258587.0,269082404.0,231134617.0,37947787.0,149224596.0,64.33,total
outdoor_ads,303580.0,213495.0,2141055.0,1988339.0,152716.0,1019945.0,67.73,total
soda,7770437.0,6237707.0,43254719.0,46588081.0,-3333362.0,,,current
soda,11287.0,15457.0,539432.0,175462.0,363970.0,,,prior
soda,7781724.0,6253164.0,43794151.0,46763543.0,-2969392.0,34099849.0,56.22,total
construction,227394.0,,1824945.0,,1824945.0,13175055.0,12.17,impact
other_taxes,1440448.0,3330136.0,2985442.0,4648277.0,-1662835.0,-2925442.0,4975.74,total
all_taxes,310277827.0,340548265.0,1868225810.0,1711536040.0,156689770.0,2147427190.0,46.52,total
