name,feb_fy23,feb_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,71486214.0,67007217.0,175223716.0,160574738.0,14648978.0,610018284.0,22.31,current
real_estate,-4956136.0,2885549.0,12717473.0,16669896.0,-3952423.0,15446527.0,45.16,prior
real_estate,66530077.0,69892766.0,187941189.0,177244634.0,10696555.0,625464811.0,23.11,total
wage_city,118373486.0,125290379.0,1165123208.0,1080823301.0,84299907.0,442687792.0,72.47,current
wage_city,-1812905.0,-3530558.0,-33228312.0,-39778426.0,6550115.0,36128312.0,,prior
wage_city,116560581.0,121759821.0,1131894896.0,1041044875.0,90850022.0,478816104.0,70.27,total
wage_pica,42557670.0,40827418.0,405099842.0,348379052.0,56720790.0,138483158.0,74.52,current
wage_pica,-1152393.0,-1125847.0,-11547092.0,-1206714.0,-10340378.0,12547092.0,-1154.71,prior
wage_pica,41405277.0,39701572.0,393552750.0,347172338.0,46380412.0,151030250.0,72.27,total
wage,157965858.0,161461393.0,1525447646.0,1388217213.0,137230433.0,629846354.0,70.78,total
earnings_city,604044.0,694726.0,3290453.0,2655981.0,634472.0,8709547.0,27.42,current
earnings_city,179807.0,100150.0,1783272.0,1720921.0,62351.0,716728.0,71.33,prior
earnings_city,783850.0,794876.0,5073725.0,4376902.0,696823.0,9426275.0,34.99,total
earnings_pica,272621.0,382669.0,1827880.0,1465402.0,362478.0,4172120.0,30.46,current
earnings_pica,105134.0,54728.0,990740.0,941376.0,49364.0,509260.0,66.05,prior
earnings_pica,377755.0,437397.0,2818620.0,2406778.0,411842.0,4681380.0,37.58,total
earnings,1161606.0,1232273.0,7892345.0,6783680.0,1108665.0,14107655.0,35.87,total
net_profits_city,725988.0,155532.0,11862445.0,1572207.0,10290238.0,19863556.0,37.39,current
net_profits_city,1056843.0,170842.0,2829934.0,4547794.0,-1717860.0,1870066.0,60.21,prior
net_profits_city,1782831.0,326373.0,14692378.0,6120001.0,8572378.0,21733622.0,40.33,total
net_profits_pica,-143620.0,232506.0,10437545.0,1934234.0,8503311.0,16377455.0,38.92,current
net_profits_pica,881400.0,152538.0,2489490.0,4063136.0,-1573646.0,2510510.0,49.79,prior
net_profits_pica,737780.0,385044.0,12927035.0,5997370.0,6929665.0,18887965.0,40.63,total
net_profits,2520611.0,711417.0,27619413.0,12117371.0,15502043.0,40621587.0,40.47,total
wage_earnings_net_profits,161648074.0,163405083.0,1560959405.0,1407118263.0,153841141.0,684575595.0,69.51,total
wage_earnings_net_profits_pica,42520812.0,40524013.0,409298405.0,355576486.0,53721919.0,174599595.0,70.1,total
wage_earnings_net_profits_city,119127262.0,122881070.0,1151661000.0,1051541777.0,100119222.0,509976000.0,69.31,total
birt,13474910.0,10001222.0,161640318.0,180901854.0,-19261536.0,,,current
birt,2136177.0,3266990.0,16098804.0,13810525.0,2288279.0,,,prior
birt,15611087.0,13268212.0,177739122.0,194712378.0,-16973257.0,453790878.0,28.14,total
sales,19735344.0,18445855.0,171773483.0,163709636.0,8063848.0,105868517.0,61.87,total
amusement,2956686.0,1172613.0,25404887.0,16537304.0,8867583.0,-2703887.0,111.91,total
tobacco,166340.0,374888.0,560082.0,458933.0,101149.0,614918.0,47.67,total
parking,9070081.0,5408338.0,65375901.0,53276001.0,12099900.0,25964099.0,71.57,total
valet,184296.0,168068.0,1323321.0,1132409.0,190913.0,476679.0,73.52,total
real_estate_transfer,19275989.0,63977935.0,288358394.0,295112553.0,-6754159.0,129948606.0,68.93,total
outdoor_ads,269394.0,293125.0,2410448.0,2281463.0,128985.0,750552.0,76.26,total
soda,5348679.0,5631136.0,48603397.0,52219216.0,-3615819.0,,,current
soda,15558.0,408810.0,554990.0,584272.0,-29282.0,,,prior
soda,5364237.0,6039946.0,49158387.0,52803488.0,-3645101.0,28735613.0,63.11,total
construction,184440.0,8752.0,2009385.0,8752.0,2000633.0,12990615.0,13.4,impact
other_taxes,-1018350.0,-4215608.0,1967093.0,432669.0,1534423.0,-1907093.0,3278.49,total
all_taxes,257456882.0,297715958.0,2125682693.0,2009251997.0,116430696.0,1889970307.0,52.93,total
