name,apr_fy23,apr_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,,75.0,7775015.0,24363418.0,-16588403.0,,
traffic_fines,188261.0,281342.0,1881184.0,2466255.0,-585071.0,,
other_fines,722502.0,852936.0,7981687.0,8757775.0,-776088.0,,
reimbursements,3134515.0,1286984.0,35943236.0,24466715.0,11476521.0,,
asset_sales,,,1159214.0,1566834.0,-407620.0,,
payments_in_lieu_of_taxes,1669032.0,2440378.0,4397364.0,4346995.0,50369.0,,
cable_television,,,13413671.0,14894501.0,-1480830.0,,
emergency_medical_services,1599000.0,4100128.0,31241055.0,25566341.0,5674715.0,,
commercial_trash_fee,1050252.0,789324.0,18496684.0,18160555.0,336129.0,,
interest_earnings,7923329.0,-956771.0,59693974.0,1763445.0,57930529.0,,
licenses_and_inspection_fees,6649743.0,6683848.0,62164797.0,69835463.0,-7670666.0,,
streets,724505.0,972554.0,10469894.0,10574015.0,-104122.0,,
health,3443641.0,7668867.0,39073744.0,59324266.0,-20250522.0,,
sheriff,,,-7506.0,69418.0,-76924.0,,
records,1083680.0,2622431.0,13564646.0,20274183.0,-6709537.0,,
court_related_costs,1986039.0,1763988.0,19154721.0,18724653.0,430068.0,,
miscellaneous,1797594.0,3279816.0,28347906.0,16676480.0,11671427.0,,
total_local_nontax_revenue,31972092.0,31785898.0,354751285.0,321831311.0,32919974.0,18013715.0,95.17
