name,jun_fy23,jun_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,8673168.0,-17860235.0,779095625.0,665763442.0,113332183.0,6146375.0,99.22,current
real_estate,2182740.0,-170434.0,33937201.0,27379691.0,6557510.0,-5773201.0,120.5,prior
real_estate,10855908.0,-18030669.0,813032826.0,693143133.0,119889693.0,373174.0,99.95,total
wage_city,139293591.0,122540591.0,1754674303.0,1633813449.0,120860854.0,-146863303.0,109.13,current
wage_city,45235.0,293762.0,-32012930.0,-31600317.0,-412613.0,34912930.0,,prior
wage_city,139338826.0,122834353.0,1722661373.0,1602213132.0,120448241.0,-111950373.0,106.95,total
wage_pica,50080386.0,45670138.0,618398662.0,555600336.0,62798326.0,-74815662.0,113.76,current
wage_pica,15720.0,104111.0,-11124738.0,-10416637.0,-708101.0,12124738.0,-1112.47,prior
wage_pica,50096105.0,45774249.0,607273924.0,545183699.0,62090225.0,-62690924.0,111.51,total
wage,189434931.0,168608602.0,2329935298.0,2147396831.0,182538467.0,-174641298.0,108.1,total
earnings_city,497019.0,593812.0,11519480.0,10427922.0,1091558.0,480520.0,96.0,current
earnings_city,221168.0,112310.0,2762718.0,2291641.0,471077.0,-262718.0,110.51,prior
earnings_city,718187.0,706122.0,14282198.0,12719563.0,1562635.0,217802.0,98.5,total
earnings_pica,289617.0,293803.0,6452481.0,5756230.0,696251.0,-452481.0,107.54,current
earnings_pica,122875.0,100976.0,1534894.0,1302405.0,232489.0,-34894.0,102.33,prior
earnings_pica,412492.0,394779.0,7987375.0,7058635.0,928740.0,-487375.0,106.5,total
earnings,1130679.0,1100901.0,22269572.0,19778198.0,2491374.0,-269572.0,101.23,total
net_profits_city,3851091.0,-7798400.0,46475271.0,20016265.0,26459006.0,-14749271.0,146.49,current
net_profits_city,629310.0,80308.0,5191193.0,5323258.0,-132065.0,-491193.0,110.45,prior
net_profits_city,4480401.0,-7718092.0,51666464.0,25339523.0,26326941.0,-15240464.0,141.84,total
net_profits_pica,3571442.0,2454648.0,41499310.0,28454655.0,13044655.0,-14684310.0,154.76,current
net_profits_pica,553604.0,136705.0,4566688.0,4882564.0,-315876.0,433312.0,91.33,prior
net_profits_pica,4125046.0,2591353.0,46065998.0,33337219.0,12728779.0,-14250998.0,144.79,total
net_profits,8605447.0,-5126739.0,97732462.0,58676742.0,39055720.0,-29491462.0,143.22,total
wage_earnings_net_profits,199171057.0,164582764.0,2449937332.0,2225851771.0,224085561.0,-204402332.0,109.1,total
wage_earnings_net_profits_pica,54633643.0,48760381.0,661327298.0,585579553.0,75747745.0,-77429298.0,113.26,total
wage_earnings_net_profits_city,144537414.0,115822383.0,1788610035.0,1640272218.0,148337817.0,-126973035.0,107.64,total
birt,28349631.0,57875513.0,683868638.0,723605711.0,-39737073.0,,,current
birt,1731031.0,1325918.0,22875367.0,22689804.0,185563.0,,,prior
birt,30080662.0,59201431.0,706744005.0,746295515.0,-39551510.0,-75214005.0,111.91,total
sales,45089651.0,32883999.0,301647003.0,272804879.0,28842124.0,-24005003.0,108.65,total
amusement,4542025.0,1485742.0,35752444.0,24073144.0,11679300.0,-13051444.0,157.49,total
tobacco,11412.0,33137.0,613157.0,710611.0,-97454.0,561843.0,52.18,total
parking,9099231.0,7337398.0,100459458.0,82827834.0,17631624.0,-9119458.0,109.98,total
valet,182180.0,139712.0,1986725.0,1683865.0,302860.0,-186725.0,110.37,total
real_estate_transfer,30492429.0,36970473.0,385160211.0,530788622.0,-145628411.0,33146789.0,92.08,total
outdoor_ads,301928.0,293224.0,3419652.0,3309434.0,110218.0,-258652.0,108.18,total
soda,6008600.0,7207019.0,71909081.0,76015654.0,-4106573.0,,,current
soda,11385.0,126621.0,609032.0,1137309.0,-528277.0,,,prior
soda,6019985.0,7333640.0,72518113.0,77152963.0,-4634850.0,5375887.0,93.1,total
construction,202033.0,167867.0,3112540.0,594670.0,2517870.0,11887460.0,20.75,impact
other_taxes,-303681.0,-1356524.0,6905115.0,268363.0,6636752.0,-6845115.0,11508.52,total
all_taxes,281111177.0,242281813.0,4219961285.0,4073925251.0,146036034.0,-204308285.0,105.09,total
