name,apr_fy21,apr_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,137108526,17030570,839992133,796268618,43723515,-52282133,107,current
real_estate,5247231,2113810,26066762,33892018,-7825255,9627778,73,prior
real_estate,142355756,19144381,866058895,830160635,35898260,-42654355,105,total
school_income,8980054,19684048,27791949,26907366,884582,19157799,59,current
school_income,359106,129445,1440768,1417359,23409,15208,99,prior
school_income,9339160,19813494,29232717,28324726,907991,19173007,60,total
use_and_occupancy,15628507,10642729,143565510,150687569,-7122060,754001,99,current
use_and_occupancy,1026358,332729,7893780,6996153,897627,-2061505,135,prior
use_and_occupancy,16654865,10975458,151459290,157683722,-6224433,-1307504,101,total
liquor,3100899,2277239,21402529,57909682,-36507153,14924314,59,current
liquor,487751,320470,3008652,4932771,-1924119,2211371,58,prior
liquor,3588649,2597709,24411181,62842454,-38431272,17135685,59,total
other_nontax,193549,548700,3700309,2382051,1318258,1928367,66,total
total_revenue,172131980,53079741,1074862392,1081393588,-6531196,-5724800,101,total
