name,dec_fy22,dec_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,41187694.0,28620538,64704260,67386032,-2681772,782000740,8,current
real_estate,2629723.0,1889426,13555886,14047982,-492096,22138654,38,prior
real_estate,43817417.0,30509964,78260146,81434014,-3173868,804139394,9,total
school_income,297092.0,123767,4883698,17473088,-12589390,43005045,10,current
school_income,34128.0,40159,471031,349827,121204,984945,32,prior
school_income,331220.0,163926,5354729,17822915,-12468186,43989990,11,total
use_and_occupancy,14538919.0,14694075,83894311,82281314,1612997,84124592,50,current
use_and_occupancy,703570.0,594087,3427434,2148808,1278626,4910011,41,prior
use_and_occupancy,15242489.0,15288162,87321745,84430122,2891623,89034603,50,total
liquor,7706203.0,2094514,34373769,13350916,21022853,23638543,59,current
liquor,-42373.0,112838,1468236,1438117,30119,2145385,41,prior
liquor,7663830.0,2207352,35842005,14789033,21052972,25783928,58,total
other_nontax,,45772,1320951,467819,853132,3954186,25,total
total_revenue,67054956.0,48215176,208099576,198943903,9155673,966902101,18,total
