name,jan_fy22,jan_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,48991754,49213499,113696013,116599531,-2903518,733215987,13,current
real_estate,3425736,1604492,16981621,15652474,1329147,17909379,49,prior
real_estate,52417490,50817991,130677634,132252005,-1574371,751125366,15,total
school_income,583372,139495,5467071,17612583,-12145513,42421672,11,current
school_income,324878,297104,795910,646931,148978,660066,55,prior
school_income,908250,436599,6262980,18259515,-11996534,43081739,13,total
use_and_occupancy,18377064,16842574,102271375,99123887,3147488,65747528,61,current
use_and_occupancy,2279077,2552956,5706511,4701765,1004746,4293489,57,prior
use_and_occupancy,20656141,19395530,107977886,103825652,4152234,70041017,61,total
liquor,5901374,1429679,40275143,14780595,25494548,25989082,61,current
liquor,164517,444623,1632754,1882740,-249986,1980867,45,prior
liquor,6065891,1874302,41907897,16663335,25244562,27969949,60,total
other_nontax,4619,2000,1325571,469820,855751,3949566,25,total
total_revenue,80052392,72526422,288151968,271470326,16681642,896167637,24,total
