name,feb_fy22,feb_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,81455193.0,73968468,195151206,190567998,4583208,651760794,23,current
real_estate,3530014.0,1259058,20511635,16911532,3600103,14379365,59,prior
real_estate,84985207.0,75227526,215662841,207479530,8183311,666140159,24,total
school_income,65432.0,162116,5532503,17774699,-12242196,42356240,12,current
school_income,207526.0,149239,1003435,796170,207265,452541,69,prior
school_income,272958.0,311355,6535938,18570869,-12034931,42808781,13,total
use_and_occupancy,12824863.0,9744307,115096238,108868194,6228044,52922665,69,current
use_and_occupancy,918313.0,1098756,6624824,5800521,824303,3375176,66,prior
use_and_occupancy,13743176.0,10843063,121721062,114668715,7052347,56297841,68,total
liquor,4298709.0,1420072,44573852,16200667,28373185,21690373,67,current
liquor,168873.0,272504,1801627,2155244,-353617,1811994,50,prior
liquor,4467582.0,1692576,46375479,18355911,28019568,23502367,66,total
other_nontax,,23933,1325570,493753,831817,3949567,25,total
total_revenue,103468923.0,88098453,391620890,359568778,32052112,792698715,33,total
