name,may_fy22,may_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,8798475,16269245,831102063,856261378,-25159315,15809937,98,current
real_estate,3310100,3904718,33826265,29971481,3854784,1064735,97,prior
real_estate,12108575,20173963,864928328,886232859,-21304531,16874672,98,total
school_income,31703226,32073999,57300315,59865948,-2565633,-9411572,120,current
school_income,70742,434435,1360908,1875203,-514295,95068,93,prior
school_income,31773968,32508434,58661223,61741151,-3079928,-9316504,119,total
use_and_occupancy,14229522,13502466,159797424,157067975,2729449,8221479,95,current
use_and_occupancy,1576569,743098,9758920,8636878,1122042,241080,98,prior
use_and_occupancy,15806091,14245564,169556344,165704853,3851491,8462559,95,total
liquor,6518940,3455830,63231152,24858359,38372793,3033073,95,current
liquor,399563,430301,2449519,3438952,-989433,1164102,68,prior
liquor,6918503,3886131,65680671,28297311,37383360,4197175,94,total
other_nontax,95217,39669,7119108,3739977,3379131,-1843971,135,total
total_revenue,66702354,70853761,1165945674,1145716151,20229523,18373931,98,total
