name,aug_fy23,aug_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,7978887.0,5956052.0,18435549,12377284,6058265,965459451,2,current
real_estate,5017702.0,3215958.0,8605843,5569880,3035964,25587157,25,prior
real_estate,12996589.0,9172010.0,27041392,17947164,9094228,991046608,3,total
school_income,1110851.0,684657.0,1374061,1249221,124840,45694046,3,current
school_income,171832.0,161418.0,270489,242188,28301,1185487,19,prior
school_income,1282683.0,846075.0,1644550,1491409,153141,46879533,3,total
use_and_occupancy,14566057.0,13782041.0,28725213,28052388,672826,150353789,16,current
use_and_occupancy,760952.0,752656.0,1106245,1522217,-415973,7231200,13,prior
use_and_occupancy,15327009.0,14534697.0,29831458,29574605,256853,157584989,16,total
liquor,7568229.0,5802522.0,14717342,11208118,3509224,54860094,21,current
liquor,125185.0,210578.0,268358,501309,-232951,2530642,10,prior
liquor,7693414.0,6013100.0,14985700,11709427,3276273,57390736,21,total
other_nontax,,,1213559,1320951,-107392,3982863,23,total
total_revenue,37299695.0,30565882.0,74716659,62043557,12673102,1256884729,6,total
