name,sep_fy23,sep_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4338802.0,4417029.0,22774351,16794313,5980038,961120649,2,current
real_estate,2068468.0,2008308.0,10674311,7578188,3096123,23518689,31,prior
real_estate,6407270.0,6425337.0,33448662,24372501,9076161,984639338,3,total
school_income,471298.0,860976.0,1845359,2110197,-264838,45222748,4,current
school_income,,71990.0,270489,314178,-43689,1185487,19,prior
school_income,471298.0,932966.0,2115848,2424375,-308527,46408235,4,total
use_and_occupancy,13712513.0,14243523.0,42437727,42295911,141816,136641275,24,current
use_and_occupancy,734244.0,596929.0,1840489,2119146,-278658,6496956,22,prior
use_and_occupancy,14446757.0,14840452.0,44278215,44415057,-136842,143138232,24,total
liquor,5651634.0,5799770.0,20368976,17007888,3361088,49208460,29,current
liquor,,313276.0,268358,814585,-546227,2530642,10,prior
liquor,5651634.0,6113046.0,20637334,17822474,2814861,51739102,29,total
other_nontax,51842.0,,1265401,1320951,-55550,3931021,24,total
total_revenue,27028802.0,28311801.0,101745461,90355358,11390103,1229855927,8,total
