name,oct_fy23,oct_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,1771957,3296943.0,24546307,20091257,4455051,959348693,2,current
real_estate,2607826,1494788.0,13282137,9072976,4209161,20910863,39,prior
real_estate,4379782,4791731.0,37828445,29164232,8664212,980259555,4,total
school_income,4059103,1537094.0,5800606,3647291,2153315,41267501,12,current
school_income,148723,78485.0,523068,392663,130405,932908,36,prior
school_income,4207826,1615579.0,6323674,4039954,2283720,42200409,13,total
use_and_occupancy,12844646,13042516.0,55282373,55338427,-56055,123796629,31,current
use_and_occupancy,588533,436141.0,2429022,2555287,-126265,5908423,29,prior
use_and_occupancy,13433179,13478657.0,57711394,57893714,-182320,129705053,31,total
liquor,7443969,5469014.0,27813933,22476903,5337030,41763503,40,current
liquor,123695,316199.0,391065,1130784,-739719,2407935,14,prior
liquor,7567664,5785213.0,28204998,23607687,4597311,44171438,39,total
other_nontax,-30108,,1235293,1320951,-85658,3961129,24,total
total_revenue,29558343,25671181.0,131303804,116026539,15277266,1200297584,10,total
