name,nov_fy23,nov_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4563523.0,3425309.0,29109830,23516566,5593264,954785170,3,current
real_estate,2054715.0,1853187.0,15336852,10926163,4410689,18856148,45,prior
real_estate,6618238.0,5278496.0,44446682,34442729,10003953,973641318,4,total
school_income,426801.0,939316.0,6227407,4586607,1640800,40840700,13,current
school_income,230926.0,44241.0,753994,436904,317090,701982,52,prior
school_income,657727.0,983557.0,6981401,5023511,1957890,41542682,14,total
use_and_occupancy,14502164.0,14016965.0,69784536,69355392,429144,109294466,39,current
use_and_occupancy,375497.0,168576.0,2804519,2723864,80655,5532926,34,prior
use_and_occupancy,14877661.0,14185541.0,72589055,72079256,509799,114827392,39,total
liquor,8720498.0,4190663.0,36534431,26667566,9866865,33043005,53,current
liquor,157369.0,379826.0,548434,1510610,-962176,2250566,20,prior
liquor,8877867.0,4570489.0,37082865,28178176,8904689,35293571,51,total
other_nontax,,,1235293,1320951,-85658,3961129,24,total
total_revenue,31031493.0,25018083.0,162335296,141044623,21290673,1169266092,12,total
