name,mar_fy23,mar_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,577235871,415621696,790265514,610772902,179492612,163897486,83,current
real_estate,15474619,4577914,31079201,25089549,5989652,1844799,94,prior
real_estate,592710490,420199610,821344715,635862451,185482264,165742285,83,total
school_income,1453263,1047300,7858097,6579803,1278294,50078895,14,current
school_income,233329,143728,1446597,1147163,299434,110289,93,prior
school_income,1686592,1191028,9304694,7726966,1577728,50189184,16,total
use_and_occupancy,14254414,16609577,126169874,131705814,-5535940,52341736,71,current
use_and_occupancy,697979,699698,5142219,7324522,-2182303,625592,89,prior
use_and_occupancy,14952393,17309275,131312093,139030336,-7718243,52967328,71,total
liquor,6214785,5255120,63257481,49828972,13428509,24174094,72,current
liquor,83790,87640,886334,1889267,-1002933,305395,74,prior
liquor,6298575,5342760,64143815,51718239,12425576,24479489,72,total
other_nontax,1411144,1675815,2867507,3001386,-133879,2328915,55,total
total_revenue,617059194,445718488,1028972824,837339378,191633446,295707201,78,total
