name,jun_fy23,jun_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,10541927,-562134,948253606,830539929,117713677,5909394,99,current
real_estate,2672162,-230501,40435548,33595764,6839784,-7511548,123,prior
real_estate,13214089,-792635,988689153,864135693,124553461,-1602153,100,total
school_income,1128963,2651280,57612183,59951595,-2339412,324809,99,current
school_income,648861,122215,2685934,1483123,1202811,-1129048,173,prior
school_income,1777824,2773495,60298117,61434719,-1136602,-804239,101,total
use_and_occupancy,15462237,13923225,176216012,173720649,2495362,2295598,99,current
use_and_occupancy,1691450,596423,7935482,10355342,-2419861,-2167671,138,prior
use_and_occupancy,17153687,14519648,184151493,184075992,75502,127928,100,total
liquor,7011671,5927883,84491404,69159036,15332368,2940171,97,current
liquor,205021,554638,1858821,3004157,-1145336,-667092,156,prior
liquor,7216692,6482521,86350225,72163193,14187032,2273079,97,total
other_nontax,132910,949045,5804084,8068153,-2264070,-607662,112,total
total_revenue,39495200,23932074,1325293072,1189877749,135415323,-613047,100,total
