name,jul_fy24,jul_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,9058472,10456662,9058472,10456662,-1398190,973349528,1,current
real_estate,2918093,3588142,2918093,3588142,-670049,29347907,9,prior
real_estate,11976565,14044804,11976565,14044804,-2068239,1002697435,1,total
school_income,593380,263210,593380,263210,330170,58400312,1,current
school_income,203360,98657,203360,98657,104703,1392449,13,prior
school_income,796740,361867,796740,361867,434873,59792761,1,total
use_and_occupancy,14578637,14159156,14578637,14159156,419481,164055217,8,current
use_and_occupancy,529117,345292,529117,345292,183825,6067808,8,prior
use_and_occupancy,15107754,14504448,15107754,14504448,603306,170123025,8,total
liquor,8625803,7149113,8625803,7149113,1476690,78247804,10,current
liquor,223157,143173,223157,143173,79984,994074,18,prior
liquor,8848960,7292286,8848960,7292286,1556674,79241878,10,total
other_nontax,12683,1213559,12683,1213559,-1200876,5613469,0,total
total_revenue,36742702,37416964,36742702,37416964,-674262,1317468568,3,total
