category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,-357.2
opening_balance,1,355.7
tran,1,310.0
closing_balance,1,308.6
excess_of_receipts_over_disbursements,2,58.1
opening_balance,2,308.6
tran,2,0.0
closing_balance,2,366.7
excess_of_receipts_over_disbursements,3,-15.1
opening_balance,3,366.7
tran,3,0.0
closing_balance,3,351.6
excess_of_receipts_over_disbursements,4,13.5
opening_balance,4,351.6
tran,4,0.0
closing_balance,4,365.1
excess_of_receipts_over_disbursements,5,-33.7
opening_balance,5,365.1
tran,5,0.0
closing_balance,5,331.4
excess_of_receipts_over_disbursements,6,-46.3
opening_balance,6,331.4
tran,6,0.0
closing_balance,6,285.1
excess_of_receipts_over_disbursements,7,-27.5
opening_balance,7,285.1
tran,7,0.0
closing_balance,7,257.6
excess_of_receipts_over_disbursements,8,144.9
opening_balance,8,257.6
tran,8,0.0
closing_balance,8,402.5
excess_of_receipts_over_disbursements,9,11.2
opening_balance,9,402.5
tran,9,0.0
closing_balance,9,413.7
excess_of_receipts_over_disbursements,10,131.6
opening_balance,10,413.7
tran,10,0.0
closing_balance,10,545.3
excess_of_receipts_over_disbursements,11,71.5
opening_balance,11,545.3
tran,11,-310.0
closing_balance,11,306.8
excess_of_receipts_over_disbursements,12,-32.6
opening_balance,12,306.8
tran,12,0.0
closing_balance,12,274.2
