category,fiscal_month,amount
payroll,1,73.7
employee_benefits,1,38.1
pension,1,3.7
purchases_of_services,1,53.1
materials_equipment,1,2.0
contributions_indemnities,1,11.0
debt_service_short,1,0.0
debt_service_long,1,53.1
interfund_charges,1,0.5
advances_misc_payments,1,0.0
current_year_appropriation,1,235.2
prior_year_encumbrances,1,39.6
prior_year_vouchers_payable,1,67.0
total_disbursements,1,341.9
payroll,2,111.6
employee_benefits,2,39.5
pension,2,-6.3
purchases_of_services,2,46.2
materials_equipment,2,5.7
contributions_indemnities,2,7.8
debt_service_short,2,0.0
debt_service_long,2,7.7
interfund_charges,2,0.0
advances_misc_payments,2,0.0
current_year_appropriation,2,212.2
prior_year_encumbrances,2,22.9
prior_year_vouchers_payable,2,-5.0
total_disbursements,2,230.1
payroll,3,99.0
employee_benefits,3,36.4
pension,3,6.6
purchases_of_services,3,51.3
materials_equipment,3,8.9
contributions_indemnities,3,8.7
debt_service_short,3,0.0
debt_service_long,3,0.0
interfund_charges,3,0.0
advances_misc_payments,3,0.0
current_year_appropriation,3,211.0
prior_year_encumbrances,3,13.7
prior_year_vouchers_payable,3,3.0
total_disbursements,3,227.7
payroll,4,99.2
employee_benefits,4,39.0
pension,4,82.4
purchases_of_services,4,74.4
materials_equipment,4,5.2
contributions_indemnities,4,1.8
debt_service_short,4,0.0
debt_service_long,4,0.4
interfund_charges,4,0.0
advances_misc_payments,4,0.0
current_year_appropriation,4,302.3
prior_year_encumbrances,4,6.2
prior_year_vouchers_payable,4,39.3
total_disbursements,4,347.8
payroll,5,136.1
employee_benefits,5,41.2
pension,5,-4.4
purchases_of_services,5,47.5
materials_equipment,5,6.1
contributions_indemnities,5,5.2
debt_service_short,5,0.0
debt_service_long,5,6.1
interfund_charges,5,0.0
advances_misc_payments,5,0.0
current_year_appropriation,5,237.7
prior_year_encumbrances,5,3.4
prior_year_vouchers_payable,5,-53.9
total_disbursements,5,187.2
payroll,6,96.3
employee_benefits,6,36.6
pension,6,-0.6
purchases_of_services,6,45.4
materials_equipment,6,4.6
contributions_indemnities,6,12.0
debt_service_short,6,0.0
debt_service_long,6,5.4
interfund_charges,6,0.0
advances_misc_payments,6,0.0
current_year_appropriation,6,199.6
prior_year_encumbrances,6,1.4
prior_year_vouchers_payable,6,49.9
total_disbursements,6,250.9
payroll,7,103.8
employee_benefits,7,40.0
pension,7,-6.0
purchases_of_services,7,39.9
materials_equipment,7,6.2
contributions_indemnities,7,3.1
debt_service_short,7,0.0
debt_service_long,7,30.7
interfund_charges,7,0.0
advances_misc_payments,7,0.0
current_year_appropriation,7,217.8
prior_year_encumbrances,7,1.2
prior_year_vouchers_payable,7,-32.7
total_disbursements,7,186.3
payroll,8,106.6
employee_benefits,8,37.5
pension,8,-4.1
purchases_of_services,8,60.4
materials_equipment,8,4.7
contributions_indemnities,8,1.7
debt_service_short,8,0.0
debt_service_long,8,0.6
interfund_charges,8,0.0
advances_misc_payments,8,0.0
current_year_appropriation,8,207.4
prior_year_encumbrances,8,5.5
prior_year_vouchers_payable,8,32.1
total_disbursements,8,245.1
payroll,9,96.5
employee_benefits,9,42.6
pension,9,481.3
purchases_of_services,9,73.4
materials_equipment,9,5.4
contributions_indemnities,9,10.2
debt_service_short,9,0.0
debt_service_long,9,0.2
interfund_charges,9,0.0
advances_misc_payments,9,0.0
current_year_appropriation,9,709.6
prior_year_encumbrances,9,5.4
prior_year_vouchers_payable,9,-86.4
total_disbursements,9,628.6
payroll,10,97.2
employee_benefits,10,40.8
pension,10,-4.3
purchases_of_services,10,53.7
materials_equipment,10,4.7
contributions_indemnities,10,3.7
debt_service_short,10,0.0
debt_service_long,10,0.0
interfund_charges,10,0.0
advances_misc_payments,10,0.0
current_year_appropriation,10,195.8
prior_year_encumbrances,10,0.6
prior_year_vouchers_payable,10,94.6
total_disbursements,10,291.1
payroll,11,142.1
employee_benefits,11,36.0
pension,11,3.1
purchases_of_services,11,56.7
materials_equipment,11,7.9
contributions_indemnities,11,48.9
debt_service_short,11,0.0
debt_service_long,11,3.5
interfund_charges,11,0.0
advances_misc_payments,11,0.0
current_year_appropriation,11,298.2
prior_year_encumbrances,11,3.3
prior_year_vouchers_payable,11,-12.2
total_disbursements,11,289.3
payroll,12,128.8
employee_benefits,12,33.5
pension,12,3.1
purchases_of_services,12,66.4
materials_equipment,12,5.6
contributions_indemnities,12,1.5
debt_service_short,12,4.0
debt_service_long,12,12.1
interfund_charges,12,4.5
advances_misc_payments,12,0.0
current_year_appropriation,12,259.4
prior_year_encumbrances,12,3.1
prior_year_vouchers_payable,12,0.0
total_disbursements,12,262.5
payroll,13,1290.9
employee_benefits,13,461.2
pension,13,554.3
purchases_of_services,13,668.5
materials_equipment,13,67.0
contributions_indemnities,13,115.5
debt_service_short,13,4.0
debt_service_long,13,119.7
interfund_charges,13,5.0
advances_misc_payments,13,0.0
current_year_appropriation,13,3286.2
prior_year_encumbrances,13,106.3
prior_year_vouchers_payable,13,95.8
total_disbursements,13,3488.3
