full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
5,261250,21170,2006,Actual,Full Year,Atwater Kent Museum,2006-06-30,Atwater Kent Museum,18,Atwater Kent
4,250997,12255,2007,Actual,Full Year,Atwater Kent Museum,2007-06-30,Atwater Kent Museum,18,Atwater Kent
4,256702,10197,2008,Actual,Full Year,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,18,Atwater Kent
4,241300,15587,2009,Target Budget,YTD,Atwater Kent Museum,2009-06-30,Atwater Kent Museum,18,Atwater Kent
4,241300,6932,2009,Actual,YTD,Atwater Kent Museum,2009-06-30,Atwater Kent Museum,18,Atwater Kent
4,264000,15587,2009,Adopted Budget,Full Year,Atwater Kent Museum,2009-06-30,Atwater Kent Museum,18,Atwater Kent
4,241300,15587,2009,Target Budget,Full Year,Atwater Kent Museum,2009-06-30,Atwater Kent Museum,18,Atwater Kent
4,241300,6932,2009,Current Projection,Full Year,Atwater Kent Museum,2009-06-30,Atwater Kent Museum,18,Atwater Kent
126,6780793,50514,2006,Actual,Full Year,Auditing,2006-06-30,City Controller's Office,61,
120,7039481,55975,2007,Actual,Full Year,Auditing,2007-06-30,City Controller's Office,61,
121,7104935,88306,2008,Actual,Full Year,Auditing,2008-06-30,City Controller's Office,61,
140,7322701,55000,2009,Target Budget,YTD,Auditing,2009-06-30,City Controller's Office,61,
124,7322701,58793,2009,Actual,YTD,Auditing,2009-06-30,City Controller's Office,61,
140,7565685,0,2009,Adopted Budget,Full Year,Auditing,2009-06-30,City Controller's Office,61,
140,7322701,55000,2009,Target Budget,Full Year,Auditing,2009-06-30,City Controller's Office,61,
124,7322701,58793,2009,Current Projection,Full Year,Auditing,2009-06-30,City Controller's Office,61,
2,99888,2320,2006,Actual,Full Year,Board of Building Standards,2006-06-30,L&I: Board of Building and Standards,29,
2,91419,828,2007,Actual,Full Year,Board of Building Standards,2007-06-30,L&I: Board of Building and Standards,29,
2,95635,2421,2008,Actual,Full Year,Board of Building Standards,2008-06-30,L&I: Board of Building and Standards,29,
2,113833,596,2009,Target Budget,YTD,Board of Building Standards,2009-06-30,L&I: Board of Building and Standards,29,
