full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,abbreviation,dept_code
4,248440,3134,2017,Actual,Full Year,Atwater Kent Museum,2017-06-30,Atwater Kent Museum,Atwater Kent,18
4,256771,2413,2018,Actual,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2019,Actual,Full Year,Atwater Kent Museum,2019-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2020,Adopted Budget,Full Year,Atwater Kent Museum,2020-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2020,Target Budget,Full Year,Atwater Kent Museum,2020-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2020,Current Projection,Full Year,Atwater Kent Museum,2020-06-30,Atwater Kent Museum,Atwater Kent,18
127,8055899,13806,2017,Actual,Full Year,Auditing,2017-06-30,City Controller's Office,,61
116,8324348,88050,2018,Actual,Full Year,Auditing,2018-06-30,City Controller's Office,,61
124,8650965,73243,2019,Actual,Full Year,Auditing,2019-06-30,City Controller's Office,,61
135,8862100,80000,2020,Adopted Budget,Full Year,Auditing,2020-06-30,City Controller's Office,,61
135,9512516,80000,2020,Target Budget,Full Year,Auditing,2020-06-30,City Controller's Office,,61
121,9522372,61000,2020,Current Projection,Full Year,Auditing,2020-06-30,City Controller's Office,,61
11,920605,0,2017,Actual,Full Year,Board of Ethics,2017-06-30,Board of Ethics,,45
10,942040,0,2018,Actual,Full Year,Board of Ethics,2018-06-30,Board of Ethics,,45
10,875033,0,2019,Actual,Full Year,Board of Ethics,2019-06-30,Board of Ethics,,45
12,1041630,0,2020,Adopted Budget,Full Year,Board of Ethics,2020-06-30,Board of Ethics,,45
12,1044071,0,2020,Target Budget,Full Year,Board of Ethics,2020-06-30,Board of Ethics,,45
7,1044071,0,2020,Current Projection,Full Year,Board of Ethics,2020-06-30,Board of Ethics,,45
13,898026,0,2017,Actual,Full Year,Board of Revision of Taxes,2017-06-30,Board of Revision of Taxes,BRT,63
11,904051,0,2018,Actual,Full Year,Board of Revision of Taxes,2018-06-30,Board of Revision of Taxes,BRT,63
11,928286,190,2019,Actual,Full Year,Board of Revision of Taxes,2019-06-30,Board of Revision of Taxes,BRT,63
15,962864,0,2020,Adopted Budget,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,BRT,63
15,995164,4000,2020,Target Budget,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,BRT,63
14,997459,2000,2020,Current Projection,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,BRT,63
99,5960120,1140928,2017,Actual,Full Year,City Commissioners,2017-06-30,City Commissioner's Office,City Commissioners,73
100,5524532,803429,2018,Actual,Full Year,City Commissioners,2018-06-30,City Commissioner's Office,City Commissioners,73
94,5830533,1033718,2019,Actual,Full Year,City Commissioners,2019-06-30,City Commissioner's Office,City Commissioners,73
105,6633233,1097554,2020,Adopted Budget,Full Year,City Commissioners,2020-06-30,City Commissioner's Office,City Commissioners,73
105,6636209,1497554,2020,Target Budget,Full Year,City Commissioners,2020-06-30,City Commissioner's Office,City Commissioners,73
98,6690419,1600000,2020,Current Projection,Full Year,City Commissioners,2020-06-30,City Commissioner's Office,City Commissioners,73
194,13295341,35812,2017,Actual,Full Year,City Council,2017-06-30,City Council,,01
192,13909585,14624,2018,Actual,Full Year,City Council,2018-06-30,City Council,,01
197,14104805,2882,2019,Actual,Full Year,City Council,2019-06-30,City Council,,01
208,15427138,0,2020,Adopted Budget,Full Year,City Council,2020-06-30,City Council,,01
208,15627138,0,2020,Target Budget,Full Year,City Council,2020-06-30,City Council,,01
180,15627138,0,2020,Current Projection,Full Year,City Council,2020-06-30,City Council,,01
30,2351776,7270,2017,Actual,Full Year,City Planning Commission,2017-06-30,City Planning Commission,,51
0,0,0,2018,Actual,Full Year,City Planning Commission,2018-06-30,City Planning Commission,,51
0,0,0,2019,Actual,Full Year,City Planning Commission,2019-06-30,City Planning Commission,,51
0,0,0,2020,Adopted Budget,Full Year,City Planning Commission,2020-06-30,City Planning Commission,,51
0,0,0,2020,Target Budget,Full Year,City Planning Commission,2020-06-30,City Planning Commission,,51
0,0,0,2020,Current Projection,Full Year,City Planning Commission,2020-06-30,City Planning Commission,,51
6,505031,4291,2017,Actual,Full Year,City Representative,2017-06-30,Office of the City Representative,City Rep,41
9,631584,4165,2018,Actual,Full Year,City Representative,2018-06-30,Office of the City Representative,City Rep,41
8,714833,2239,2019,Actual,Full Year,City Representative,2019-06-30,Office of the City Representative,City Rep,41
10,795916,0,2020,Adopted Budget,Full Year,City Representative,2020-06-30,Office of the City Representative,City Rep,41
10,830942,0,2020,Target Budget,Full Year,City Representative,2020-06-30,Office of the City Representative,City Rep,41
5,830942,0,2020,Current Projection,Full Year,City Representative,2020-06-30,Office of the City Representative,City Rep,41
14,979945,290,2017,Actual,Full Year,City Treasurer,2017-06-30,Office of the City Treasurer,City Treasurer,40
15,1064446,0,2018,Actual,Full Year,City Treasurer,2018-06-30,Office of the City Treasurer,City Treasurer,40
16,1098380,3927,2019,Actual,Full Year,City Treasurer,2019-06-30,Office of the City Treasurer,City Treasurer,40
18,1262499,0,2020,Adopted Budget,Full Year,City Treasurer,2020-06-30,Office of the City Treasurer,City Treasurer,40
18,1293623,9000,2020,Target Budget,Full Year,City Treasurer,2020-06-30,Office of the City Treasurer,City Treasurer,40
16,1295117,9000,2020,Current Projection,Full Year,City Treasurer,2020-06-30,Office of the City Treasurer,City Treasurer,40
2,161212,0,2017,Actual,Full Year,Civil Service Commission,2017-06-30,Civil Service Commission,,55
2,163743,0,2018,Actual,Full Year,Civil Service Commission,2018-06-30,Civil Service Commission,,55
2,168597,0,2019,Actual,Full Year,Civil Service Commission,2019-06-30,Civil Service Commission,,55
2,174341,0,2020,Adopted Budget,Full Year,Civil Service Commission,2020-06-30,Civil Service Commission,,55
2,174742,0,2020,Target Budget,Full Year,Civil Service Commission,2020-06-30,Civil Service Commission,,55
2,174742,0,2020,Current Projection,Full Year,Civil Service Commission,2020-06-30,Civil Service Commission,,55
28,2393155,914,2017,Actual,Full Year,Commerce,2017-06-30,Office of the Director of Commerce,Commerce,42
31,2114325,1176,2018,Actual,Full Year,Commerce,2018-06-30,Office of the Director of Commerce,Commerce,42
48,3028159,5257,2019,Actual,Full Year,Commerce,2019-06-30,Office of the Director of Commerce,Commerce,42
55,3469881,0,2020,Adopted Budget,Full Year,Commerce,2020-06-30,Office of the Director of Commerce,Commerce,42
55,3506080,10000,2020,Target Budget,Full Year,Commerce,2020-06-30,Office of the Director of Commerce,Commerce,42
