dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Atwater Kent Museum,General,3,0,2011,Actual,YTD,2010-09-30,3,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),General,114,0,2011,Actual,YTD,2010-09-30,114,City Controller's Office,61,
Board of Building Standards,General,1,0,2011,Actual,YTD,2010-09-30,1,L&I: Board of Building and Standards,29,
Board of Ethics,General,7,0,2011,Actual,YTD,2010-09-30,7,Board of Ethics,45,
Board of L & I Review,General,2,0,2011,Actual,YTD,2010-09-30,2,L&I: Board of Review,27,
Bd. of Pensions,General,0,0,2011,Actual,YTD,2010-09-30,0,Board of Pensions,53,Pensions
Bd. of Revision of Taxes,General,143,0,2011,Actual,YTD,2010-09-30,143,Board of Revision of Taxes,63,BRT
Camp William Penn,General,0,0,2011,Actual,YTD,2010-09-30,0,Camp William Penn,19,
City Commissioners (Election Board),General,101,0,2011,Actual,YTD,2010-09-30,101,City Commissioner's Office,73,City Commissioners
City Council,General,174,0,2011,Actual,YTD,2010-09-30,174,City Council,01,
City Planning Commission,General,29,0,2011,Actual,YTD,2010-09-30,29,City Planning Commission,51,
City Representative,General,7,0,2011,Actual,YTD,2010-09-30,7,Office of the City Representative,41,City Rep
City Treasurer,General,12,0,2011,Actual,YTD,2010-09-30,12,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2011,Actual,YTD,2010-09-30,2,Civil Service Commission,55,
Clerk of Quarter Sessions,General,90,0,2011,Actual,YTD,2010-09-30,90,Clerk of Quarter Sessions,64,
Commerce,General,24,0,2011,Actual,YTD,2010-09-30,24,Office of the Director of Commerce,42,Commerce
Division of Technology,General,262,0,2011,Actual,YTD,2010-09-30,262,Office of Innovation and Technology,04,OIT
Fairmount Park,General,0,0,2011,Actual,YTD,2010-09-30,0,Fairmount Park Commission,17,
Finance,General,137,0,2011,Actual,YTD,2010-09-30,137,Office of the Director of Finance,35,Finance
First Judicial District,General,1746,0,2011,Actual,YTD,2010-09-30,1746,First Judicial District,84,FJD
Fleet Management,General,278,0,2011,Actual,YTD,2010-09-30,278,Office of Fleet Management,25,Fleet
Free Library,General,600,0,2011,Actual,YTD,2010-09-30,600,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,6,0,2011,Actual,YTD,2010-09-30,6,Historical Commission,32,
Human Relations Commission,General,31,0,2011,Actual,YTD,2010-09-30,31,Commission on Human Relations,54,Human Relations
Human Services,General,1698,0,2011,Actual,YTD,2010-09-30,1698,Department of Human Services,22,DHS
"Labor Relations, Mayor's Office of",General,6,0,2011,Actual,YTD,2010-09-30,6,Labor,03,
Law,General,174,0,2011,Actual,YTD,2010-09-30,174,Law Department,44,Law
Licenses & Inspections,General,287,0,2011,Actual,YTD,2010-09-30,287,Department of Licenses and Inspections,26,L&I
Managing Director (MDO),General,116,0,2011,Actual,YTD,2010-09-30,116,Managing Director's Office,10,MDO
Mayor,General,37,0,2011,Actual,YTD,2010-09-30,37,Mayor's Office,05,Mayor
Mayor - Office of Arts and Culture,General,2,0,2011,Actual,YTD,2010-09-30,2,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Mayor - Office of the Inspector General,General,17,0,2011,Actual,YTD,2010-09-30,17,Office of the Inspector General,48,OIG
Mayor's Office of Comm. Svcs.,General,0,0,2011,Actual,YTD,2010-09-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation,General,8,0,2011,Actual,YTD,2010-09-30,8,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,General,11,0,2011,Actual,YTD,2010-09-30,11,Mural Arts Program,50,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,22,0,2011,Actual,YTD,2010-09-30,22,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Human Resources,General,69,0,2011,Actual,YTD,2010-09-30,69,Office of Human Resources,56,OHR
Off.of Supportive Housing,General,122,0,2011,Actual,YTD,2010-09-30,122,Office of Homeless Services,24,OHS
Office of Housing and Community Develop.,General,0,0,2011,Actual,YTD,2010-09-30,0,Office of Housing and Community Development,06,
Parks and Recreation,General,593,0,2011,Actual,YTD,2010-09-30,593,Department of Parks and Recreation,16,Parks & Recreation
Prisons,General,2229,0,2011,Actual,YTD,2010-09-30,2229,Philadelphia Prison System,23,Prisons
Procurement,General,44,0,2011,Actual,YTD,2010-09-30,44,Procurement Department,38,Procurement
Public Health,General,654,0,2011,Actual,YTD,2010-09-30,654,Department of Public Health,14,Public Health
Public Property,General,119,0,2011,Actual,YTD,2010-09-30,119,Department of Public Property,20,Public Property
Records,General,58,0,2011,Actual,YTD,2010-09-30,58,Department of Records,31,Records
Register of Wills,General,63,0,2011,Actual,YTD,2010-09-30,63,Register of Wills,68,
Revenue,General,248,0,2011,Actual,YTD,2010-09-30,248,Department of Revenue,36,Revenue
Sheriff,General,227,0,2011,Actual,YTD,2010-09-30,227,Office of the Sheriff,70,Sheriff
Streets,General,514,0,2011,Actual,YTD,2010-09-30,514,Streets Department,12,Streets
Streets Sanitation,General,1170,0,2011,Actual,YTD,2010-09-30,1170,Streets: Sanitation,12-S,
Water,General,0,0,2011,Actual,YTD,2010-09-30,0,Water Department,28,Water
Youth Commission,General,1,0,2011,Actual,YTD,2010-09-30,1,Youth Commission,47,
Zoning Board of Adjustment,General,5,0,2011,Actual,YTD,2010-09-30,5,Zoning Board of Adjustments,30,ZBA
Zoning Code Commission,General,2,0,2011,Actual,YTD,2010-09-30,2,Zoning Code Commission,57,
Atwater Kent Museum,Other,0,0,2011,Actual,YTD,2010-09-30,0,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2011,Actual,YTD,2010-09-30,0,City Controller's Office,61,
Board of Building Standards,Other,0,0,2011,Actual,YTD,2010-09-30,0,L&I: Board of Building and Standards,29,
Board of Ethics,Other,0,0,2011,Actual,YTD,2010-09-30,0,Board of Ethics,45,
Board of L & I Review,Other,0,0,2011,Actual,YTD,2010-09-30,0,L&I: Board of Review,27,
